ID,CHNA_Year,Healthcare_Name,Street_Address,City,Zip,State,Associated_Health_Systems,Non-profit_Status,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6530050,N/A unable to find,Andalusia Health,849 South Three Notch Street,Andalusia,36420-5325,AL,LifePoint Health,Unable to find,,,,,,,,,
6530090,N/A unable to find,Athens-Limestone Hospital,700 West Market Street,Athens,35611-2457,AL,Huntsville Hospital Health System,Unable to find,,,,,,,,,
6530100,2019,Atmore Community Hospital,401 Medical Park Drive,Atmore,36502-3091,AL,Infirmary Health System,,List of Counties,Escambia,N/A,N/A,"Heart disease,Cancer,Stroke,Obesity,Physical inactivity and the lack of access to exercise opportunities,Alcohol-impaired driving deaths,Smoking,High rate of teen births,Lack of education on available resources and diseases such as diabetes, Access to primary care,specialists,and mental health providers,Transportation,Child abuse/neglect,Prenatal and pregnancy care,The unvaccinated,Cost of healthcare,Diabetes Management/ lack of a dietician,Poverty resulting in poor food choices,Lack of healthcare workers/burnout among those currently in place,Drug abuse that leads to violent crimes,Lack of access to medications,Need for activities in the county for all ages,Mental health and the lack of access to appropriate treatment
","Access to care, Risk factors of poorer health",https://www.atmorehealth.org/docs/CHNA_report_final_complete_FY2018.pdf,N/A,N/A
6530800,N/A unable to find,Baptist Medical Center East,400 Taylor Road,Montgomery,36117-3512,AL,Baptist Health,,,,,,,,,,
6530705,N/A unable to find,Baptist Medical Center South,2105 East South Boulevard,Montgomery,36116-2409,AL,Baptist Health,Yes,,,,,,,,,
6530211,N/A unable to find,Baypointe Behavioral Health,5800 Southland Drive,Mobile,36693-3313,AL,AltaPointe Health Systems,Yes,,,,,,,,,
6530210,N/A unable to find,Beacon Children's Hospital,150 Hospital Drive,Luverne,36049,AL,,Unable to find,,,,,,,,,
6530314,N/A unable to find,Bibb Medical Center,208 Pierson Avenue,Centreville,35042-2918,AL,,Unable to find,,,,,,,,,
6530305,2019,Birmingham Veterans Affairs Medical Center,700 South 19th Street,Birmingham,35233-1927,AL,Department of Veterans Affairs,,Combination of counties and zip codes,Jefferson ,"35215, 35126, 35077, 35045, 35555, 36801, 35211, 35173, 35903, 36092, 36703, 36078, 35206, 35210, 35223, 35125, 36054, 35473, 35212, 35243, 35901, 35640, 35475, 36264, 35205, 35124, 35040, 35116, 35550, 35044, 35214, 35111, 35504, 35051, 36206, 36111, 35020, 35180, 35501, 36330, 35950, 36756, 35208, 35094, 35080, 35031, 35661, 35073, 35204, 35222, 36201, 35401, 35085, 35072, 35217, 35010, 36203, 35503, 35967, 36022, 35209, 35007, 36116, 35603, 35578, 35633, 35226, 35160, 36265, 35601, 35594, 35549, 35207, 35005, 35115, 35043, 35118, 36106, 35242, 35405, 35146, 36066, 36853, 36360, 35216, 35224, 36207, 35565, 35406, 35453, 35244, 35213, 35062, 36108, 35179, 36027, 35023, 35068, 35904, 36301, 35151, 36732, 35022, 35150, 35954, 36830, 35184, 35951, 35203, 35127, 36067, 35906, 36093, 35570, 35064, 35121, 36109, 35953, 35907, 35054, 35071, 35117, 35128, 35058, 35952, 35042, 35228, 35055, 35057, 35630, 35133, 35235, 36701, 35117, 36272, 35006, 35218, 35221, 35079, 35404, 35172, 35234, 35120, 35004, 35096, 35957",N/A,"Diabetes education,Hypertension/stroke prevention,Good nutrition/obesity prevention","Diabetes education,Hypertension/stroke prevention,Good nutrition/obesity",https://www.uabmedicine.org/documents/142028/185199/CHNA+UAB+2019_FINAL+Approved.pdf/0634e584-3ac6-fdb9-9262-5f33c4a0cbdd,https://www.uabmedicine.org/documents/142028/185199/CHNA+UAB+2019_FINAL+Approved.pdf/0634e584-3ac6-fdb9-9262-5f33c4a0cbdd,N/A
6531780,N/A unable to find,Bradford Health Services at Huntsville,1600 Browns Ferry Road,Madison,35758-9601,AL,Bradford Health Services,Unable to find,,,,,,,,,
6531025,N/A unable to find,Bradford Health Services at Warrior Lodge,1189 Allbritt Road,Warrior,35180,AL,Bradford Health Services,Unable to find,,,,,,,,,
6530175,2016,Brookwood Baptist Medical Center,2010 Brookwood Medical Center Drive,Birmingham,35209-6875,AL,TENET Healthcare Corporation,,List of Counties,Jefferson,N/A,N/A,"Pollution,Substance abuse,Cancer,Crime/violence,Heart disease,Obesity/overweight,Diabetes,Health insurance,Aging population,Lack of affordable care","Maternal fetal medicine,Cardiovascular disease,Obesity,Diabetes",https://www.brookwoodbaptisthealth.com/docs/librariesproviderbrookwoodhealth/pdfs/bmc-chna-draft-apr16-v3.pdf,N/A,info@carnahangroup.com
6531013,N/A unable to find,Bullock County Hospital,102 West Conecuh Avenue,Union Springs,36089-1303,AL,,No,,,,,,,,,
