ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,
6940010,Alaska Native Medical Center,4315 Diplomacy Drive,Anchorage,99508-5926,AK,,Non-Profit,N/A unable to find,,,,,,,,,,
6940008,Alaska Psychiatric Institute,3700 Piper Street,Anchorage,99508-4677,AK,,Unable to Find,N/A unable to find,,,,,,,,,,
6940015,Alaska Regional Hospital,2801 Debarr Road,Anchorage,99508-2997,AK,HCA Healthcare,Unable to Find,N/A unable to find,,,,,,,,,,
6940085,Bartlett Regional Hospital,3260 Hospital Drive,Juneau,99801-7808,AK,,Non-Profit,2020,Combination of zip codes and places,N/A,"99824, 99820, 99801, 99826, 99827, 99829, 99833, 99840, 99929","Douglas, Angoon, Juneau, Gustavus, Haines, Hoonah, Petersburg, Skagway, Wrangell","Utilization, Specialists, Mental Health","Enhance patient navigation, Righ physican/specialist mix, Improve ER workflow, Navigate financial cuts from medicaid, Uninsured and cutbacks on govt healthcare provider,Ferry and Air Evacuation/transportion, Mental/Behavioral Health, Insurance ",https://res.cloudinary.com/dpmykpsih/image/upload/bartlett-site-284/media/38474/01-17-2020-planning-committee-packet.pdf,https://res.cloudinary.com/dpmykpsih/image/upload/bartlett-site-284/media/38474/01-17-2020-planning-committee-packet.pdf,N/A,
6940066,Bassett Army Community Hospital,"1060 Gaffney Road, Box 7400",Fort Wainwright,99703-5001,AK,"Department of the Army, Office of the Surgeon General",Unable to Find,N/A unable to find,,,,,,,,,,
6940090,Bristol Bay Area Health Corporation,6000 Kanakanak Road,Dillingham,99576,AK,,Non-Profit,N/A unable to find,,,,,,,,,,
6940215,Central Peninsula Hospital,250 Hospital Place,Soldotna,99669-6999,AK,,Non-Profit,2022,Combination of counties and zip codes,Kenai Peninsula,"99672, 9961, 99610, 99639, 99669, 99610, 99572",N/A,"Access to health care, Cancer, Heart disease and Stroke, Injury and Violence, Mental Health, Nutrition, Physical Activity, and Weight, Oral Health, Substance use",https://www.cpgh.org/wp-content/uploads/2023/02/2022-Community-Health-Needs-Assessment-CPH.pdf,https://www.cpgh.org/wp-content/uploads/2022/08/Strategic-Plan.pdf,2022-Community-Health-Needs-Assessment-CPH.pdf (cpgh.org),N/A,
6940050,Cordova Community Medical Center,602 Chase Avenue,Cordova,99574,AK,,Non-Profit,2019,Combination of zip codes and places,N/A,"99566, 99573, 99574, 99586, 99588, 99677, 99686, 99693","Chitina, Copper Center, Cordova, Gakona, Glennallen, Tatitlek, Valdez, Whittier ","Specialist Acces; more frequent pediatricians; Maintain local stable providers and staff; maintain permanent providers and enough support staff to provide ongoing services and followup; consistent primary care physicians; be financially stable-do not depend on city, affordable resources and servivces (sliding fee); transportation, listen and support; more community involvement and education; help patients get insurance,;reach out and connext more with youth-so they grow healthy and connected, avoiding drugs and alcohol, need male and female competent doctors, imporve continuity of mental health providers, invest in elder care, assisted living facility","Mental health and substance abuse services, home health care/home care services/elder care, affordability of care/uninsured and underinsured populations, accessibility of care, prevention/nutrition, lifestyle, caregiver support, increase number of specialists, violence/abuse prevention of children and elders, maternal and neonatal health, reduce/elimnate teenage pregnancy, transportation",https://www.cdvcmc.com/wp-content/uploads/2020/01/2019-Cordova-CHNA-Survey-1.pdf,https://www.cdvcmc.com/wp-content/uploads/2020/01/2019-Cordova-CHNA-Survey-1.pdf,N/A,
6940058,Fairbanks Memorial Hospital,1650 Cowles Street,Fairbanks,99701-5998,AK,,Non-Profit,2022,Combination of counties and places,"Fairbanks North Star, Denali",N/A,"South East Fairbanks,Yukon- Koyukul","Mental Health, Senior Care, Adverse Childhood Experiences/Trauma, Physical Health, Covid 19","Explore Creation of an Alcohol Use Disorder Services Collaboration, Promote Opportunities to Reduce Social Isolation, Care of Elders/Seniors, Facilitate Improvement in Pediatric Behavioral Health Continuum",https://www.foundationhealth.org/our_community/community_health/community_needs/chna/2022_fhp_collaborative_chna_report_and_appendixpdf,https://www.foundationhealth.org/our_community/community_health/community_needs/2023_community_health_improvement_planpdf,communityfeedback@foundationhealth.org,
6940130,Maniilaq Health Center,436 5th Avenue,Kotzebue,99752-0043,AK,,Non-Profit,N/A unable to find,,,,,,,,,,
