ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6860038,Arizona Orthopedic Surgical Hospital,"2905 West Warner Road, Suite 1",Chandler,85224-1674,AZ,United Surgical Partners International,Non-Profit,2019,Combination of counties and zip codes,Chandler,"85122, 85128, 85139, 85202, 85225, 85283",N/A,"Access to care, Mental/behavioral health and substance abuse, Obesity (diet related illness), Chronic conditions, Injury and trauma ",N/A,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/arizona/az-chandler-regionalreport19.pdf,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/arizona/az-chandler-regionalreport19.pdf,CHNAchandler@Dignityhealth.com
6860305,Abrazo Arrowhead Campus,18701 North 67th Avenue,Glendale,85308-7100,AZ,TENET Healthcare Corporation,Non-Profit,2021,List of Counties,Mariscopa,N/A,N/A,N/A,N/A,https://www.honorhealth.com/sites/default/files/2022-02/2021-CHNA-Report-HonorHealth-DVMC.pdf,https://www.honorhealth.com/sites/default/files/2022-02/2021-CHNA-Report-HonorHealth-DVMC.pdf,roi@abrazohealth.com
6860232,Abrazo Central Campus,2000 West Bethany Home Road,Phoenix,85015-2443,AZ,TENET Healthcare Corporation,Non-Profit,2017,List of Counties,Maricopa,N/A,N/A,N/A,"Access to health care, cancer treatment and preventation, Diabetes",N/A,https://www.maricopa.gov/DocumentCenter/View/40784/MC_2017_CCHNA_Report,https://www.maricopa.gov/DocumentCenter/View/40784/MC_2017_CCHNA_Report
6860315,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,85032-2196,AZ,TENET Healthcare Corporation,Non-Profit,2018,List of Counties,Mariscopa,N/A,N/A,"Mental/Bahavioral Health, Access to care, cancer, injury prevention, overweight/obesity, social dterminants of health, chronic illness","access to care, access to healthy food, early chldhood development",https://www.maricopa.gov/DocumentCenter/View/68104/Final-CHA-30-Report,https://www.maricopa.gov/DocumentCenter/View/51819/CHIP-Cycle-2-Report,N/A
6860027,Abrazo West Campus,13677 West McDowell Road,Goodyear,85395-2635,AZ,TENET Healthcare Corporation,Non-Profit,N/A unable to find,,,,,,,,,
6860038,Arizona Orthopedic Surgical Hospital,"2905 West Warner Road, Suite 1",Chandler,85224-1674,AZ,United Surgical Partners International,Unable to Find,2018,List of Zip Codes,N/A,"85033, 85037, 85301, 85302, 85303, 85307, 85335, 85338, 85340, 85345, 85351, 85353, 85392",N/A,"Access to care, Mental/behavioral health and substance abuse, Obesity (diet related illness), Chronic conditions, Injury and trauma ","Access to care, Mental/behavioral health and substance abuse, Obesity (diet related illness), Chronic conditions, Injury and trauma ",N/A,https://dignityhealthazsh.com/wp-content/uploads/2022/06/2016-Implementation-Strategy.pdf,N/A
6860024,Arizona Spine and Joint Hospital,4620 East Baseline Road,Mesa,85206-4624,AZ,National Surgical Healthcare,For-Profit,2019,"Combination of counties, zip codes, and places",Maricopa,"85118, 85119, 85120, 85132, 85140, 85142, 85143, 85201, 85202, 85204, 85205, 85206, 85207, 85208, 85209, 85210, 85212, 85213, 85215, 85224, 85225, 85233, 85234, 85248, 85249, 85295, 85296, 85298","Gold Canyon, Apache Junction, Florence, San Tan Valley, Queen Creek, San Tan Valley, Mesa, Chandler, Gilbert",N/A," Access to Care, Mental/Behavioral Health, Overweight/Obesity, Cancer, Trauma/Injury Prevention, Social Determinant of Health,",https://www.azspineandjoint.com/wp-content/uploads/2019/03/Dignity-AZ-Spine_Joint-Hospital_-CHNA_Report_2019.pdf,N/A,N/A
6860230,Arizona State Hospital,2500 East Van Buren Street,Phoenix,85008-6079,AZ,,Unable to Find,N/A unable to find,,,,,,,,,
6869155,Aurora Behavioral Health System East,6350 South Maple Street,Tempe,85283-2857,AZ,Signature Healthcare Services,For-Profit,N/A unable to find,,,,,,,,,
6860233,Aurora Behavioral Health System West,6015 West Peoria Avenue,Glendale,85302-1213,AZ,Signature Healthcare Services,For-Profit,N/A unable to find,,,,,,,,,
6860250,Banner - University Medical Center Phoenix,1111 East McDowell Road,Phoenix,85006-2666,AZ,Banner Health,Non-Profit,2022,List of Counties,Maricopa,N/A,N/A,"Access to care, Behavorial health, Depression, Substance abuse, Chronic disease management","Access to care, Behavorial health, Depression, Substance abuse, Chronic disease management",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-university-medical-center-phoenix.ashx,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-university-medical-center-phoenix.ashx,CHNA.CommunityFeedback@bannerhealth.com
6860450,Banner - University Medical Center South,2800 East Ajo Way,Tucson,85713-6289,AZ,Banner Health,Non-Profit,2021,Combination of counties and places,Pima,N/A,"South Tucson, Tucson, Marana, Oro Valley, Sahuarita, Marana,Sahuarita","Access to care, Behavorial health, Depression, Substance abuse, Chronic disease management, Obesity","Access to care, Behavorial health, Depression, Substance abuse, Chronic disease management, Obesity",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-university-medical-centers-tucson-and-south-chna-report-tucson.ashx,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-university-medical-centers-tucson-and-south-chna-report-tucson.ashx,CHNA.CommunityFeedback@bannerhealth.com
6860516,Banner - University Medical Center Tucson,1501 North Campbell Avenue,Tucson,85724-5128,AZ,Banner Health,Non-Profit,2018,List of Counties,Pima,N/A,N/A,"Access to care, Behavorial health, Depression, Substance abuse, Chronic disease management, Obesity","Access to care, Behavorial health, Depression, Substance abuse, Chronic disease management, Obesity",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/arizona/banner-university-tucson-and-south_2019-pima-county-chna.ashx,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/implementation-strategies.ashx,healthypima@pima.gov
6860185,Banner Baywood Medical Center,6644 East Baywood Avenue,Mesa,85206-1797,AZ,Banner Health,Non-Profit,2019,Combination of counties and places,Maricopa,n/a,"Apache Junction, Gold Canyon, Queen Creek, Gilbert","Access to Health Care, Overweight/Obesity, Domestic Violence","Access to Care, Behavioral Health, Chronic Disease Management",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/arizona/banner-baywood_-2019-chna-report.ashx,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/implementation-strategies.ashx,CHNA.CommunityFeedback@bannerhealth.com
6860355,Banner Behavioral Health Hospital - Scottsdale,7575 East Earll Drive,Scottsdale,85251-6915,AZ,Banner Health,Non-Profit,2022,List of Counties,Maricopa,n/a,n/a,"Access to and navigating healthcare services, Access to supportive care after hospital discharge, Access to care post-COVID, Employee wellness, Integrating social determinants of health with Banner, Health literacy, Health management, Diabetes and heart disease management, Diagnosing and managing dementia, Ongoing care for those with long-COVID, Preventative cancer education, Cancer screenings, Access to mental health resources, Mental health care for those affected by COVID, Substance and alcohol abuse and misuse prevention","Improving the health of the communities served, Chronic disease management, Behavioral health",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-behavioral-health-hospital-scottsdale.ashx,n/a,CHNA.CommunityFeedback@bannerhealth.com
