ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,
6710034,Advanced Care Hospital of White County,1200 South Main Street,Searcy,72143-7321,AR,Unity Health,Non-Profit,2021,List of Counties,"Cleburne,Craighead, Independence, Jackson, Lonoke, Prairie, Van Buren, White, Woodruff",N/A,N/A,"Alcohol and Tobacco use in adults and minors, Breast cancer, Elderly with medicare, Housing costs, Vaccinations, Depression disorder, Family Values, No health insurance, Health Screenings, Healthy lifesytle, Education, No personal doctors, Poor mental health, Short life expectancy and high mortality rates","Access to primary care, Preventative health and wellness, Chronic disease management",https://res.cloudinary.com/dpmykpsih/image/upload/unity-health-site-301/media/aa91ac5d47e24e4da0db471560425de2/0923-communityhealthassessment.pdf,https://res.cloudinary.com/dpmykpsih/image/upload/unity-health-site-301/media/aa91ac5d47e24e4da0db471560425de2/0923-communityhealthassessment.pdf,N/A,
6710340,Arkansas Children's Hospital,1 Children's Way,Little Rock,72202-3500,AR,,Non-Profit,2022,List of Counties,All counties in 75 counties in Arkansa ,N/A,N/A,"Behavioral Health & Mental Health, vaccinations, Food insecurity, Infant health, Child abuse and neglect, Access to care, Childhood obesity, Injury Prevetion ","Behavioral Health & Mental Health, vaccinations, Food insecurity, Infant health, Child abuse and neglect, Access to care, Childhood obesity, Injury Prevetion ",https://www.archildrens.org/resources/community-needs-assessment,https://www.archildrens.org/resources/community-needs-assessment,CHNA@archildrens.org.,
6719168,Arkansas Children's Northwest,2601 Gene George Boulevard,Springdale,72762,AR,,Non-Profit,2022,List of Counties,"Baxter, Benton, Boone, Carroll, Crawford, Franklin, Johnson, Logan, Maddison, Marion, Newton, Pope, Scott, Sebastian, Washington",N/A,N/A,"Behavioral Health & Mental Health, vaccinations, Food insecurity, Infant health, Child abuse and neglect, Access to care, Childhood obesity, Injury Prevetion ","Behavioral Health & Mental Health, vaccinations, Food insecurity, Infant health, Child abuse and neglect, Access to care, Childhood obesity, Injury Prevetion ",https://www.archildrens.org/resources/community-needs-assessment,https://www.archildrens.org/resources/community-needs-assessment,CHNA@archildrens.org.,
6710452,Arkansas Continued Care Hospital,3024 Red Wolf Boulevard,Jonesboro,72401-7415,AR,Community Hospital Corporation,Unable to Find,N/A unable to find,,,,,,,,,,
6710009,Arkansas Heart Hospital,1701 South Shackleford Road,Little Rock,72211-4335,AR,,Unable to Find,N/A unable to find,,,,,,,,,,
6710510,Arkansas Methodist Medical Center,900 West Kingshighway,Paragould,72450-5942,AR,,Unable to Find,2020,List of Counties,Green,N/A,N/A,"Mental Health and Substance Use Disorder,Obesity- Healthy Eating and Active Living,Chronic Diseases - Diabetes and High Blood Pressure,Teen Pregnancy/Sexually Transmitted Diseases/Low Birth Weight Babies,Socioeconomics,Access to Care","Access to health care, socioeconomic assitance, substance abuse resources, healthy lifestyle,teen and pregnancy resources",https://www.myammc.org/files/documents/CHNA_Arkansas%20Methodist%20Medical%20Center_Community%20report_2020%206_16_20.pdf,https://www.myammc.org/files/documents/Arkansas%20Methodist%20Medical%20Center%20Implementation%20Strategy%20-%206_15_20.pdf,N/A,
6710350,Arkansas State Hospital,305 South Palm Street,Little Rock,72205-5432,AR,,Unable to Find,N/A unable to find,,,,,,,,,,
6710028,Arkansas Surgical Hospital,5201 North Shore Drive,North Little Rock,72118-5312,AR,,Unable to Find,N/A unable to find,,,,,,,,,,
6710120,Ashley County Medical Center,1015 Unity Road,Crossett,71635-9443,AR,,Non-Profit,2022,Combination of counties and places,Ashley,N/A,"Wilmot,Portland,Hamburg,Crossett,Bastrop","Mental & Behavioral Health ,Chronic Disease","Mental & Behavioral Health ,Chronic Disease",https://www.acmconline.org/documents/rev-ACMC-Assessment-FINAL-w-Attachments.1).pdf,https://www.acmconline.org/documents/rev-ACMC-Assessment-FINAL-w-Attachments.1).pdf,N/A,
6710220,Baptist Health - Fort Smith,1001 Towson Avenue,Fort Smith,72901-4921,AR,Baptist Health,Non-Profit,2023,List of Counties,Sebastian,N/A,N/A,"Mental Health, Drugs, Obesity, Food Security","Mental Health, Drugs, Obesity, Food Security",https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,N/A,
