ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6840029,Animas Surgical Hospital,575 Rivergate Lane,Durango,81301-7487,CO,,Unable to Find,N/A unable to find,,,,,,,,,
6840730,Arkansas Valley Regional Medical Center,1100 Carson Avenue,La Junta,81050-2799,CO,,Non-Profit,2022,List of Counties,"Otero, Crowley, Bent",N/A,N/A,"Access to Affordable Care and Reducing Health Disparities Among Specific Populations, Access to Mental and Behavioral Health Care Services and Providers, Access to Primary & Specialty Care Services and Providers, Continued Focus on COVID‐19 Prevention & Response, Need for Increased Emphasis on Housing & Transportation, Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles","Access to Primary and Specialty Care Services and Providers, Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles, Access to Affordable Care and Reducing Health Disparities Among Specific Populations, Access to Mental and Behavioral Health Care Services and Providers, Continued Focus on COVID‐19 Prevention and Response",https://www.avrmc.org/docs/AVRMC_CHNA_2022_CHNA_and_Implementation_Plan_Report_FINAL_February_2022.pdf,https://www.avrmc.org/docs/AVRMC_CHNA_2022_CHNA_and_Implementation_Plan_Report_FINAL_February_2022.pdf,contactus@avrmc.org
6840020,Aspen Valley Hospital,"0401 Castle Creek Road, Aspen, CO- 81611",Aspen,81611-1159,CO,It has partnership with St. Mary's Medical Center; The Steadman Clinic; Mayo Clinic Laboratories; Surgical Specialists of Colorado; Swedish Hospital; University of Colorado school of Medicine; Valley View Hospital etc.,Non-Profit,2022,List of Counties,"Eagle, Garfield, Pitkin ",N/A,N/A,Focus on issues and areas with high cost of living; high cost of health insurance in the county; social and geographic isolation; high rates of substance abuse;high suicide rates etc.,"SODH like, education; employment opportunities; safe living environment; and access to health care",https://docs.google.com/spreadsheets/d/1x5GPIvrPQr9ZLRiqyQalJrT4z7whnNbi6nwlMJsxWRw/edit#gid=1154193796,https://www.pitkincounty.com/1192/Community-Health-Assessment-Improvement-,N/A
6840030,Avista Adventist Hospital,100 Health Park Drive,Louisville,80027-9583,CO,AdventHealth,Non-Profit,2022,Combination of counties and zip codes,"Boulder, Broomfield","80101, 80104, 80107, 80108, 80109, 80116, 80117, 80118, 80124, 80125, 80126, 80129, 80130, 80131, 80134, 80135, 80138, 80163, 80830, 80832, 80835",N/A,"Housing Stability, Mental Health, Food Security, Health Equity, Access to Primary Care","Housing Stability, Mental Health, Food Security, and Health Equity Integrated Into Other Community Priorities",https://www.adventhealth.com/sites/default/files/assets/2022-community-health-needs-assessment.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth_avista_2023-2025_community_health_plan_0.pdf, AAHCommunityBenefit@Centura.Org
6840445,Banner Fort Collins Medical Center,4700 Lady Moon Drive,Fort Collins,80528-4426,CO,Banner Health,Non-Profit,2019,"Combination of counties, zip codes, and places",Larimer,"80525, 80524, 80526, 80550, 80538, 80528, 80521, 80549, 80537","North Ft. Collins, South Ft. Collins, Windsor, Loveland, North Larimer","Access to Care, Chronic Disease Management, Behavioral Health","Access to Care, Chronic Disease Management, Behavioral Health",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/colorado/banner-fort-collins---2019-chna-report.ashx,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/implementation-strategies.ashx,CHNA.CommunityFeedback@bannerhealth.com
6840040,Boulder Community Health,4747 Arapahoe Ave,Boulder,80303-1133,CO,,Non-Profit,2023,"Combination of counties, zip codes, and places","Boulder, Weld, Erie","80301, 80302, 80303, 80304, 80305, 80306, 80307, 80308, 80309, 80310, 80314, 80321, 80322, 80323, 80328, 80329, 80025, 80516, 80455, 80026, 80027, 80028, 80466, 80471, 80474, 80481","Boulder, Lafayette, Louisville, Eldorado Springs, Erie, Lyons, Jamestown, Nederland, Pinecliffe, Rollinsville, Ward","Mental Health, Chronic Pain Management and Substance Use Disorders, Wellness, Preventative Health, Access to Care, Health Equity, Women's Health, Chronic Disease Management, Aging, Workforce","Mental Health, Chronic Pain Management and Substance Use Disorders, Wellness, Preventative Health, Access to Care, Chronic Disease Management, Workforce, Community Education",https://www.bch.org/documents/content/BCH-CHNA-for-2023-2025-FINAL.pdf,https://www.bch.org/documents/content/BCH-CHNA-for-2023-2025-FINAL.pdf,N/A
6849223,Castle Rock Adventist Hospital,2350 Meadows Boulevard,Castle Rock,80109-8405,CO,AdventHealth,Non-Profit,2022,"Combination of counties, zip codes, and places","Douglas, Elbert","80101, 80104, 80107, 80108, 80109, 80116, 80117, 80118, 80124, 80125, 80126, 80129, 80130, 80131, 80134, 80135, 80138, 80163, 80830, 80832, 80835","Castle Rock, Parker, Highlands Ranch","Mental Health, Access to Primary Care, Substance Use, Food Secruity","Mental Health, Access to Primary Care, Substance Use, Food Secruity",https://www.adventhealth.com/sites/default/files/assets/2022-community-health-needs-assessment_0.pdf,N/A,N/A
6840160,Cedar Springs Hospital,2135 Southgate Road,Colorado Springs,80906-2693,CO,"Universal Health Services, Inc.",Non-Profit,N/A unable to find,,,,,,,,,
6840050,Centennial Peaks Hospital,2255 South 88th Street,Louisville,80027-9716,CO,"Universal Health Services, Inc.",Non-Profit,N/A unable to find,,,,,,,,,
6840280,Children's Hospital Colorado,13123 East 16th Avenue,Aurora,80045-7106,CO,,Non-Profit,N/A unable to find,,,,,,,,,
