ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6160331,Albert J. Solnit Psychiatric Center - South Campus,915 River Road,Middletown,06457-3921,CT,,,N/A unable to find,,,,,,,,,
6160002,Bridgeport Hospital,267 Grant Street,Bridgeport,06610-2805,CT,Yale New Haven Health,Non-Profit,2022,"Combination of counties, zip codes, and places",Fairfield,"06468, 06612, 06611, 06825, 06890, 06606, 06610, 06608, 06604, 06605, 06607, 06615, 06614, 06461, 06460","Monroe, Easton, Trumbull, Fairfield, Bridgeport, Stratford","Access to Care, Healthy Lifestyles, Behavioral Health","Access to Care, Healthy Lifestyles, Behavioral Health",https://www.bridgeporthospital.org/about/community/health-needs-assessment.aspx,https://www.bridgeporthospital.org/about/community/health-needs-assessment.aspx,N/A
6160070,Bristol Hospital,41 Brewster Road,Bristol,06010-5161,CT,,Non-Profit,2022,Combination of counties and zip codes,Hartford,All Connecticut zip codes,N/A,"Access to Care and Care Coordination, Affordable Housing, Income and Poverty, Chronic Disease Management, Maternal and Child Health, Mental and Behavioral Health and Substance Abuse, Overweight/Obesity and Healthy Food Options, Seniors Health and Services, Underserved Populations","Mental Behavioral Health and Substance Misuse, Chronic Disease Management, Access to Care and Care Coordination, Seniors Health and Services",https://www.bristolhealth.org/BristolHealthStaging/media/Bristol-MediaLibrary/General/Footer/Bristol-Health-2022-CHNA-Final-Summary-Report-with-Implementation-Plan-Revised.pdf,https://www.bristolhealth.org/BristolHealthStaging/media/Bristol-MediaLibrary/General/Footer/Bristol-Health-2022-CHNA-Final-Summary-Report-with-Implementation-Plan-Revised.pdf,N/A
6160710,Charlotte Hungerford Hospital,540 Litchfield Street,"Torrington, Torrington",06790-6679,CT,Hartford HealthCare,Non-Profit,2022,List of Counties,"Connecticut, Fairfield, Hartford, Litchfield, New Haven, New London,Tolland, Windham ",N/A,N/A,"Housing Assistance For Cost-Burdened Households Outpatient Mental Health and Substance Use Disorder Services; Capacity for Adults, Adolescents, and Children- Including in-home and caregiver support; Transportation For All Community Members Needing but Unable To Get To Healthcare Services; Integrated Case Management And Multiple Health-Related Services Under One Roof For High Need Patients; Multilingual Medical And Mental Health Services Food Insecurity In Priority Communities; Inpatient Bed Capacity Mental Health Data-based greatest impact on health outcomes; Focused Initiatives Addressing Chronic Health Conditions Additional Programs To Enhance Access to Care For Lower-income Families; Broad-based, integrated services --- Medical, Mental Health, Substance Use Disorder; SIoH for People and Families Experiencing Homelessness; Care Coordination and Support to Help Manage Care for Patients With Complex Health Conditions; Enhanced Collaboration with Community Partners","Housing Assistance For Cost-Burdened Households Outpatient Mental Health and Substance Use Disorder Services; Capacity for Adults, Adolescents, and Children- Including in-home and caregiver support; Transportation For All Community Members Needing but Unable To Get To Healthcare Services; Integrated Case Management And Multiple Health-Related Services Under One Roof For High Need Patients; Multilingual Medical And Mental Health Services Food Insecurity In Priority Communities; Inpatient Bed Capacity Mental Health Data-based greatest impact on health outcomes; Focused Initiatives Addressing Chronic Health Conditions Additional Programs To Enhance Access to Care For Lower-income Families; Broad-based, integrated services --- Medical, Mental Health, Substance Use Disorder; SIoH for People and Families Experiencing Homelessness; Care Coordination and Support to Help Manage Care for Patients With Complex Health Conditions; Enhanced Collaboration with Community Partners",https://hartfordhealthcare.org/file%20library/chna/chna-charlotte-hungerford-hospital-2022.pdf,https://hartfordhealthcare.org/file%20library/chna/chna-charlotte-hungerford-hospital-2022.pdf,N/A
6160450,Connecticut Children's Medical Center,282 Washington Street,Hartford,06106-3322,CT,,Non-Profit,2019,List of Places,N/A,N/A,Hartford,"Mental health, poverty/food insecurity/lack of transportation, substance use disorders/opioids, income inequality/segregation, adverse childhood experiences/trauma, general lack of health care, housing affordability, housing quality, childhood obesity","Mental health, behavioral health, and trauma, school readiness, childhoood obesity prevention, housing, environment, community factors",https://www.connecticutchildrens.org/wp-content/uploads/2019/10/CHNA-2019-19-106.pdf,N/A,N/A
6160800,Connecticut Department of Correction's Hospital,100 Bilton Road,Somers,06071-1059,CT,,,N/A unable to find,,,,,,,,,
6169040,Connecticut Mental Health Center,34 Park Street,New Haven,06519-1109,CT,Connecticut Department of Mental Health and Addiction Services,,N/A unable to find,,,,,,,,,
6160006,Connecticut Valley Hospital,1000 Silver Street,Middletown,06457-3947,CT,Connecticut Department of Mental Health and Addiction Services,,N/A unable to find,,,,,,,,,
6160600,Connecticut Veterans Home and Hospital,287 West Street,Rocky Hill,06067-3501,CT,,,N/A unable to find,,,,,,,,,
6160100,Danbury Hospital,24 Hospital Avenue,Danbury,06810-6099,CT,Nuvance Health,,2022,List of Places,N/A,N/A,"Bethel, Bridgewater, Brookfield, Danbury, New Fairfield, New Milford, Newtown, Redding, Ridgefield, Roxbury, Sherman, Southbury, Washington, Woodbury","violence; mental health; women's, and maternal healthcare; falls among elderly","Chronic disease prevention/Obesity, Mental health/Substance use, Healthy aging, Access to healthcare",file:///Users/kaiyes/Downloads/2022%20Danbury%20Hospital%20Community%20Health%20Needs%20Assessment%20(3).pdf,file:///Users/kaiyes/Downloads/2022%20Nuvance%20CHIP-Danbury%20Hospital.pdf ,N/A
