ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6399235,AdventHealth Carrollwood,7171 North Dale Mabry Highway,Tampa,33614-2665,FL,"AdventHealth; BayCare Health System; Bayfront Health St Petersburg; Moffitt Cancer Cemter; Johns hopkins AII Children's hos[ital; Lakeland Regional Health; Tampa Gereral Hospital; Florida Department of Health in Hillsborough, Pinellas, Pasco, and Polk counties.  ",Non-Profit,2022,List of Counties,Hillsborough,N/A,N/A,"Access to Health and Social Services, Behavioral Health (Mental Health & Substance Misuse), Cancer, Exercise, Nutrition and Weight, Cardiovascular: Heart Disease and Stroke, Immunizations and Infectious Diseases","Access to Health and Social Services, Behavioral Health (Mental Health & Substance Misuse) ",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-carrollwood.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth_carrollwood_2023-2025_community_health_plan.pdf,WFD.CommunityBenefits@AdventHealth.com
6390403,AdventHealth Connerton,9441 Health Center Drive,Land O'Lakes,34637-5837,FL,Florida Department of Health in Pasco county; Moffitt Cancer Center; BayCare; Tampa Gereral Hospital; Lakeland Regional Health. ,Non-Profit,2022,List of Counties,"Pasco, Hillsborough, Hernando, Pinellas",N/A,N/A,"Access to Health and Social Services, Behavioral Health (Mental Health and Substance Misuse) , Cancer, Exercise, Nutrition and Weight, Heart Disease and Stroke, Immunizations and Infectious Diseases"," Access to Health and Social Services, Behavioral Health (Mental Health & Substance Misuse)",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-connerton_0.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth-connerton-2023-2025-community-health-plan.pdf,wfd.communitybenefits@adventhealth.com
6390135,AdventHealth Dade City,13100 Fort King Road,Dade City,33525-5294,FL,Advanced ICU Care,Non-Profit,2022,List of Counties,"Pasco, Hernando ",N/A,N/A,"Access to Health and Social Services, Behavioral Health (Mental Health and Substance Misuse), Cancer, Exercise, Nutrition and Weight, Heart Disease and Stroke, Immunizations and Infectious Diseases"," Access to Health and Social Services, Behavioral Health (Mental Health & Substance Misuse)",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-dade-city_0.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth-dade-city-2023-2025-community-health-plan.pdf,wfd.communitybenefits@adventhealth.com
6390727,AdventHealth Daytona Beach,301 Memorial Medical Parkway,Daytona Beach,32117-5167,FL,Bethune Cookman University,Non-Profit,2022,List of Counties,"Volusia, Flagler",N/A,N/A,"Economic Stability (Housing, Food Security, Childcare, Workforce, Poverty); Health Care Access and Quality (Mental Health Care, Substance Use, System Infrastructure, Health Care Access)","Behavioral Health: Drug and Substance Use, Early Childhood Education, Community Engagement on Available Resources and Services ",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-daytona-beach_1.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth_daytona_beach_2023-2025_community_health_plan.pdf,CORP.CommunityBenefitSupport@AdventHealth.com
6390161,AdventHealth DeLand,701 West Plymouth Avenue,DeLand,32720-3236,FL,Partners with local organizations. ,Non-Profit,2022,List of Counties,Volusia ,N/A,N/A,"Economic Stability( Housing, Food Security, Childcare, Workforce, Poverty); Health Care Access and Quality (Mental Health Care, Substance Use, System Infrastructure, Health Care Access)","Behavioral Health (Drug and Substance Use), Early Childhood Education, Community Engagement on Available Resources and Services",https://www.adventhealth.com/sites/default/files/assets/2022-chna-deland.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth-deland-2023-2025-community-health-plan.pdf,CORP.CommunityBenefitSupport@AdventHealth.com
6390046,AdventHealth Fish Memorial,1055 Saxon Boulevard,Orange City,32763-8468,FL,AdventHealth,Non-Profit,2022,List of Counties,Volusia,N/A,N/A,"Economic Stability( Housing, Food Security, Childcare, Workforce, Poverty); Health Care Access and Quality (Mental Health Care, Substance Use, System Infrastructure, Health Care Access)","Behavioral Health (Drug and Substance Use), Early Childhood Education, Community Engagement on Available Resources and Services ",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-fish-memorial.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth-fish-memorial-2023-2025-community-health-plan.pdf,CORP.CommunityBenefitSupport@AdventHealth.com
6390286,AdventHealth Heart of Florida,40100 Highway 27,Davenport,33837-5906,FL,AdventHealth Central Florida Division,Non-Profit,2024,List of Counties,Polk,N/A,N/A,"Health Care Access and Quality( Cancer, Heart Disease & Stroke, Mental Health, Substance Misuse,  Exercise, Nutrition, Weight, Immunizations & Infectious Disease, Access to Health & Social Services); Economic Stability (Food Security, Housing, Income, Transportation)","Access to Health and Social Services, Behavioral Health (Mental Health & Substance Misuse)",https://www.adventhealth.com/sites/default/files/assets/adventhealth_heart_of_florida_2024_community_amber_windsor-hardy_1_.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth_heart_of_florida_2024_community_amber_windsor-hardy_1_.pdf,WFD.CommunityBenefits@adventhealth.com
6390480,AdventHealth Lake Wales,410 South 11th Street,Lake Wales,33853-4256,FL,AdventHealth,Non-Profit,2024,List of Counties,Polk ,N/A,N/A,"Health Care Access and Quality( Cancer, Heart Disease & Stroke, Mental Health, Substance Misuse,  Exercise, Nutrition, Weight, Immunizations & Infectious Disease, Access to Health & Social Services); Economic Stability (Food Security, Housing, Income, Transportation)","Access to Health and Social Services, Exercise, Nutrition, and Weight",https://www.adventhealth.com/sites/default/files/assets/adventhealth_lake_wales_2024_community_health_amber_windsor-hardy.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth_lake_wales_2024_community_health_amber_windsor-hardy.pdf,WFD.CommunityBenefits@adventhealth.com
6390668,AdventHealth New Smyrna Beach,401 Palmetto Street,New Smyrna Beach,32168-7399,FL,AdventHealth,Non-Profit,2022,List of Counties,Volusia ,N/A,N/A,"Economic Stability( Housing, Food Security, Childcare, Workforce); Health Care Access and Quality (Mental Health Care, Substance Use, Infrastructure, Health Care Access)","Behavioral Health (Drug and Substance Use), Early Childhood Education, Community Engagement on Available Resources and Services",https://www.adventhealth.com/sites/default/files/assets/2022_community_health_needs_assessment-new-smyrna.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth-new-smyrna-beach-2023-2025-community-health-plan.pdf,CORP.CommunityBenefitSupport@AdventHealth.com
6391105,AdventHealth North Pinellas,1395 South Pinellas Avenue,Tarpon Springs,34689-3790,FL,University Community Health,Non-Profit,2022,List of Counties,"Pasco, Pinellas                               ",N/A,N/A,"Access to Health and Social Services, Behavioral Health (Mental Health and Substance Misuse), Cancer, Exercise, Nutrition and Weight, Heart Disease and Stroke, Immunizations and Infectious Diseases","Access to Health & Social Services, Behavioral Health (Mental Health & Substance Misuse)",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-north-pinellas.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth-north-pinellas-2023-2025-community-health-plan.pdf,WFD.CommunityBenefits@adventhealth.com
