ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6380365,AdventHealth Gordon,1035 Red Bud Road,Calhoun,30701-2082,GA,AdventHealth,Non-Profit,2020,List of Counties,Gordon,N/A,N/A,"Teen Pregnancy, Immunization, Respiratory Disease","Cancer, Chronic Disease, Mental Health, Vaping ",https://www.adventhealth.com/sites/default/files/assets/2020-2022-Community-Health-Plan-Gordon-FINAL.pdf,https://www.adventhealth.com/sites/default/files/assets/2020-2022-Community-Health-Plan-Gordon-FINAL.pdf,wendy.taylor@adventhealth.com
6380401,AdventHealth Murray,707 Old Dalton Ellijay Road,Chatsworth,30705-2060,GA,AdventHealth,Non-Profit,2019,List of Zip Codes,N/A,"30708, 30711, 30751, 30705, 30724",N/A,"Cancer, Heart Disease, Diabetes, High Blood Pressure, Cholesterol, Vaping, Lifestyle - Nutrition, Teen Pregnancy, Immunization-children, Asthma-children","Cancer, Diabetes, Vaping, Lifestyle, Nutrition",https://www.adventhealth.com/sites/default/files/assets/2019_CHNA_AdventHealth_Murray.pdf,N/A,wendy.taylor@adventhealth.com
6380290,Anchor Hospital,5454 Yorktowne Drive,Atlanta,30349-5317,GA,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6380315,Appling Healthcare System,163 East Tollison Street,Baxley,31513-0120,GA,,Non-Profit,2022,Combination of counties and places,Appling,N/A,"Baxley, Graham, Surrency city ","Chronic Conditions, Nutrition, Mental health and COVID-19, Lack of specialists, Transportation, Poverty","Mental and Behavioral Health, Access to Care, Lifestyle and Obesity, Adolescent Health, Social Media Outreach",https://www.ahcs.org/wp-content/uploads/2022/08/2022-BACHA-CHNA.pdf,https://www.ahcs.org/wp-content/uploads/2022/08/2022-BACHA-CHNA.pdf,N/A
6380240,Atlanta Veterans Affairs Medical Center,1670 Clairmont Road,Decatur,30033-4004,GA,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,
6380254,Augusta University Medical Center,1120 15th Street,Augusta,30912-0004,GA,,Non-Profit,N/A unable to find,,,,,,,,,
6380020,Bacon County Hospital and Health System,302 South Wayne Street,Alma,31510-2922,GA,,Unable to find,2022,List of Counties,"Appling, Coffee, Jeff Davis, Pierce, Ware",N/A,N/A,"Substance use and drug addiction, Chronic Conditions including cardiovascular diseases and diabetes, Health education, awareness","Substance use and drug addiction, Chronic Conditions including cardiovascular diseases and diabetes, Health education, awareness",https://www.baconcountyhospital.com/docs/Bacon_County_Hospital_and_HealthSystem_2022_CHNA_Final.pdf,https://www.baconcountyhospital.com/docs/CHNA_Implementation_Plan_2022.pdf,N/A
6380427,Bleckley Memorial Hospital,145 East Peacock Street,Cochran,31014-7846,GA,,Non-Profit,N/A unable to find,,,,,,,,,
6389185,Brooks County Hospital,903 North Court Street,Quitman,31643-1315,GA,Archbold Medical Center,Non-Profit,2019,List of Counties,Brooks,N/A,N/A,"Nutrition, More doctors, More health education, Pediatrician, Mental health services, Dental care, Larger hospital, Urgent care/walk-in clinic, Community health fairs, Transportation for low income","Diabetes, High Blood Pressure, Obesity, Heart Disease, Drug Addiction, Mental health issues, Lung Disease",https://archbold.org/uploads/groups/3/Archbold-CHNA-Brooks-20192020-web.pdf,https://archbold.org/uploads/groups/3/Archbold-CHNA-Brooks-20192020-web.pdf,N/A
6381255,Burke Medical Center,351 Liberty Street,Waynesboro,30830-9686,GA,,Non-Profit,N/A unable to find,,,,,,,,,
638080A,Candler County Hospital,400 Cedar Street,Metter,30439-3338,GA,,Non-Profit,N/A unable to find,,,,,,,,,
6381080,Candler Hospital,5353 Reynolds Street,Savannah,31405-6015,GA,,Non-Profit,2022,Combination of counties and places,Chatham,N/A,"Savannah, Bloomingdale, Garden, City, Pooler, Port Wentworth, Tybee Island, Thunderbolt, Vernonburg","Access to affordable health insurance, Access to mental health services, Access to affordable and convenient health care, Access to affordable dental care, Chronic disease and routine care, Preventative Cancer Care, Reproductive Health, COVID-19 Education","Access to affordable health insurance, Access to mental health services, Access to affordable and convenient health care, Access to affordable dental care, Chronic disease and routine care, Preventative Cancer Care, Reproductive Health, COVID-19 Education",https://www.sjchs.org/docs/default-source/default-document-library/2022-chna.pdf?sfvrsn=434d62ee_2,https://www.sjchs.org/docs/default-source/default-document-library/2022-chna-implementation-plan.pdf?sfvrsn=113ea7e5_2,communitybenefits@sjchs.org
6380540,Carl Vinson Veterans Affairs Medical Center,1826 Veterans Boulevard,Dublin,31021-3620,GA,Department of Veterans Affairs,Unable to find,N/A unable to find,,,,,,,,,
6380395,Cartersville Medical Center,960 Joe Frank Harris Parkway,Cartersville,30120-2129,GA,HCA Healthcare,Non-Profit,2022,List of Counties,Bartow,N/A,N/A,"Ensure affordable access to health, mental and dental care, Reduce preventable instances of and death from cancer, Promote healthy behaviors to reduce preventable chronic conditions and diseases, Reduce preventable instances and death from heart disease","Ensure affordable access to health, mental and dental care, Reduce preventable instances of and death from cancer, Promote healthy behaviors to reduce preventable chronic conditions and diseases, Reduce preventable instances and death from heart disease",https://www.piedmont.org/media/file/Community-Benefit-Needs-Assessment-PCH.pdf,https://www.piedmont.org/media/file/Community-Benefit-Implementation-Strategy-PCH.pdf,N/A
6380810,Central State Hospital,2450 Vinson Highway,Milledgeville,31062-0001,GA,,Unable to find,N/A unable to find,,,,,,,,,
6380280,Charlie Norwood Veterans Affairs Medical Center,1 Freedom Way,Augusta,30904-6285,GA,Department of Veterans Affairs,Unable to find,N/A unable to find,,,,,,,,,
6380655,Chatuge Regional Hospital and Nursing Home,110 Main Street,Hiawassee,30546-3408,GA,"Union General Hospital, Inc.",Non-Profit,2021,List of Counties,Towns,N/A,N/A,"mental health, overweight/obesity, drug and substance abuse treatment, heart disease/vascular disease, respiratory system disease","Heart/Vascular Disease, Overweight/Obesity, Drug/Substance Abuse, Child Nutrition, Mental Health",https://www.uniongeneralhealthsystem.com/fullpanel/uploads/files/2021-chatuge-regional-hospital-chna.pdf,https://www.uniongeneralhealthsystem.com/fullpanel/uploads/files/2021-chatuge-regional-hospital-chna.pdf,Amy Grubbs amygrubbs@uniongeneral.org
6380595,CHI Memorial Hospital - Georgia,100 Gross Crescent Circle,Fort Oglethorpe,30742-3669,GA,CommonSpirit Health,Non-Profit,2022,List of Counties,"Catoosa, Dade, Walker",N/A,N/A,"Access to affordable healthcare and insurance, Mental/behavioral health, Affordable, healthy housing, Substance Use Disorder, Prevention and Education, Violence, Obesity, Food insecurity, Chronic diseases","Access to affordable healthcare and insurance, Mental/behavioral health, Affordable, healthy housing, Substance Use Disorder, Prevention and Education, Violence, Obesity, Food insecurity, Chronic diseases",https://www.memorial.org/content/dam/chi-memorial/website/documents/about-us/CHNA_CHI%20Memorial_Community%20report_2022%20v7.pdf,https://www.memorial.org/content/dam/chi-memorial/website/documents/about-us/community-benefit/CHI_ImplStrategy2022_Memorial_Approved.pdf,N/A
6380021,Children's Healthcare of Atlanta,"1600 Tullie Circle, NE",Atlanta,30329-2303,GA,,Non-Profit,2022,List of Counties,"Bartow, Carroll, Cherokee, Clayton, Cobb, Coweta, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Hall, Henry, Newton, Paulding, Rockdale, Walton",N/A,N/A,"Collaboration to enhance access to mental, behavioral and developmental health services for children and adolescents, Programs to address chronic disease prevention and management, Programs to support adolescent health issues, Programs to reduce childhood obesity, Programs to address infectious disease prevention and management, Programs and collaboration to support community outreach, Programs to address injury prevention, Collaboration to address access to primary care medical homes for children and adolescents, Programs to address health literacy, Collaboration to address access to oral health services","Collaboration to enhance access to mental, behavioral and developmental health services for children and adolescents, Programs to address chronic disease prevention and management, Programs to support adolescent health issues, Programs to reduce childhood obesity, Programs to address infectious disease prevention and management, Programs and collaboration to support community outreach, Programs to address injury prevention, Collaboration to address access to primary care medical homes for children and adolescents, Programs to address health literacy, Collaboration to address access to oral health services",https://www.choa.org/-/media/Files/Childrens/about-us/2022-childrens-community-health-needs-assessment.pdf?la=en&hash=641441C02B268FED935437F2E3AF182E699932C2,https://www.choa.org/-/media/Files/Childrens/about-us/2022-childrens-community-health-needs-assessment.pdf?la=en&hash=641441C02B268FED935437F2E3AF182E699932C2,N/A
6380665,Clinch Memorial Hospital,1050 Valdosta Highway,Homerville,31634-9701,GA,,Non-Profit,2022,List of Counties,Clinch,N/A,N/A,"Lack of Adequate Physical Activity, Mental Health & COVID-19- related impacts, Drug Abuse, Risky Sexual Behavior, Low Life Expectancy, Nutrition and Prescription Compliance, Access & Transportation, Utilization, Senior care","Health Behaviors, Teen Health, Preventive Screenings, Mental Health",https://clinchmh.org/wp-content/uploads/2022/06/Clinch_Final_June-16.pdf,https://clinchmh.org/wp-content/uploads/2022/06/Clinch_Final_June-16.pdf,N/A
6388108,Coastal Harbor Treatment Center,1150 Cornell Avenue,Savannah,31406-2702,GA,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6380510,Coffee Regional Medical Center,1101 Ocilla Road,Douglas,31533-2207,GA,,Non-Profit,2022,Combination of counties and zip codes,"Coffee, Atkinson, Jeff Davis, Ben Hill, Bacon ","13003, 13005, 13017, 13069, 13161",N/A,"Affordable Healthcare/Insurance, Access to Good Nutrition, Access to Primary Care and Preventative Care, Heart Disease Treatment, Drug Prevention and Treatment, Transportation, Obesity/Physical Fitness, Mental Health, Cancer, Dental Health, Diabetes, Women's Health","Additional Primary Care Resources, Access to Care/Transportation, Health Education/Obesity/Diet and Nutrition/Preventive Care/Mental Health, Heart Health and Prevention of Heart Disease, Cancer Treatment Options",https://www.coffeeregional.org/wp-content/uploads/2023/01/2022-CHNA-Report-FINAL-REV.pdf,https://www.coffeeregional.org/wp-content/uploads/2023/01/2022-CHNA-Report-FINAL-REV.pdf,N/A
6380715,Coliseum Medical Centers,350 Hospital Drive,Macon,31217-3871,GA,HCA Healthcare,Non-Profit,2022,List of Counties,Macon-Bibb,N/A,N/A,"Access to Care; Chronic Health Concerns such as diabetes, hypertension, obesity, and respiratory disease; Homelessness; Housing Insecurity; Food Deserts","Ensure affordable access to health, mental, and dental care; promote healthy behaviors to reduce preventable chronic conditions and diseases; Reduce preventable instances of and death from cancer; Reduce preventable instances and death from heart disease",https://www.piedmont.org/media/file/Community-Benefit-Needs-Assessment-PMM.pdf,https://www.piedmont.org/media/file/Community-Benefit-Implementation-Strategy-PMM.pdf,communityprograms@piedmont.org
6380745,Coliseum Northside Hospital,400 Charter Boulevard,Macon,31210-4853,GA,HCA Healthcare,Non-Profit,2022,List of Counties,Macon-Bibb,N/A,N/A,"Access to Care; Chronic Health Concerns such as diabetes, hypertension, obesity, and respiratory disease; Homelessness; Housing Insecurity; Food Deserts","Ensure affordable access to health, mental, and dental care; promote healthy behaviors to reduce preventable chronic conditions and diseases; Reduce preventable instances of and death from cancer; Reduce preventable instances and death from heart disease",https://www.piedmont.org/media/file/Community-Benefit-Needs-Assessment-PMM.pdf,https://www.piedmont.org/media/file/Community-Benefit-Implementation-Strategy-PMM.pdf,communityprograms@piedmont.org
6380890,Colquitt Regional Medical Center,3131 South Main Street,Moultrie,31768-6925,GA,,Non-Profit,2022,List of Counties,Colquitt,N/A,N/A,"Substance Abuse, Mental Health, Chronic Conditions","Access to Care/Transportation, Cancer Screening, Chronic Obstructive Pulmonary Disease & Congestive Heart Failure",https://colquittregional.com/wp-content/uploads/2022/09/Colquitt-Regional-CHNA.pdf,https://colquittregional.com/wp-content/uploads/2022/09/Colquitt-Regional-CHNA.pdf,jjordan@colquittregional.com
