ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6950425,Adventist Health Castle,640 Ulukahiki Street,Kailua,96734-4454,HI,Adventist Health,Non-Profit,2019,List of Places,N/A,N/A,"Kahuku, La'ie, Hau'ula, Ka'a'awa, Kane'ohe, Kailua, Waimanalo","Diabetes, Access to Care","Nurture Community Identity and Cohesiveness, Provide accessable, Proactive support for those with high needs",https://www.adventisthealth.org/documents/community-benefit/2019-chna/Castle_2019_CommunityHealthNeedsAssessment.pdf,https://www.adventisthealth.org/documents/community-benefit/2020-chis/Castle_2020_CommunityHealthImplementationStrategy.pdf,tjapketm@ah.org
6530480,Hale County Hospital,508 Green Street,Greensboro,36744-2316,AL,,,N/A unable to find,,,,,,,,,
6950055,Hale Ho'ola Hamakua,45-547 Plumeria Street,Honokaa,96727-6902,HI,Hawaii Health Systems Corporation,,2018,Combination of counties and places,"Maui, Hawai'I, Honolulu",N/A,"Maunaloa, Hoolehua, Kualapuu, Puna, Hilo, Hamakua, Naalehua, Kona, Kalihi, Waianae","Financial hardship, Houseless and hungry, Severe mental illness and addiction, Fear and anxiety, Grief and loss","Security, Justice, Love, Hope, Time, Food, Place, Community, Healthy keiki, Healthy kupuna, Care, Avaliable healthcare",https://www.hawaiipacifichealth.org/media/11316/2019-chna-straub-final.pdf,https://www.hawaiipacifichealth.org/media/11316/2019-chna-straub-final.pdf,N/A
6950430,Hawaii State Hospital,45-710 Keaahala Road,Kaneohe,96744-3597,HI,,,N/A unable to find,,,,,,,,,
6950050,Hilo Medical Center,1190 Waianuenue Avenue,Hilo,96720-2089,HI,Hawaii Health Systems Corporation,Non-Profit,N/A unable to find,,,,,,,,,
6950420,Kahuku Medical Center,56-117 Pualalea Street,Kahuku,96731-2052,HI,,Non-Profit,N/A unable to find,,,,,,,,,
6950330,Kaiser Permanente Medical Center,3288 Moanalua Road,Honolulu,96819-1469,HI,Kaiser Foundation Hospitals,,2022,List of Places,N/A,N/A,Oahu ,"Access to care, Housing, Income & employment, Food insecurity","Access to care, Housing, Income & employment, Food insecurity",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/honolulu-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/honolulu-is-2022.pdf,CHNA-communications@kp.org
6950130,Ka'u Hospital,1 Kamani Street,Pahala,96777,HI,Hawaii Health Systems Corporation,,N/A unable to find,,,,,,,,,
6950335,Kapiolani Medical Center for Women & Children,1319 Punahou Street,Honolulu,96826-1001,HI,Hawaii Pacific Health,Non-Profit,2022,List of Places,N/A,N/A,Oahu ,"Access to care, Housing, Income & employment, Food insecurity","Access to care, Housing, Income & employment, Food insecurity",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/honolulu-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/honolulu-is-2022.pdf,Christina K. Hause
6950200,Kauai Veterans Memorial Hospital,4643 Waimea Canyon Road,Waimea,96796,HI,Hawaii Health Systems Corporation,Non-Profit,N/A unable to find,,,,,,,,,
