ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6820215,Bear Lake Memorial Hospital,164 South 5th Street,Montpelier,83254-1597,ID,,,N/A unable to find,,,,,,,,,
6820347,,229 South Seventh Street,Saint Maries,83861-1803,ID,QHR,Unable to Find,N/A unable to find,,,,,,,,,
6820015,Bingham Memorial Hospital,98 Poplar Street,Blackfoot,83221-1799,ID,,Non-profit,2019,"Combination of counties, zip codes, and places","Bingham, Bannock, Bonneville","83221, 83274, 83236, 83262, 83210, 83256, 83277, 83218, 83215, 83202, 83245, 83203, 83250, 83246, 83214, 83281, 83405, 83427, 83443, 83428, 83454, 83449","Blackfood, Shelley, Firth, Pingree, Aberdeen, Moreland, Springfield, Basalt, Atomic City, Pocatello, Inkom, Mccammon, Lava Hot Springs, Downey, Arimo, Swanlake, Idaho Falls, Iona, Ririe, Irwin, Ucon, Swan Valley","Mental health services, Substance abuse, Adult obesity, Access to primary care providers ","Mental health services, Substance abuse, Adult obesity, Access to primary care providers",https://kgi.60e.myftpupload.com/wp-content/uploads/2022/03/Bingham-CHNA-Rpt19.pdf,https://kgi.60e.myftpupload.com/wp-content/uploads/2022/03/Bingham-CHNA-Rpt19.pdf,N/A
6820060,Boise Veterans Affairs Medical Center,500 West Fort Street,Boise,83702-4598,ID,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,
6820360,Bonner General Hospital,520 North Third Avenue,Sandpoint,83864-1507,ID,,Non-profit,2022,Combination of counties and places,Bonner ,N/A,"Sandpoint, Priest River, Sagle, Cocolalla, Ponderay, Hope, Clark Fork","Mental Health, Preventative Health, Access to Care, Overweight/Obesity","Mental Health, Preventative Health, Access to Care, Obesity, ",https://bonnergeneral.org/wp-content/uploads/2023/02/CHNA-2022-1.pdf,https://bonnergeneral.org/wp-content/uploads/2023/02/CHNA-2022-1.pdf,development@bonnergeneral.org
6820070,Boundary Community Hospital,6640 Kaniksu Street,Bonners Ferry,83805-7532,ID,,,N/A unable to find,,,,,,,,,
6820370,Caribou Memorial Hospital and Living Center,300 South Third West,Soda Springs,83276-1598,ID,,,N/A unable to find,,,,,,,,,
6820095,Cascade Medical Center,402 Lake Cascade Pkwy,Cascade,83611-7702,ID,,Unable to Find,N/A unable to find,,,,,,,,,
6820075,Cassia Regional Hospital,1501 Hiland Avenue,Burley,83318-2688,ID,"Intermountain Healthcare, Inc.",Non-profit,2022,Combination of counties and places,"Cassia, Minidoka ",N/A,"Burley, Delta, Farmington, Heber, Logan, Ephraim, Murray, Nephi, Ogden, Panguirtch, Park City, Provo, Richfield, Riverton, Salt Lake City, Sandy, St. George, Trmonton","Improve Mental Well-Being, Improve Chronic & Avoidable Health Outcomes, Address & Invest in Social Determinants of Health","Improve mental well-being, Prevent avoidable diseases and injury",https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chna-2022/intermountain-healthcare-chna-report-2022.ashx,N/A,N/A
6820265,Clearwater Valley Hospital and Clinics,301 Cedar,Orofino,83544-9029,ID,Essentia Health,Non-profit,2023,Combination of counties and places,"Clearwater, Lewis, Idaho",N/A,"Orofino, Pierce, Kamiah, Cottonwood, Grangeville","Deaths of Despair, Obesity/Healthy Lifestyle, Access to Quality Care, Cancer Screening","Deaths of Despair, Obesity/Healthy Lifestyle, Access to Quality Care, Cancer Screening",https://smh-cvh.org/wp-content/uploads/2023/07/CHNA-Report_2023.pdf,https://smh-cvh.org/wp-content/uploads/2023/07/CHNA-Report_2023.pdf,N/A
6820165,Eastern Idaho Regional Medical Center,3100 Channing Way,Idaho Falls,83404-7533,ID,HCA Healthcare,,N/A unable to find,,,,,,,,,
6820310,Franklin County Medical Center,44 North First East Street,Preston,83263-1399,ID,,Non-profit,N/A unable to find,,,,,,,,,
6820220,Gritman Medical Center,700 South Main Street,Moscow,83843-3056,ID,QHR,Non-profit,2023,"Combination of counties, zip codes, and places",Latah,"83535, 83537, 83823, 83832, 83834, 83843, 83855, 83857, 83871, 83872, 83806, 38355","Juliaetta, Kendrick, Bovill, Deary, Genesee, Harvard, Moscow, Onaway, Potlach, Princeton, Troy, Viola","Behavioral Health (Mental Health/Alcohol/Substance Abuse), Access and Affordability, Prevention, Chronic Disease Managment (Diabetes/Cancer)","Behavioral Health (Mental Health/Alcohol/Substance Abuse), Access and Affordability, Prevention, Chronic Disease Managment (Diabetes/Cancer)",https://www.gritman.org/wp-content/uploads/2022-Community-Health-Needs-Assessment.pdf,https://www.gritman.org/wp-content/uploads/2022-Community-Health-Needs-Assessment.pdf,N/A
6820030,Intermountain Hospital,303 North Allumbaugh Street,Boise,83704-9208,ID,"Universal Health Services, Inc.",Unable to Find,N/A unable to find,,,,,,,,,
6820111,Kootenai Health,2003 Kootenai Health Way,Coeur D'Alene,83814-2677,ID,,Non-profit,N/A unable to find,,,,,,,,,
6820011,Lost Rivers Medical Center,551 Highland Drive,Arco,83213-9771,ID,,,N/A unable to find,,,,,,,,,
6820330,Madison Memorial Hospital,450 East Main Street,Rexburg,83440-2048,ID,,,N/A unable to find,,,,,,,,,
6820338,Minidoka Memorial Hospital,1224 Eighth Street,Rupert,83350-1599,ID,,,N/A unable to find,,,,,,,,,
6820017,Mountain River Birthing and Surgery Center,350 North Meridian Street,Blackfoot,83221-1625,ID,,Unable to Find,N/A unable to find,,,,,,,,,
6820006,Mountain View Hospital,2325 Coronado Street,Idaho Falls,83404-7407,ID,,,N/A unable to find,,,,,,,,,
6820210,Nell J. Redfield Memorial Hospital,150 North 200 West,Malad City,83252-1239,ID,,,N/A unable to find,,,,,,,,,
6820140,North Canyon Medical Center,267 North Canyon Drive,Gooding,83330-5500,ID,,Non-profit,2022,Combination of counties and places,"Elmore, Gooding, Jerome, Twin Falls",N/A,"Mountain Home, Buhl, Twin Falls, Jerome","Better coordination of resources, Women's Health, Diabetic Resoures, Health Education","Better coordination of resources, Women's Health, Diabetic Resoures, Health Education",https://docs.google.com/spreadsheets/d/139PVGfJzG0DG6kY4QQv_aNuieBTxi3oHyxI94oF32ZU/edit#gid=484655367,https://northcanyon.org/wp-content/uploads/2023/01/FY22-CHNA-Implementation-Plan-Board-Approved.pdf,N/A
6820018,Northern Idaho Advanced Care Hospital,600 North Cecil Road,Post Falls,83854-6200,ID,"Ernest Health, Inc.",,N/A unable to find,,,,,,,,,
