ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6432090,Abraham Lincoln Memorial Hospital,200 Stahlhut Drive,Lincoln,62656-5066,IL,Memorial Health System,Non-Profit,2021,List of Counties,Logan,N/A,N/A,"diabetes, fruit and vegetable consumption, heart disease/stroke, low mental health provider rate, lung cancer, obesity, senior mental health, suicide, vaping/tobacco, youth mental health","youth mental health, obesity, substance abuse",https://memorial.health/Resources/9ab222a8-d31d-45f6-9a5e-71eb5adf9cb2/2021-CHNA-Report-Logan-County-LMH.pdf,https://memorial.health/Resources/114a5350-528b-411f-86f0-3aa5cdd2fb5d/CHIP-Logan-County-LMH-22-24.pdf,CommunityHealth@mhsil.com
6430034,Adventist Medical Center Bolingbrook,500 Remington Boulevard,Bolingbrook,60440-4906,IL,AdventHealth,Non-Profit,2022,List of Zip Codes,N/A,"60544, 60435, 60403, 60441, 60439, 60517, 60440, 60490, 60446",N/A,"Access to care, behavioral health and substance abuse, accress to food and nutrition, stabilizing the built environment ","Access to Health Care, Access to Food & Nutrition, Behavioral Health & Substance Use, Stabilizing the Built Environment",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-bolingbrook.pdf,https://www.adventhealth.com/sites/default/files/assets/2020-2022-community-health-plan.pdf,CORP.CommunityBenefitSupport@AdventHealth.com
6431790,Adventist Medical Center GlenOaks,701 Winthrop Avenue,Glendale Heights,60139-1403,IL,AdventHealth,Non-Profit,2022,List of Zip Codes,N/A,"60172, 60108, 60188, 60139, 60101, 60137, 60148",N/A,"Affordable housing, technology & social media use, transportation options, mental health, substance abuse","Behavioral health, health status improvement",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-glen-oaks.pdf,https://www.adventhealth.com/sites/default/files/assets/2020-2022-community-health-plan-1.pdf,CORP.CommunityBenefitSupport@AdventHealth.com
6431920,Adventist Medical Center - Hinsdale,120 North Oak Street,Hinsdale,60521-3890,IL,AdventHealth,Non-Profit,2019,List of Zip Codes,N/A,"60148, 60181, 60126, 60523, 60515, 60154, 60516, 60517, 60440, 60446, 60439, 60480, 60527, 60561, 60559, 60521, 60638, 60402, 60513, 60526, 60558, 60525",N/A,"Behavioral Health, Health Status Improvement, Affordable Housing","Behavioral Health, Health Status Improvement",https://www.amitahealth.org/assets/documents/about-us/supportingcommunities/hinsdale/2019-dupage-county-community-health-needs-assessment.pdf,https://www.amitahealth.org/assets/documents/about-us/supportingcommunities/hinsdale/amc-hinsdale-implementation-strategy-2020-2022-final.pdf,N/A
6432055,Adventist Medical Center LaGrange,5101 South Willow Spring Road,La Grange,60525-2600,IL,AdventHealth,Non-Profit,2022,List of Zip Codes,N/A,"60154, 60526, 60558, 60527, 60561, 60527, 60525, 60513, 60546,60534,60501,60458,60480, 60457, 60455, 60402, 60638,60804",N/A,"social & structural determinants of health; access to care, community resources. & systems improvement; mental health and substance use disorders; chronic condition prevention & management","social & structural determinants of health; access to care, community resources. & systems improvement; mental health and substance use disorders; chronic condition prevention & management",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-la-grange.pdf,https://www.amitahealth.org/assets/documents/about-us/supportingcommunities/lagrange/amc-la-grange-implementation-strategy-2020-2022-final.pdf,N/A
6430245,Advocate BroMenn Medical Center,1304 Franklin Avenue,Normal,61761-3558,IL,Advocate Aurora Health,Non-Profit,2019,List of Counties,mcclean,N/A,N/A,"alzheimer's and dementia, birth outcomes, cancer, cesarean section, heart disease, mental health, obesity, oral health, respiratory disease, STD's, Substance abuse, violent crime","access to appropriate care for underserved and areas of high socioeconomic needs, behavioral health (mental health and substance abuse), birth outcomes, obesity, oral health, respiratory disease",https://www.advocatehealth.com/assets/documents/2019-mclean-county-chna-final-7-31-19.pdf,https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/bromenn-chna-report-2019,n/a
6432413,Advocate Christ Medical Center,4440 West 95th Street,Oak Lawn,60453-2699,IL,Advocate Aurora Health,Unable to find,2022,List of Zip Codes,N/A,"60803, 60652, 60499, 60459, 60629, 60415, 60638, 60805, 60632, 60457, 60456, 60458, 60445, 60643, 60452, 60655, 60453, 60467, 60462, 60465, 60463, 60464, 60477, 60636, 60482, 60620",N/A,"asthma, cancer, diabetes, heart disease, mental health, violence/homicide","asthma, diabetes, violence prevention",https://www.advocatehealth.com/assets/documents/chna/christ-medical-center/2022-official-christ-medical-center-chna-report.pdf,N/A,Elvis.munoz@aah.org
6432080,Advocate Condell Medical Center,801 South Milwaukee Avenue,Libertyville,60048-3199,IL,Advocate Aurora Health,Unable to find,2022,List of Counties,lake,N/A,N/A,"cardiovascular disease, diabetes/kidney disease, obesity, mental health, substance abuse, maternal health","mental health, obesity",https://www.advocatehealth.com/assets/documents/chna/condell-medical-center/2022-official-condell-chna-report.pdf,N/A,Elvis.munoz@aah.org
6431623,Advocate Eureka Hospital,101 South Major Street,Eureka,61530-1246,IL,Advocate Aurora Health,Unable to find,2022,List of Counties,"peoria, tazewell, woodford",N/A,N/A,"mental health, obesity, cancer, aging, early sexual activity, diabetes, heart disease, chronic main, dental health, STI's","healthy eating/active living, cancer, mental health, substance use",https://www.advocatehealth.com/assets/documents/eureka-2020-2022-cmty-hlth-implementation-plan-final-lr-4-24-20.pdf,https://www.advocatehealth.com/assets/documents/eureka-2020-2022-cmty-hlth-implementation-plan-final-lr-4-24-20.pdf,n/a
6431475,Advocate Good Samaritan Hospital,3815 Highland Avenue,Downers Grove,60515-1590,IL,Advocate Aurora Health,Non-Profit,2022,"Combination of counties, zip codes, and places","Dupage, Will, Cook ","60148 60515, 60516, 60559, 60517, 60561, 60137, 60532, 60181, 60523, 60527, 60440, 60439, 60189, 60187, 60126, 60563, 60540, 60514, 60521","Lombard, Downers Grove, Westmon, Woodridge, Darien, Glen Ellyn, Lisle, Villa Park, Oak Brook, Willowbrook,Bolingbrook, Lemont, Wheaton, Elmhurst, Naperville, Clarendon Hills, Romeoville, Hinsdale","Access to Health Care; Health, Wellness and Nutrition; Substance and Alcohol Use; Mental Health; Cancer; Asthma; Diabetes; Cardiovascular/Heart Disease; COVID-19","Access to Health Care, Mental Health, Substance and Alcohol Use, Health Wellness and Nutrition, Cardiovascular/Heart Disease, Asthma, Cancer, Diabetes",https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/, https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/good-samaritan-chna-report-2022,n/a
6430160,Advocate Good Shepherd Hospital,450 West Highway 22,Barrington,60010-1919,IL,Advocate Aurora Health,Non-Profit,2022,"Combination of counties, zip codes, and places","McHenry, Lake, Barrington","60010, 60047, 60014, 60013, 60021, 60042, 60084, 60050, 60051","Barrington, Lake Zurich/Long Grove, Crystal Lake, Cary, Fox River Grove, Island Lake, Wauconda, McHenry, ohnsburg/McHenry, Algonquin, Lake in the Hills","Obesity, Behavioral Health (Mental Health and Substance Abuse)","Obesity; Cardiovascular Disease; Diabetes; Behavioral Health (Mental Health and Substance Use); Maternal, Child and Reproductive Health; Respiratory Diseases (Asthma, COPD, Pneumonia/Flu); Sexually Transmitted Infections; Unintentional Falls; Dental Health (Oral Health); Cancer; COVID-19",https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/good-shepherd-chna-report-2022,https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/,n/a
