ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,
6420240,Adams Memorial Hospital,1100 Mercer Avenue,Decatur,46733-2303,IN,,Non-Profit,N/A unable to find,,,,,,,,,,,
6421045,Baptist Health Floyd,1850 State Street,New Albany,47150-4997,IN,Baptist Health,Unable to find,2022,"Combination of counties, zip codes, and places","Washington, Scott, Clark, Floyd, Harrison, Crawford","47108, 47125, 47120, 47167, 47165, 47106, 47102, 47170, 47106, 47177, 47126, 47143, 47163, 47141, 47111, 47147, 47162, 47172, 47130, 47129, 47119, 47124, 47119, 47122, 47136, 47117 , 47135, 47136, 47161, 47124, 47122, 47115, 47166, 47145, 47137, 47118, 47175, 47116","Orange, Washington, Harrison, Scott, Clark","Cardiovascular Disease, Mental Health, Social Determinants of Health, Substance Use Disorder","Cardiovascular Disease,  Mental Health, Social Determinants of Health, Substance Use Disorder",https://issuu.com/baptisthealthkentucky/docs/bhflo_2022-2024_community_health_needs_assessment,https://issuu.com/baptisthealthkentucky/docs/bhflo_2022-2024_community_health_needs_assessment,N/A,,
6420043,Bloomington Meadows Hospital,3600 North Prow Road,Bloomington,47404-1616,IN,"Universal Health Services, Inc.",For-Profit,2019,Combination of counties and places,Monroe,N/A,"Bloomington, Ellettsville, Stinesville, Smithville-Sanders","Substance Use, Obesity, Homelessness, Chronic Disease, Mental Health, Infectious Chrinic Disease, Social-Structural Determinants to health , Access to Care, Health Care","Substance Abuse-Mental Health, Chronic Disease, Basic Needs",https://www.co.monroe.in.us/egov/documents/1602878799_51484.pdf,N/A ,N/A ,,
6420031,Bluffton Regional Medical Center,303 South Main Street,Bluffton,46714-2503,IN,"Community Health Systems, Inc.",Non-Profit,N/A unable to find,,,,,,,,,,,
6429156,Brentwood Springs,4488 Roslin Road,Newburgh,47630,IN,Springstone,Unable to find,N/A unable to find,,,,,,,,,,,
6420055,Cameron Memorial Community Hospital,416 East Maumee Street,Angola,46703-2015,IN,,Non-Profit,2022,Combination of counties and zip codes,Steuben,"46703, 46705, 46737, 46742, 46744, 46747, 46776, 46779, 46789",N/A,"Mental health, Affordability , Substance Use","Mental health (services/treatment, in-patient, youth, stigma reduction), Affordability (housing including for families, elderly, in general; childcare), Substance Use (Substance Use, tobacco/vaping, stigma reduction)",https://www.cameronmch.com/wp-content/uploads/2023/02/Cameron-CHNA-2022-FINAL.pdf,https://www.cameronmch.com/wp-content/uploads/2023/02/Cameron-CHNA-2022-FINAL.pdf,N/A,,
6420063,Central Indiana AMG Specialty Hospital,"2401 West University Avenue, 8th Floor",Muncie,47303-3428,IN,,For-Profit,N/A unable to find,,,,,,,,,,,
6420750,Clark Memorial Health,1220 Missouri Avenue,Jeffersonville,47130-3743,IN,LifePoint Health,Non-Profit,N/A unable to find,,,,,,,,,,,
6420200,Columbus Regional Hospital,2400 East 17th Street,Columbus,47201-5360,IN,,Non-Profit,2021,Combination of counties and zip codes,"Bartholomew, Jennings, Jackson","47201,47247,47232,47203,47226,47280, 47246,47244,47265,47282, 47274",N/A,"Access to health care services, cancer, diabetes, heart disease and stroke, infant health and family planning, injury and violence, mental health, nutrition, physical activity & weight, oral health, potentially disabliting conditions, respiratory disease, substance abuse, tobacco use","Increase access to primary care, prevent diease and injury, reduce substancea buse, reduce infant mortality",https://www.crh.org/docs/default-source/pdf/final-2021-chna-report---columbus-regional-health-20december2021.pdf?sfvrsn=24637a1_0,https://www.crh.org/docs/default-source/pdf/final-2021-chna-report---columbus-regional-health-20december2021.pdf?sfvrsn=24637a1_0,n/a,,
6421050,Community Hospital,901 Macarthur Boulevard,Munster,46321-2959,IN,Community Healthcare System,Non-Profit,2022,List of Counties,"Lake , Porter",N/A,N/A,"cancer, diabetes, heart disease and stroke, nutrition and weight status, maternal, infant and child and adult mental health","chronic disease, obesity, substance use and abuse, mental health, aging issues",https://www.comhs.org/-/media/Files/PDFs/AboutUs/CHNA/2019-CHNA-Implementation-Plan.ashx,https://www.comhs.org/-/media/Files/PDFs/AboutUs/CHNA/2019-CHNA-Implementation-Plan.ashx,N/A,,
6420605,Community Hospital East,1500 North Ritter Avenue,Indianapolis,46219-3095,IN,Community Health Network,Unable to find,2021,Combination of counties and zip codes,Marion,"46203, 46201, 46218, 46226, 46235, 46219, 46229, 46239, 46107 ",N/A,"COVID 19 Pandemic;Maternal, Infant, & Child Health;Mental Health Status and Access to Mental Health Services; Obesity, Physical Inactivity, & Assoc. Chronic Disease; Social Determinant of Health; Subtance use disorder and overdoses","COVID 19 Pandemic;Maternal, Infant, & Child Health;Mental Health Status and Access to Mental Health Services; Obesity, Physical Inactivity, & Assoc. Chronic Disease; Social Determinant of Health; Subtance use disorder and overdoses",https://www.ecommunity.com/sites/default/files/uploads/2022-01/CHE_CHNA_Report_2021.pdf,https://www.ecommunity.com/sites/default/files/uploads/2022-05/CHE-CHNA-Implementation-Strategy-2022-24.pdf,N/A,,
6420023,Community Hospital North,7150 Clearvista Drive,Indianapolis,46256-1695,IN,Community Health Network,Unable to find,2021,Combination of counties and zip codes,"Marion, Hamilition","46226, 46235, 46236, 26256, 46308, 46220, 46037,46250,46229,46060,46219,46216",N/A,"COVID 19 Pandemic;Maternal, Infant, & Child Health;Mental Health Status and Access to Mental Health Services; Obesity, Physical Inactivity, & Assoc. Chronic Disease; Social Determinant of Health; Subtance use disorder and overdoses","COVID 19 Pandemic;Maternal, Infant, & Child Health;Mental Health Status and Access to Mental Health Services; Obesity, Physical Inactivity, & Assoc. Chronic Disease; Social Determinant of Health; Subtance use disorder and overdoses",https://www.ecommunity.com/sites/default/files/uploads/2021-12/CHN_CHNA_Report_2021_1.pdf,https://www.ecommunity.com/sites/default/files/uploads/2022-05/CHN-CHNA-Implementation-Strategy-2022-24.pdf,N/A,,
6420008,Community Hospital of Anderson & Madison County,1515 North Madison Avenue,Anderson,46011-3453,IN,Community Health Network,Non-Profit,2021,"Combination of counties, zip codes, and places",Madison,"46070, 46036, 46063, 46001, 46044, 46012, 46011, 46016, 46017, 46051, 46013, 46064, 46056, 46048","Alexandria, Elwood, Anderson, Pendleton","COVID-19 Pandemic, Maternal, Infant, and Child Health, Mental Health Status and Access to Mental Health Services, Obesity, Physical Inactivity, and Associated Chronic Disease, Social Determinants of Health, Substance Use Disorders and Overdoses ","Behavioral Health and Access to Behavioral Health Services, Covid-19, Maternal, Infant, and Child Health, Social Determinants of Health, Physical Inactivity/Obesity & Chronic Disease",https://www.ecommunity.com/sites/default/files/uploads/2021-12/CHA_CHNA_Report_2021_0.pdf,https://www.ecommunity.com/sites/default/files/uploads/2022-05/CHA-CHNA-Implementation-Strategy-2022-24.pdf,CommunityBenefit@eCommunity.com.,,
6420165,Community Hospital of Bremen,1020 High Road,Bremen,46506-1093,IN,,Non-Profit,2021,List of Counties,"Elkhart, LaPorte, Marshall, St. Joseph",N/A,N/A,"Mental Health, Chronic Disease, Healthcare Access","Mental Health, Healthcare Access",https://impact.beaconhealthsystem.org/wp-content/uploads/2022/04/CI_2021_CHA_Annual_Report_232110_202203_v2.pdf,https://impact.beaconhealthsystem.org/wp-content/uploads/2022/10/2022-2024-CHNA-Implementation-Strategy-Summary.docx.pdf,BeaconCommunityImpact@beaconhealthsystem.org,,
6420728,Community Hospital South,1402 East County Line Road South,Indianapolis,46227-0963,IN,Community Health Network,Non-Profit,2021,"Combination of counties, zip codes, and places","Marion, Johnson","46227, 46143, 46142, 46217, 46131, 46237, 46184, 46203, 46221, 46106, 46107, 46225","Beech Grove, Perry, Greenwood, Pleasant, New Whiteland, Franklin","COVID-19 Pandemic, Maternal, Infant, and Child Health, Mental Health Status and Access to Mental Health Services, Obesity, Physical Inactivity, and Associated Chronic Disease, Social Determinants of Health, Substance Use Disorders and Overdoses ","Behavioral Health and Access to Behavioral Health Services, Covid-19, Maternal, Infant, and Child Health, Social Determinants of Health, Physical Inactivity/Obesity & Chronic Disease",https://www.ecommunity.com/sites/default/files/uploads/2021-12/CHS_CHNA_Report_2021_0.pdf,https://www.ecommunity.com/sites/default/files/uploads/2022-05/CHS-CHNA-Implementation-Strategy-2022-24.pdf,CommunityBenefit@eCommunity.com.,,
6420775,Community Howard Regional Health,3500 South Lafountain Street,Kokomo,46902-3803,IN,Community Health Network,Non-Profit,2021,Combination of counties and zip codes,Howard,"46902, 46901, 46936, 46979, 46937, 46965",N/A,"COVID-19 Pandemic, Maternal, Infant, and Child Health, Mental Health Status and Access to Mental Health Services, Obesity, Physical Inactivity, and Associated Chronic Disease, Social Determinants of Health, Substance Use Disorders and Overdoses ","Social Determinants of Health and health equity, Conditions in the environment that affect a broad range of health and quality of life outcomesâ Improving public health infrastructure -Funding and culture/quality of public health practice; Improving health outcomes and reducing health disparities- Reduce rates of chronic disease, Address the opioid epidemic, Improve birth outcomes and reduce infant mortality,Improved access to mental health services",https://www.ecommunity.com/sites/default/files/uploads/2021-12/CHRH_CHNA_Report_2021_0.pdf,https://www.ecommunity.com/sites/default/files/uploads/2021-12/CHRH_CHNA_Report_2021_0.pdf,N/A,,
6420002,Community Howard Specialty Hospital,829 North Dixon Road,Kokomo,46901-7709,IN,Community Health Network,Non-Profit,2021,Combination of counties and zip codes,Howard,"46901, 46979, 46902, 46965, 46937, 46936",N/A,"COVID-19 Pandemic; Maternal, Infant and Child Health; Mental Health Status and Access to Mental Health Services; Obesity, Physical Inactivity, and Associated Chronic Disease; Poverty; Employment Opportunities; Food Insecurity; Transportation; Smoking and Tobacco Use; Substance Use Disorders and Overdoses","Social Determinants of Health and health equity, Conditions in the environment that affect a broad range of health and quality of life outcomesâ Improving public health infrastructure -Funding and culture/quality of public health practice; Improving health outcomes and reducing health disparities- Reduce rates of chronic disease, Address the opioid epidemic, Improve birth outcomes and reduce infant mortality,Improved access to mental health services",https://www.ecommunity.com/sites/default/files/uploads/2021-12/CHRH_CHNA_Report_2021_0.pdf,https://www.ecommunity.com/sites/default/files/uploads/2021-12/CHRH_CHNA_Report_2021_0.pdf,N/A,,
