ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6620644,Adair County Health System,609 SE Kent Street,Greenfield,50849-9454,IA,MercyOne,,N/A unable to find,,,,,,,,,
6620082,Audubon County Memorial Hospital and Clinics,515 Pacific Street,Audubon,50025-1056,IA,,Non-Profit,2019,"Combination of counties, zip codes, and places",Audubon,"50025, 50076, 51543, 50117, 50042, 50110","Leon, Lamoni, Davis City, Grand River, Audubon, Weldon,Van Wert","Mental Health Services, Cancer and Oncology Services, Preventative Services and Healthcare Services, Aging Services, Economic Opportunities","Mental Health Services (Drug/Alcohol Abuse), Cancer and Oncology Services, Preventative Services and Healthcare Services, Aging Services, Economic Opportunities (Infrastructure, Housing, Living Wages)",https://www.acmhhosp.org/wp-content/uploads/2022/01/CNHA-HIP-2019.pdf,N/A,N/A
6620560,Avera Holy Family Hospital,826 North Eighth Street,Estherville,51334-1598,IA,Avera Health,Non-Profit,2022,Combination of counties and places,Emmet,N/A,"Armstrong, Dolliver, Estherville, Gruver, Ringsted, Wallingford","COVID-19, Access to mental health care, Access to urgent/convenient healthcare, Cardiovascular disease/hypertension, Early detection of cancer, Obesity, Low immunization rates, Dental care, Parenting skills, Alcohol & drug abuse","Mental Health Services, Access to Health Care, COVID-19 Mitigation, Cardiovascular disease/hypertension, Early detection of cancer, Obesity",https://www.avera.org/app/files/public/71b2a79a-a735-4ee6-8c76-f80927dbc11b/2022-chna-holy-family.pdf,https://www.avera.org/app/files/public/978ed398-3ace-46c5-b48b-e7f6a81ae47b/2022-chna-holy-family-implementation-plan.pdf,N/A
6620100,Boone County Hospital,1015 Union Street,Boone,50036-4821,IA,QHR,Non-Profit,2022,"Combination of counties, zip codes, and places",Boone,"50036, 50040, 50152, 50156, 50212, 50223","Boone, Boxholm, Luther, Madrid, Ogden, Pilot Mound","Mental Health, Access to Healthcare: Affordability and Presence of Services, Prevention/Chronic Disease Management: Cancer, Heart Disease, Women's Health","Affordability/Accessibility, Mental Health, Obesity, Drug/Substance Abuse, Heart Disease, Chronic Pain Management",https://www.boonehospital.com/media/cms/BCH_CHNA_Final_Report_BFD7604F52C68.pdf,N/A,N/A
6620400,Broadlawns Medical Center,1801 Hickman Road,Des Moines,50314-1597,IA,,Non-Profit,2021,List of Counties,"Polk, Warren, Dallas",N/A,N/A,"Access to health care services, cancer, heart disease and stroke, infant health and family planning, injury and violence, mental health, nutrition, physical activity and weight, potentially disabling conditions, respiratory disease, sexual health, substance abuse","Mental Health, Respiratory Disease (COVID-19), Nutrition, Physical Activity & Weight, Substance Abuse, Heart Disease & Stroke, Access to Healthcare Services, Infant Health & Family Planning, Injury & Violence, Disability & Chronic Pain, Sexual Health, Cancer",https://www.broadlawns.org/filesimages/About/2021%20PRC%20CHNA%20Report%20-%20Central%20Iowa.pdf,N/A,N/A
6620750,Buchanan County Health Center,1600 First Street East,Independence,50644-3155,IA,UnityPoint Health,For-Profit,2021,List of Counties,"Buchanan, Fayette",N/A,N/A,"Incease Access to Primary Care, UrgentCare Access, Population HealthManagement, Mental Health Services, Same DayPrimary Care Access, Community Outreach / Education / Benefits, Employee Benefits","Incease Access to Primary Care, UrgentCare Access, Population HealthManagement, Mental Health Services, Same DayPrimary Care Access, Community Outreach / Education / Benefits, Employee Benefits",https://bchealth.org/wp-content/uploads/2021/04/BCHC_CommunityHealthNeedsAssessment_2021_FINAL_1.pdf,N/A,N/A
6621315,Buena Vista Regional Medical Center,1525 West Fifth Street,Storm Lake,50588-3027,IA,UnityPoint Health,Non-Profit,N/A unable to find,,,,,,,,,
6621045,Burgess Health Center,1600 Diamond Street,Onawa,51040-1548,IA,,Non-Profit,2022,List of Counties,Monona,N/A,N/A,"Mental health and Mental disorders, Overweight and obesity, Older adult health/aging issues","employment opportunities, affordable/ safe housing, increased mental health access",https://www.burgesshc.org/wp-content/uploads/2022/06/CHNA-Report-Final.pdf,N/A,N/A
6620080,Cass County Memorial Hospital,1501 East Tenth Street,Atlantic,50022-1997,IA,,Non-Profit,2022,"Combination of counties, zip codes, and places",Cass,"64012, 64078, 64080, 64083, 64092, 64701, 64725, 64734, 64746, 64747
","Belton, Peculiar, Pleasant Hill, Raymore, Waldron, Harrisonville, Archie, Cleveland, Freeman, Garden City","Lack of Mental Health Providers and Patient Placement, Mental Health (Diagnosis, Treatment, Aftercare), Urgent Care Services (Southern Cass Co), Drug Abuse / Drug Prevention Resources, Awareness of Healthcare Services, Healthcare Transportation","Mental Health (Diagnosis, Treatment, Providers), ""Health as a Priority"" - Lack of Community Leadership, Obesity (Nutrition / Exercise), Awareness of Health Services, Visiting Specialists (Card, OBG, Pulm), Healthcare Transportation",https://res.cloudinary.com/dpmykpsih/image/upload/cass-regional-site-347/media/d123b98cd1db4e8bb87af580da4d182e/chna2022_wave4_report_cassreg_casscounty.pdf,https://res.cloudinary.com/dpmykpsih/image/upload/cass-regional-site-347/media/ed669dedd45e4b77be8c3aa6048ffa72/chna_2022i-response-plan.pdf,VVV@VandehaarMarketing.com
6620230,Cherokee Regional Medical Center,300 Sioux Valley Drive,Cherokee,51012-1205,IA,UnityPoint Health,Non-Profit,2022,"Combination of counties, zip codes, and places",Cherokee ,"51005, 51012, 51014, 51029, 51035, 51037, 51049, 51061","Aurelia, Cherokee, Cleghorn,  Larrabee,  Marcus,  Meriden, Quimby, Washta","Mental Health (Diagnosis, Treatment, Aftercare), Available Child Care (Accessible, Safe and Affordable), Obesity (Nutrition / Exercise), Drugs (Opioids, Meth, Marijuana, Acid), Awareness of Services, Urgent Care","Mental Health (OP access) / Crisis Services, Obesity (Nutrition / Exercise), Cancer, Disease Prevention / Wellness (Education), Awareness of Healthcare Services, Substance Abuse (Drugs/Alcohol/Smoking), Transportation (All), Suicide, Dialysis",https://www.cherokeermc.org/download/2022-community-health-needs-assessment/?tmstv=1674866482,https://www.cherokeermc.org/download/2022-community-health-needs-implementation-plan/?tmstv=1674866482,VVV@VandehaarMarketing.com
6620295,CHI Health Mercy Corning,603 Rosary Drive,Corning,50841-1683,IA,CommonSpirit Health,Non-Profit,2022,"Combination of counties, zip codes, and places","Adams, Taylor","50841, 50833, 50851","Carbon, Corning, Nodaway, Prescott","Access to Healthcare Services, Aging Problems, Cancer, Chronic Disease, Maternal & Child Health, Mental Health","Chronic Disease (Healthy Lifestyles), Mental Health, Substance Abuse (BH)",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/Corning-CHNA-2022l.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/Corning_FY23-25_FINAL.pdf,Ashley.Carroll@CHIHealth.com
6620310,CHI Health Mercy Council Bluffs,800 Mercy Drive,Council Bluffs,51503-3128,IA,CommonSpirit Health,Non-Profit,2022,"Combination of counties, zip codes, and places","Pottawattamie, Mills","51501, 51503, 51534, 51510, 51560, 51555","Avoca, Carson, Carter Lake, Crescent, Hancock, Macedonia, McClelland, Minden, Neola, Oakland, Shelby, Treynor, Underwood, Walnut, Emerson, Glenwood, Hastings, Henderson, Malvern, Pacific
Junction, Silver City, portion of Tabor ","Mental Health, Access to Integrated Care/ Systems of Care, Substance Abuse, Diabetes, Sexual Health","Mental Health, Nutrition, Physical Activity & Weight, Substance Abuse, Diabetes, Sexual Health",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/Mercy-CB-CHNA-2022.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/Mercy_CB_FY23-25_FINAL.pdf,Ashley.Carroll@CHIHealth.com
6620955,CHI Health Missouri Valley,631 North Eighth Street,Missouri Valley,51555-1102,IA,CommonSpirit Health,,2022,"Combination of counties, zip codes, and places",Harrison,"51555, 51546, 51579","Dunlap, Little Sioux, Logan, Magnolia, Missouri Valley, Modale, Mondamin, Persia, Pisgah, Woodbine","Aging Problems, Cancer, Cardiovascular, Disease, Child Abuse & Neglect, Chronic Lower Respiratory Disease, Mental Health, Obesity & Lifestyle, Factors for Chronic Disease, Sexually Transmitted Infections, Substance Abuse, Unintentional Injuries","Behavioral Health (Mental Health and Substance Abuse), Health Related Social Needs",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/MO-Valley-CHNA-2022.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/MissouriValley_FY23-25_FINAL.pdf,Kelly.nielsen@alegent.org
6620240,Clarinda Regional Health Center,220 Essie Davison Drive,Clarinda,51632-2915,IA,Bryan Health,,2019,List of Zip Codes,N/A,"51601, 51632, 61638, 51636, 51647, 51630, 51637, 51631, 51651, 51639, 51652",N/A,"mental health, drug abuse, chronic diseases, awareness of services, dental care, reproductive health education, affordable insurance","mental health, drug abuse, obesity",https://irp.cdn-website.com/900e277e/files/uploaded/SMC_CHNA%233_PageCoIA_Final_2019.pdf,n/a,
6621075,Clarke County Hospital,800 South Fillmore Street,Osceola,50213-1619,IA,UnityPoint Health,,2020,Combination of counties and places,Clarke ,N/A,"Osceola, Woodburn, Murray, Weldon, Green Bay, Doyle, Knox, Fremont, Jamison, Troy, Liberty,
Ward, Franklin, Madison, Washington, Jackson, Hopeville","Mental Health, Drug/Substance Abuse, Prevent Child Abuse, Alternative Medicine, Aging Related Issues, Birth Control, Child Care, Chronic Disease, Family Planning, Insurance, Language Barriers, Lead Exposure, Obesity, Pain Management, Preventitive Healthcare, STD, Teen Pregnancy, Tobacco Use, Vaccinations, Water Quality, Wellness (including nutrition)","Mental Health, Drug/Substance Abuse, Prevent Child Abuse
",https://www.clarkehosp.org/filesimages/Documents/CHNA/Community%20Health%20Needs%20Assessment%202020%20-%20Final.pdf,N/A,info@clarkehosp.org
6620896,Compass Memorial Healthcare,300 West May Street,Marengo,52301-1261,IA,UnityPoint Health,Non-Profit,2017,List of Counties,Iowa,n/a,n/a,"Caner Incidence, Poor general adult health, Depression, Violent crimes, Annual average PM2.5 concentration, Communicable diseases, Immunization rates","Cancer, Depression, Chronic diseases, Communicable diseases, Child immunization",http://www.compassmemorial.org/docs/CHNA_Report.pdf,http://www.compassmemorial.org/docs/CMH_HIP_Report_110822.pdf,nhauschilt@compassmemorial.org
6620385,Crawford County Memorial Hospital,100 Medical Parkway,Denison,51442-2299,IA,,Non-Profit,2019,"Combination of counties, zip codes, and places","Denison, Iowa, Crawford, Harrison, Shelby, Ida, Sac, Carroll, Monona","51520, 51432, 51528, 51439, 51441, 51442, 51528, 51529, 51448, 51454, 51460, 51461, 51465, 51467, 51060","Arion, Aspinwall, Buck Grove, Charter Oak, Deloit, Denison, Dow City, Dunlap, Kiron, Manilla, Ricketts, Schleswig, Vail, Westside, Ute","Expansion of Child Care options, Support of additional low to moderate income housing, Address on-going Mental-Health/Drug Abuse treatment needs through strategic partnerships","Mental Health, Senior Health, Minority Population Health Outreach",https://www.ccmhia.com/pdf-docs/CHNA-plan_2019.pdf,N/A,dluensmann@ccmhia.com
6621145,Dallas County Hospital,610 10th Street,Perry,50220-2221,IA,MercyOne,Public,2019,List of Counties,"Dallas, Greene, Guthrie, Boone",N/A,N/A,"Child abuse and neglect, Food insecurity, Obesity, Sexually transmitted diseases, Cancer","Cultural Equity; Education and Advocacy on Addictions; Education and Collaboration across Agencies; Food and Nutrition; Housing; Mental Health Stability, Awareness, and Intervention; Physical Activity; Supporting Parents and Caregivers; Transportation and Mobility",https://www.dallascountyiowa.gov/home/showpublisheddocument?id=24330,https://www.dallascountyiowa.gov/home/showpublisheddocument/28336,abigail.chihak@dallascountyiowa.gov
6620097,Davis County Hospital,509 North Madison Street,Bloomfield,52537-1271,IA,MercyOne,Non-Profit,2021,Combination of counties and places,Davis,N/A,"Bloomfield, Drakesville, Floris, Pulaski, West Grove","Obesity, Diabetes, Mental Health, Substance Abuse, Cancer, and Respiratory Disease","Expand of Childcare Options, Aging (Dementia) Support Group, Alcohol/Substance Abuse Assistance, Expand Mental Health Care Delivery, and Obesity Prevention/Weight Loss Assistance",https://www.dchc.org/wp-content/uploads/2021/12/CHNA_Report_DavisCo_August2021.pdf,https://www.dchc.org/wp-content/uploads/2021/12/DavisCounty_CHNA_Impl_Plan-2022.pdf,N/A
6620880,Decatur County Hospital,1405 NW Church Street,Leon,50144-1299,IA,MercyOne,Not-for-Profit,2019,"Combination of counties, zip codes, and places",Decatur,"50065, 50067, 50103, 50108, 50140, 50144, 50262, 50264","Davis City, Decatur, Garden Grove, Grand River, Lamoni, Leon, Van Wert, Weldon","Poverty, Mental Health Services, Drugs, Economic Development, Obesity / Nutrition Education, Healthcare Transportation, Eye Doctors, Youth Wellness Programs, Pediatric Mental Health, DHS Office Access","Economic Development/Employment, Readiness, Substance Abuse (Alcohol / Drugs), Mental Health (Counciling / Therapists / Treatements), Child Care Services, Eye Doctors, Visiting Specialists (OBGYN, NEU, RHE, ORTH, PEDS), Public Healthcare Perception (Encourage patients to seek care in Decatur Co.), Healthcare Transportation",https://www.decaturcountyhospital.org/wp-content/uploads/2019/07/CHNA_Wave3_DecaturCo_2019_Final_061519-v2.pdf ,https://www.decaturcountyhospital.org/wp-content/uploads/2022/12/CHNA-2019-Implementation-Plan.pdf,n/a
6620215,Floyd County Medical Center,800 Eleventh Street,Charles City,50616-3499,IA,Mayo Clinic,,N/A unable to find,,,,,,,,,
6620870,Floyd Valley Healthcare,714 Lincoln Street NE,Le Mars,51031-3314,IA,Avera Health,Non-Profit,2019,List of Counties,Plymouth,n/a,n/a,"Access to Mental Health Resources, Education and resources for intentional injury prevention (Violent, abusive behaviors and suicide), Childhood and Adult vaccination","Promote healthy living through Increased Mental Health awareness and resources, Promote injury prevention by focusing on Intentional injuries, Promote the spread of epidemics through Child and adult immunization/vaccination and surveilliance",https://floydvalley.org/wp-content/uploads/2021/11/floyd-valley-healthcare-community-health-needs-assessment-health-implementation-plan.pdf,Same as CHNA,n/a
