Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
AdventHealth Ottawa,1301 South Main Street,Ottawa,66067-3598,KS,"AdventHealth Ransom Memorial, Inc. d/b/a AdventHealth Ottawa (AHO)",Yes,2020,Combination of counties and zip codes,"Franklin, Anderson","66067, 66076, 66032, 66095",N/A,"Chronic disease prevention and management, rising health care costs and lack of health insurance, access to specialty health services, suicide and mental health, incidence of opiods, and dental care.
 ","Chronic disease prevention and management, mental health",https://www.adventhealth.com/sites/default/files/assets/2020_chna_ottawa_final.pdf,https://www.adventhealth.com/sites/default/files/assets/2021-2022_community_health_plan.pdf,Sarah.L.Kennedy@adventhealth.com
AdventHealth Shawnee Mission,9100 West 74th Street,Shawnee Mission,66204-4004,KS,AdventHealth,Yes,2019,Combination of counties and zip codes,"Johnson, Wyandotte","66012, 66061, 66062, 66102, 66104, 66106, 66109, 66111, 66202, 66203, 66204, 66205, 66207, 66208, 66210, 66212, 66213, 66214, 66215, 66216, 66217, 66218, 66219, 66226, 66227",N/A,"Lack of resources to meet community mental/behavioral health needs, Increasing incidence of overdoses and death from
prescription pain/opioids, Rising health care costs and lack of health insurance, Chronic disease disparities in communities of color, Poor pregnancy outcomes in Wyandotte County, Infant mortality rates for African American infants, Food insecurity and lack ofaccess to healthy options ,Elevating rates of suicide, Social isolation, Limited transportation options, Lack of affordable housing ","Lack of resources to meet mental/behavioral health needs, Rising health care costs and lack of health insurance, Chronic disease disparities in communities of color, Improving pregnancy outcomes in Wyandotte County",https://www.adventhealth.com/sites/default/files/assets/2019_CHNA_AdventHealth_Shawnee_Mission_FINAl_10_17_19.pdf,https://www.adventhealth.com/sites/default/files/assets/2020-2022-Community-Health-Plan-Shawnee-Mission-FINAL.pdf,Jeanette.Metzler@AdventHealth.com
Allen County Regional Hospital,3066 N. Kentucky St,Iola,66749,KS,Saint Luke's Health System,Yes,2021,"Combination of counties, zip codes, and places",Allen,"66749, 66751, 6755, 66732, 66772, 6678, ","Humboldt, Iola","Access to Care, COVID-19 Pandemic and Effects, Mental Health
Obesity, Physical Inactivity, and Access to Healthy Food, Poverty and Affordable Housing, Substance Use Disorder and Smoking, Transportation","Access to Care, COVID-19 Pandemic and Effects, Mental Health, Obesity, Physical Inactivity, Access to Healthy Food, Poverty and Affordable Housing, Substance Use Disorder and Smoking, Transportation",https://www.saintlukeskc.org/sites/default/files/2021-12/ACRH_CHNA_FINAL_12.13.2021_web.pdf,https://www.saintlukeskc.org/sites/default/files/2021-12/ACRH_Implementation_Strategy_FINAL_12.13.2021_web.pdf,N/A
AMG Specialty Hospital-Wichita,8080 East Pawnee Street,Wichita,67207-5475,KS,AMG Integrated Healthcare Management,,N/A unable to find,,,,,,,,,
Anderson County Hospital,421 South Maple,Garnett,66032-1334,KS,Saint Luke's Health System,Yes,2021,"Combination of counties, zip codes, and places",Anderson County,"66033, 66032, 66080, 66093, 66091, 66015, 66039
","Colony, Garnett, Harris, Kincaird, Lone Elm, and Westphalia (cities)","Acess to care, Aging population needs, Covid-19 Pandemic and Effects, Health Education and Preventive Health, Mental health and access to mental health care, obesity and physical activity, poverty, and substanace abuse disorder","Access to Care (Including Access to COVID-19 Treatment and Testing Services), Mental Health and Access to Mental Health Services, and Obesity and Physical Inactivity",https://www.saintlukeskc.org/sites/default/files/2021-12/2020-1814_CHNA_Anderson_plan_cover-final_web.pdf,https://www.saintlukeskc.org/sites/default/files/2021-12/2020-1814_Anderson_ImplementationPlan_Cover-FINAL_web.pdf,N/A
Ascension Via Christi Hospital,1 Mt. Carmel Way,Pittsburg,66762-7587,KS,Ascension Healthcare,Yes,2019,List of Counties,Crawford County ,N/A,N/A,"Mental Health, Drug Abuse, Alcohol Abuse, Diabetes, and Obesity","Access to healthcare, Mental Health Services, Substance Abuse, Access to Healthcare, and Diabietes and Obesity",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2019-ascension-via-christi-pittsburg-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2020-2022-ascension-via-christi-hospital-pittsburg-implementation-strategy.pdf,Renee.Hanrahan@ascension.org 
Ascension Via Christi Hospital on St. Teresa,14800 West St. Teresa,Wichita,67235-9602,KS,Ascension Healthcare,Yes,2019,List of Counties,"Sedgwick, Witchita, Butler",N/A,N/A,"Health insurance, Basic Medical Care, Drug and Alchol Abuse, Behavioral Health/ Counseling, Domesetic/Family violence, Sexual assault, human trafficking, Medical Transport Services
","Health Insurance Coverage for Those in Need Through Medicaid Expansion, Preparing Youth for the Workforce, Basic Medical Care for Low-Income/Vulnerable Populations, Treatment for Life-Threatening Diseases, Domestic/Family Violence, Assistance with Prescriptions for Low-Income, Sexual Assault/Human Trafficking Focus, Enhancement of Counseling/Mental Health Services for Those in Need",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2019-ascension-via-christi-health-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2020-2022-ascension-via-christi-saint-teresa-inc-implementation-strategy.pdf,Renee.Hanrahan@ascension.org 
"Ascension Via Christi Hospital, Manhattan",1823 College Avenue,Manhattan,66502-3346,KS,Ascension Healthcare,Yes,2020,List of Counties,Riley County ,N/A,N/A,"Physical Health, Mental Health, Children and Teens, Older Adults","Acess to care, mental health, parenting education & skills development, Covid-19 Repsonse",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2020-ascension-via-christi-hospital-manhattan-inc-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2021-2023-ascension-via-christi-hospital-manhattan-implementation-strategy.pdf,tara.gregory@wichita.edu and ann.buckedahl@ascension.org
Ascension Via Christi Rehabilitation Hospital,1151 North Rock Road,Wichita,67206-1262,KS,Ascension Healthcare,Yes,2019,"Combination of counties, zip codes, and places","Sedgwick, Butler","67203, 67208, 67210, 67211,
67213, 67214, 67216, 67218,
67219",Wichita ,"Health Insurance, Preparing Young People for Workforce, Juvenile Delinquency/Gang Prevention, Bullying, Basic Medical Care for Low Income, Treatment for Life-Threatening Diseases, Drug/Alcohol Abuse, Financial Assistance (Especially for Prescription Medication), Sexual Assault Prevention/Education, Child Abuse Prevention/Education, Immunization of Adults/Children, Human Trafficking Prevention/Education, Family Violence Prevention, Food Assistance
","Health Insurance, Basical Medical Care for Low-Income, Prescription Medicine Financial Assistance, Counseling/Mental Health Services",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2019-via-christi-health-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2017-2019-via-christi-rehabilitation-hospital-implementation-strategy.pdf,Renee.Hanrahan@ascension.org 
Ascension Via Christi St. Francis,211 N College Ave,Mulvane,67110,KS,Ascension Healthcare,Yes,2016,Combination of counties and places,Sedgwick,N/A,Wichita ,"Health insurance, Preparing young people for the workforce, Bullying, Juvenile delinquency/gang prevention, Treatment for life-threatening diseases, Basic medical care for low-income","Education, nurturing childrens potential, Income and Self-Sufficiency, fostering
financial stability, Health and improving wellness",Microsoft Word - 2016 CHNA Wichita Market FINAL w KSRC Addedum 08282017.rtf (ascension.org),Microsoft Word - 2016 CHNA Wichita Market FINAL w KSRC Addedum 08282017.rtf (ascension.org),N/A
