ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,
6519065,AdventHealth Manchester,210 Marie Langdon Drive,Manchester,40962-6388,KY,AdventHealth,Non-Profit,2019,Combination of counties and zip codes,"Clay, Leslie, Laurel, Knox, Jackson, Owsley, Breathitt, Perry","40402, 40434, 40447, 40481, 40486, 40488, 40729, 40734, 40737, 40740, 40741, 40743, 40744, 40771, 40903, 40906, 40914, 40915, 40921, 40923, 40930, 40932, 40935, 40941, 40943, 40944, 40946, 40949, 40951, 40953, 40962, 40962, 40972, 40981, 40982, 40983, 40995, 40997, 41310, 41314, 41317, 41339, 41348, 41351, 41364, 41366, 41367, 41385, 41386, 41390, 41701, 41702, 41712, 41713, 41714, 41719, 41721, 41722, 41723, 41727, 41729, 41731, 41735, 41736, 41739, 41745, 41746, 41749, 41751, 41754, 41760, 41762, 41763, 41773, 41774, 41778",N/A,"Poverty, unemployment rate, violent crime, population with no high school diploma, insurance, food insecurity rate, population with low food access, use of public transportation, alcohol consumption, tobacco usage, cancer incidence, obesity","Obesity, tobacco, behavioural health, diabetes,lack of access",https://www.adventhealth.com/sites/default/files/assets/2019_CHNA_AdventHealth_Manchester.pdf,https://www.adventhealth.com/sites/default/files/assets/2020-2022-Community-Health-Plan-Manchester-FINAL.pdf,david.watson@adventhealth.com,,
6510685,ARH Our Lady of the Way,11203 Main Street,Martin,41649,KY,"Appalachian Regional Healthcare, Inc.",Non-Profit,2022,List of Counties,Floyd ,N/A,N/A,Retain healthcare providers â increases patient trustâ Increase mental health providersâ Drug treatment/detox/aftercare/long term recovery assistanceâ Case manager/health navigator for primary care and follow up questionsâ Recruit and retain more specialists â reduces travel and time away from workâ Telehealthâ Hospitals take education/screenings to communitiesâ Diabetes education and care â add endocrinologistâ One stop shop clinics â appointments and care in one locationâ Resources and care for autism,"Obesity support related to food insecurity, physical inactivity, and lack of knowledge on healthy foods, Addiction support, Mental health support, Increasing community, provider, and partner knowledge of services available, Increasing access to care",https://www.arh.org/wp-content/uploads/2022/07/ARH-OLW-CHNA-2022.pdf,N/A,melody.nall@uky.edu,,
6510088,Baptist Health Corbin,1 Trillium Way,Corbin,40701-8420,KY,Baptist Health,Non-Profit,2022,List of Counties,"Whitley, Laurel, Knox, Bell, McCreary, Clay, Harlan",N/A,N/A,"Obesity, Cancer, Cardiovascular Disease, Mental Health and Substance Abuse, Patient Transportation","Obesity, Cancer, Cardiovascular Disease, Mental Health and Substance Abuse, Patient Transportation",https://issuu.com/baptisthealthkentucky/docs/bhcor_2022-2024_community_health_needs_assessment_?fr=sZDg1MTE4MDAx,N/A,N/A,,
6510373,Baptist Health La Grange,1025 New Moody Lane,La Grange,40031-9154,KY,Baptist Health,Non-Profit,2022,Combination of counties and zip codes,"Oldham, Henry, Carroll, Trimble",40031,N/A,"Cancer, Premature Death, Primary Care Physician Shortage, Access to Exercise Opportunities, Mental Health Provider Shortage, Preventable Hospital Visits, Flu Vaccination Rates, Injury Deaths, Severe Housing Problems","Obesity, Cancer, Maternal/Child Health, Mental and Behavioral Health ",https://issuu.com/baptisthealthkentucky/docs/bhlag_2022-2024_community_health_needs_assessment_,N/A,N/A,,
6510407,Baptist Health Lexington,1740 Nicholasville Road,Lexington,40503-1499,KY,Baptist Health,Non-Profit,2022,List of Places,N/A,N/A,"Franklin, Scott, Woodford, Fayette, Jessamaine, Madison, Estill, Anderson, Mercer, Boyle, Lincoln, Garrard, Powell, Clark, Bourbon, Nicholas, Harrison","Premature Death, Adult Obesity, Access to Exercise Opportunities, Excessive Drinking, Alcohol-Impaired Driving Deaths, Teen Births, Lack of Primary Care Physicians, Lack of Dentists, Lack of Mental Health Providers, Preventable Hospital Stays, Mammogram Screeening","Substance Abuse, Cancer, Cardiovascular ",https://issuu.com/baptisthealthkentucky/docs/bhlex_2022-2024_community_health_needs_assessment_,N/A,N/A,,
6510365,Baptist Health Louisville,4000 Kresge Way,Louisville,40207-4676,KY,Baptist Health,Non-Profit,2022,List of Counties,"Jefferson, Oldham, Shelby, Spencer, Bullitt ",N/A,N/A,"COPD & Pneumonia, Coronary Heart Disease, Accidents, Stroke, Diabetes, Mental and Behavioral Disorders, Other Causes of Mortality, Cancer ","Mental Health Services, Health Equity - Heart Disease, Preventative Health Screenings, Opioid Reduction, Maternal Child Health",https://issuu.com/baptisthealthkentucky/docs/bh_louisville_2022-2024_chna_v3_8-18-2021,N/A,N/A,,
6510670,Baptist Health Madisonville,900 Hospital Drive,Madisonville,42431-1694,KY,Baptist Health,Non-Profit,2022,List of Counties,"Hopkins, Muhlenburg, Webster, Christian, McLean, Caldwell",N/A,N/A,"Access to Health Care, Obesity, Cancer, Management of Chronic Diseases, Child Abuse/Neglect and Bullying, Substance Abuse/Treatment","Access to Health Care, Obesity, Cancer, Management of Chronic Diseases, Child Abuse/Neglect and Bullying, Substance Abuse/Treatment",https://baptisthealthdeaconess.com/About-Us/Community-Health-and-Outreach/Documents-CHNA/BHMAD-2022-2024-Community-Health-Needs-Assessment.pdf,N/A,N/A,,
6510815,Baptist Health Paducah,2501 Kentucky Avenue,Paducah,42003-3200,KY,Baptist Health,Non-Profit,2022,List of Counties,"McCracken, Marshall, Graves, Livingston, Lyon, Ballard, Caldwell, Calloway, Carlisle, Crittenden, Fulton, Trigg, Hickman",N/A,N/A,"Mental health, Jobs and Income, Affordable health care options, Obesity, Substance use, Home insecurity/Homelessness, Access to health care services, Diabetes, Recreations/Parks, Access to food, Tansportation, Nicotine free environment, Teen birth rates, Cancer","Access to Health Care, Obesity prevention and illnesses related to obesity, Mental Health and Substance Abuse prevention and treatment, Smoking & Lung Disease",https://www.baptisthealth.com/-/media/documents/connect-and-learn/community-health-and-outreach/chnas/bhpad20222024communityhealthneedsassessment.pdf?rev=cdec4dc479e8453faf01cc32e54f4820&hash=F17334E54E97FD234217CFE17BFD12B2,N/A,N/A,,
6510900,Baptist Health Richmond,801 Eastern Bypass,Richmond,40475-2405,KY,Baptist Health,Non-Profit,2022,List of Counties,"Madison, Estill, Jackson, Rockcastle, Garrard",N/A,N/A,"Behavioral Health and Substance Abuse, Social Determinants of Health, Obesity and Healthy Lifestyles","Behavioral Health and Substance Abuse, Social Determinants of Health, Obesity and Healthy Lifestyles",https://www.baptisthealth.com/-/media/documents/connect-and-learn/community-health-and-outreach/chnas/bhric20222024communityhealthneedsassessment.pdf?rev=be33433539fa494daab35f736d70901e&hash=4821D2DC60208D599C2051B0A11E3884,N/A,N/A,,
6510044,Barbourville ARH Hospital,80 Hospital Drive,Barbourville,40906-7363,KY,Pacer Health Corporation,Non-Profit,2022,List of Counties,Knox ,N/A,N/A,"chronic diseases, unhealthy behaviors, education and support, access to care","Prevention and wellness education - Obesity, Heart Disease, Diabetes and Physical Inactivity, Substance use disorder/Addiction, Mental Health, Food Insecurity/Access, Resource guide to services ",https://www.arh.org/wp-content/uploads/2022/07/Barbourville-ARH-CHNA-2022.pdf,N/A,N/A,,
