ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6720011,Abbeville General Hospital,118 North Hospital Drive,Abbeville,70510-4077,LA,,Non-Profit,2019,List of Counties,Vermilion,N/A,N/A,"Access to Primary & Specialty Care, Prevention & Management of Chronic Care Issues, Modification of Health Behaviors","Access to Primary & Specialty Care, Prevention & Management of Chronic Care Issues, Modification of Health Behaviors",https://www.abbevillegeneral.com/wp-content/uploads/2019-CHNA-Updated-Word.docx,N/A,N/A
6720319,Abrom Kaplan Memorial Hospital,1310 West Seventh Street,Kaplan,70548-2910,LA,Lafayette General Health,Non-Profit,2020,List of Counties,Vermilion,N/A,N/A,"Access to Care, Cancer, Health Literacy, Heart Disease & Stroke, Nutrition & Weight Status, Mental Health/Behavioral Health, Physical Activity, Maternal & Child Health, Diabetes","Chronic Disease, Care for Older Adults, Social Determinants of Health, Behavioral Health, Obesity",https://ochsnerlg.org/sites/default/files/2020-09/SP5630-LGH-Abrom%20Kaplan%20Memorial%20Hospital-CHNA-Mar20-ADOPTED.pdf,https://ochsnerlg.org/sites/default/files/SP5630-LGH-AKMH-CHNA-Implementation%20Strategy-2020-ADOPTED.pdf,chuval@lgh.org
6720200,Acadia General Hospital,1305 Crowley Rayne Highway,Crowley,70526-8202,LA,Lafayette General Health,Non-Profit,2019,List of Counties,Acadia,N/A,N/A,"Cancer, Heart Disease, Obesity, Substance Abuse, Diabetes, Social and Cultural Determinants","Heart Disease and Risk Factors, Social Determinants of Health, Access to Care, Mental Health and Substance Abuse, Weight Status",https://ochsnerlg.org/sites/default/files/2019-09/SP3726-LGH-AGH-CHNA-ADOPTED-9.17.19.pdf,https://ochsnerlg.org/sites/default/files/2020-05/Implementation%20Strategy%20for%20AGH%20-%201.9.20.pdf,chuval@lgh.org
6720154,Acadia-St. Landry Hospital,810 South Broadway Street,Church Point,70525-4497,LA,,Unable to find,N/A unable to find,,,,,,,,,
6720091,Accord Rehabiliation Hospital,59213 Riverwest Drive,Plaquemine,70764-6552,LA,,Unable to find,N/A unable to find,,,,,,,,,
6720070,Alexandria Veterans Affairs Health Care System,"2495 Shreveport Highway, 71 N",Pineville,71360-4044,LA,Department of Veterans Affairs,Unable to find,N/A unable to find,,,,,,,,,
6729132,Allegiance Behavioral Health Centers of Monroe,"222 Bell Lane, Suite 3",West Monroe,71291-6302,LA,,For-Profit,N/A unable to find,,,,,,,,,
6720324,Allen Parish Community Healthcare,108 Sixth Avenue,Kinder,70648-3187,LA,,Public,N/A unable to find,,,,,,,,,
6729130,AMG Physical Rehabilitation Hospital,"5025 Keystone Boulevard, Suite 200",Covington,70433,LA,AMG Integrated Healthcare Management,For-Profit,N/A unable to find,,,,,,,,,
6720369,AMG Specialty Hospital-Houma,629 Dunn Street,Houma,70360-4707,LA,AMG Integrated Healthcare Management,For-Profit,N/A unable to find,,,,,,,,,
6720065,AMG Specialty Hospital-Lafayette,310 Youngsville Highway,Lafayette,70508-4524,LA,AMG Integrated Healthcare Management,For-Profit,N/A unable to find,,,,,,,,,
