ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6110167,Bridgton Hospital,10 Hospital Drive,Bridgton,04009-1148,ME,Central Maine Healthcare,Non-Profit,N/A unable to find,,,,,,,,,
6110180,Calais Regional Hospital,24 Hospital Lane,Calais,04619-1398,ME,Down East Community Hospital,Non-Profit,2022,List of Counties,"Washington, Maine",N/A,N/A,"Cancer, Access, Cardiovascular Disease, Substance Abuse, Social Determinants of Health","Cancer, Access, Cardiovascular Disease, Substance Abuse, Social Determinants of Health",https://www.calaishospital.org/community-health-needs-assessment/,https://www.calaishospital.org/community-health-needs-assessment/,info@mainechna.org
6110200,Cary Medical Center,"163 Van Buren Road, Suite 1",Caribou,04736-3567,ME,Cary Medical Center,Non-Profit,2022,List of Counties,"Aroostook, Maine",N/A,N/A,"Cancer, Behavioral Health: Mental Health, Drug/Substance Abuse, Access & Affordability: Presence & Affordability of Services, Access to Senior Services, Alzheimer's & Dementia, Healthy Lifestyle: Heart Disease, Diabetes, Obesity","Cancer, Behavioral Health: Mental Health, Drug/Substance Abuse, Access & Affordability: Presence & Affordability of Services, Access to Senior Services, Alzheimer's & Dementia, Healthy Lifestyle: Heart Disease, Diabetes, Obesity",https://www.carymedicalcenter.org/wp-content/uploads/2023/04/chna.pdf,https://www.carymedicalcenter.org/wp-content/uploads/2023/04/chna.pdf,N/A
6110370,Central Maine Medical Center,300 Main Street,Lewiston,04240-7027,ME,Central Maine Healthcare,Non-Profit,2022,List of Counties,Androscoggin,N/A,N/A,"Mental Health, Social Determinants of Health, Substance & Alcohol Use, Access to Care","Mental Health, Social Determinants of Health, Substance & Alcohol Use, Access to Care",https://www.cmhc.org/app/uploads/sites/11/2022/05/Androscoggin-County-MSCHNA-Report-2022.pdf,N/A,N/A
6110040,Dorothea Dix Psychiatric Center,656 State Street,Bangor,04401-5609,ME,,Public,N/A unable to find,,,,,,,,,
6110386,Down East Community Hospital,11 Hospital Drive,Machias,04654-3325,ME,Down East Community Hospital,Non-Profit,2022,List of Counties,Washington ,N/A,N/A,"Mental Health, Social Determinants of Health, Substance & Alcohol Use, Access to Care","Mental Health, Social Determinants of Health, Substance & Alcohol Use, Access to Care",https://www.dech.org/wp-content/uploads/2023/01/Washington-County-MSCHNA-2022-1.pdf,https://dech.org/wp-content/uploads/2022/04/CHNA-Report-to-BOT-2019-D.docx,info@mainechna.org
6110280,Franklin Memorial Hospital,111 Franklin Health Commons,Farmington,04938-6144,ME,Maine Health,Non-Profit,2022,List of Counties,Franklin ,N/A,N/A,"Mental Health, Access to Care, Substance & Alcohol Use, Social Determinants of Health","Mental Health, Access to Care, Substance & Alcohol Use, Social Determinants of Health",https://assets.mainehealth.io/s3fs-public/imported_images/Franklin-County-MSCHNA-Report-2022.pdf,https://www.mainehealth.org/healthy-communities/community-health-needs-assessment,info@mainechna.org
6110330,Houlton Regional Hospital,20 Hartford Street,Houlton,04730-1891,ME,Houlton Regional Hospital,Non-Profit,2022,List of Counties,Aroostook ,N/A,N/A,"Mental Health, Substance Use, Access to Care, Social Determinants of Health ","Obesity, Drug and alcohol abuse, Cardiovascular Diseases, Diabetes, Respiratory Diseases",https://houltonregional.org/wp-content/uploads/2023/01/Maine-Shared-Community-Health-Needs-Assessment-Action-Plan-2023.pdf,https://houltonregional.org/wp-content/uploads/CHNA-Imp-plan.pdf,info@houltonregional.org
6110367,LincolnHealth,35 Miles Street,Damariscotta,04543-4047,ME,MaineHealth,Non-Profit,2022,List of Counties,Lincoln ,N/A,N/A,"Mental Health, Social Determinants of Health, Access to Care, Substance and Alcohol Use, Older Adult Health, Physical Activity and Nutrition, Health Care Quality, Infectious Disease, Unintentional Injury, Oral Health, Intentional Injury, Immunization, Pregnancy and Birth Outcomes, Cardiovascuar Disease, Environmental Health, Tobacco, Diabetes, Children with Special Needs","Mental Health, Access to Care, Social Determinants of Health, Substance Use Disorder, Healthy Aging ",https://assets.mainehealth.io/s3fs-public/imported_images/Lincoln-County-MSCHNA-Report-2022.pdf,https://www.mainehealth.org/-/media/Community-Health/CHNA/2022/2022-2024-Community-Health-Implementation-Plan-LH.pdf,info@mainechna.org
6110430,Maine Medical Center,22 Bramhall Street,Portland,04102-3175,ME,MaineHealth,Non-Profit,2022,List of Counties,Cumberland ,N/A,N/A,"Mental Health, Social Determinants of Health, Access to Care, Substance and Alcohol Use, Older Adult Health, Physical Activity and Nutrition, Health Care Quality, Infectious Disease, Unintentional Injury, Oral Health, Intentional Injury, Immunization, Pregnancy and Birth Outcomes, Cardiovascuar Disease, Environmental Health, Tobacco, Diabetes, Children with Special Needs","Access to Care, Social Determinants of Health, Older Adult Health, Substance Use Disorder",https://www.mainehealth.org/-/media/Community-Health/CHNA/2022/Cumberland-County-MSCHNA-Report-2022.pdf,https://www.mainehealth.org/-/media/Community-Health/CHNA/2022/2022-2024-Community-Health-Implementation-Plan-MMC.pdf,info@mainechna.org
