ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,
6320013,Adventist Healthcare Physical Health and Rehabilitation,9909 Medical Center Drive,Rockville,20850-6361,MD,Adventist HealthCare,Non-Profit,2020,"Combination of counties, zip codes, and places",Prince George's,"20744, 20745, 20748, 20607","Fort Washinton, Oxon Hill, Temple Hill, Acckeek","Behavioral Health, Substance Use, Daibetes, Heart Disease, Hypertension, Cancer, HIV, STI's Infant Health, Maternal Health, Senior Health, Asthma, Oral Health, Housing Sustanibility, Low-Income and Employed, Needs of Immigrants, Need for Innovative Outreach","Social Determinants of Health, Behavioral Health, Obesity and Metabiloc Syndrome, Cancer",https://www.adventisthealthcare.com/app/files/public/17ea72a6-b9b6-4f28-8dd5-5c02d037159a/2020-CHNA-FWMC.pdf,https://www.adventisthealthcare.com/app/files/public/af087e4a-4571-420a-8caf-c0b4166ea484/2020-CHNA-AHC-ImplementationStrategy.pdf,Health-OAP@co.pg.md.us,,
6320775,Adventist Healthcare Shady Grove Medical Center,9901 Medical Center Drive,Rockville,20850-3395,MD,Adventist HealthCare,Non-Profit,2022,List of Counties,"Montgomery, Frederick, Prince George's",N/A,n/a,"Heart diseases, Cancer, Covid 19, Stroke, Chronic lower respiratory diseases, Diabetes, Accidents, Alzheimer","Overweight/ obesity, Mental and Behavioral Health, Diabetes, High blood pressure, Heart diseases, Cancer, Smoking, Drug, Alcohol, Traffic accidents, Dental Health issues",https://www.adventisthealthcare.com/app/files/public/0327fd02-1252-4e44-819c-c85040001919/2023-CHNA-MCHC.pdf,https://www.adventisthealthcare.com/app/files/public/d6fb5bb7-54bb-467f-a3ac-db276c321665/2023-CHNA-MCHC-ImplementationStrategy.pdf,N/A,,
6322080,Adventist Healthcare Washington Adventist Hospital,7600 Carroll Avenue,Takoma Park,20912-6392,MD,Adventist HealthCare,Non-Profit,2022,Combination of counties and zip codes,"Prince Georges, Montgomery","20737, 20740, 20782, 20783, 20901, 20902, 20903, 20904, 20906, 20910, 20912, 20002, 20011, 20012, 20705, 20706, 20707, 20708, 20710, 20712, 20720, 20721, 20722, 20743, 20747, 20770, 20774, 20781, 20784, 20850, 20853, 20866, 20874, 20905",n/a,"Heart diseases, Cancer, Covid 19, Stroke, Chronic lower respiratory diseases, Diabetes, Accidents, Alzheimer","Overweight/ obesity, Mental and Behavioral Health, Diabetes, High blood pressure, Heart diseases, Cancer, Smoking, Drug, Alcohol, Traffic accidents, Dental Health issues",https://www.adventisthealthcare.com/app/files/public/0327fd02-1252-4e44-819c-c85040001919/2023-CHNA-MCHC.pdf,https://www.adventisthealthcare.com/app/files/public/d6fb5bb7-54bb-467f-a3ac-db276c321665/2023-CHNA-MCHC-ImplementationStrategy.pdf,N/A,,
6320020,Anne Arundel Medical Center,2001 Medical Parkway,Annapolis,21401-3019,MD,,Non-Profit,2022,"Combination of counties, zip codes, and places",Anne Arundel,"20758 , 21077, 21225, 21226, 21060, 21061","Friendship, Galesville, Brooklyn, Curtis Bay, Glen Burnie","Heart Disease and Cancer, Overweight and Obesity, Diabetes, Mental Health, Substance Use","Chronic Disease, Obesity/Diabetes Prevention, Behavioral Health, Social Determinants of Health",https://www.luminishealth.org/sites/default/files/2022-10/CHNA-2022-Anne-Arundel-Co1_0.pdf,https://www.luminishealth.org/sites/default/files/2022-10/Luminis-Health-CHNA-Implementation-Plan-FY22-24.pdf,N/A,,
6320003,Atlantic General Hospital,9733 Healthway Drive,Berlin,21811-1155,MD,,Non-Profit,2022,"Combination of counties, zip codes, and places","Sussex, Worcester","19939, 19939, 19945, 19975, 21811, 21813, 21841, 21842, 21843, 21862, 21872, 21874","Dagsboro, Frankford, Selbyville, Berlin, Bishopville, Newark, Ocean City. Showell, Whaleyville, Willards","High Blood Pressure/Stroke, Overweight/Obesity, Diabetes/Sugar, Cancer, Heart Disease, Smoking/Drug/Alcohol Use, Meanth Health Issues (depression, anxiety), Access to Healthcare/No Health Insurance, Asthma/Lung Disease, Dental Health","High Blood Pressure/Stroke, Overweight/Obesity, Diabetes/Sugar, Cancer, Heart Disease, Smoking/Drug/Alcohol Use, Meanth Health Issues",https://www.atlanticgeneral.org/images/AGH-2339-Community-Needs-Assessment-Rpt-2022-WEB.pdf,https://www.atlanticgeneral.org/documents/CHNA-2022-Implementation-Plan-sm.pdf,N/A,,
6320090,Bon Secours Baltimore Health System,2000 West Baltimore Street,Baltimore,21223-1558,MD,Bon Secours Mercy Health,Non-Profit,2019,List of Places,N/A,N/A,"Edmondson Village, Forest Park/Walbrook, Greater Mondawmin, Greater Rosemont, Penn North/Reservoir Hill, Poppleton/The Terraces/Hollins Market, Sandtown-Winchester/Harlem Park, Southwest Baltimore, Upton/Druid Heights, Washington Village/Pigtown","Crime and Related Trauma, Behavioral Health/Substance Abuse/Opioid, Access to Primary Care Physicians, Chronic Conditions, Children's Health, Health Education/Public Education System, Youth Services (Ages 5-18), Access to Healthy Foods, Employment & Workforce Development. Community Engagement. Housing & Homelessness. Financial Counseling & Literacy, Coordination of Services Across Community, Senior Support Services, Transportation","Crime and Related Trauma, Employment and Workforce Development, Housing and Homelessness, Access to Healthy Foods, Health Education, and collaboration with the Public Education System, Services for Youth (ages 5 to 18), Senior Support Services",https://www.bonsecours.com/-/media/bon-secours/about-us/baltimore/bsmh-baltimore-fy19-chna_final.ashx,N/A,N/A,,
6320575,Brook Lane Health Services,13121 Brook Lane,Hagerstown,21742-1435,MD,,Non-Profit,2019,"Combination of counties, zip codes, and places",Washington,"21711, 21713, 21719, 21722, 21733, 21740, 21742, 21750, 21756, 21756, 21758 ,21767, 21769, 21779, 21780, 21782, 21783, 21795, 21715, 21720, 21721, 21734. 21741, 21746, 21747, 21748, 21749, 21781","Big Pool, Boonsboro, Cascade, Clear Spring, Fairplay, Hagerstown, Hancock, Keedysville, Maugansville, Middletown, Rohrersville, Sabillasville, Sharpsburg, Smithsburg, Williamsport, Brownsville, Cavertown, Chewsvillle, Funkstown, Saint James","Substance Abuse, Mental Health, Obesity and Weight loss, Wellness, Diabetes, Heart Disease and Hypertension, Adverse Childhood Events, Senior Elder issues, Cancer, Nutrition and Healthy Eating, Transportation, Homelessness, Recreation and Exercise, Access to Health Care, Poverty, Teenage Pregnancy, Dental, Education, Affordable Health Care, Smoking, Medication, Child health, Employment, Crime, Affordable Housing, Vision / Hearing","Substance Abuse, Mental Health, Obesity and Weight loss, Wellness, Diabetes, Heart Disease and Hypertension, Adverse Childhood Events, Senior Elder issues, Cancer, Nutrition and Healthy Eating, Transportation, Homelessness, Recreation and Exercise, Access to Health Care, Poverty, Teenage Pregnancy, Dental, Education, Affordable Health Care, Smoking, Medication, Child health, Employment, Crime, Affordable Housing, Vision / Hearing",https://www.brooklane.org/sites/default/files/FY2019%20CHNA%20Report%20FINAL%20with%20cover%20sheet.pdf,N/A,N/A,,
6320730,CalvertHealth Medical Center,100 Hospital Road,Prince Frederick,20678-4017,MD,,Non-Profit,2020,Combination of counties and zip codes,Calvert,"20688, 20629,20657, 20615, 20685, 20676, 20678, 20639, 20689, 20732, 20736, 20714, 20754",n/a,"Education, Environment, Older Adults & Aging, Oral Health, Substance Abuse, Transportation, Women's Health","Cancer, Heart Disease & Stroke, Mental Health & Mental Disorders, Exercise, Nutrition, & Weight ",https://www.calverthealthmedicine.org/Uploads/Public/Documents/CommunityNeeds/CalvertHealth%202020%20CHNA.pdf,https://www.healthycalvert.org/content/sites/calverthospital/Reports/2020_-_2023_Implementation_Strategy_.pdf,n/a,,
6320880,Carroll Hospital Center,200 Memorial Avenue,Westminster,21157-5799,MD,LifeBridge Health,Non-Profit,2021,List of Zip Codes,N/A,"21157, 21158, 21784, 21074, 21787, 21048, 21102, 21771",N/A,"Alcohol Abuse, Illegal Drug Abuse, Mental Health, Prescription Drug Abuse, Suicide","Alcohol Abuse, Illegal Drug Abuse, Mental Health, Prescription Drug Abuse, Suicide",https://healthycarroll.org/wp-content/uploads/2021/04/chna-final-consolidated-report-2021.pdf,https://healthycarroll.org/wp-content/uploads/2021/04/chna-final-consolidated-report-2021.pdf,N/A,,
6320636,Clifton T. Perkins Hospital Center,8450 Dorsey Run Road,Jessup,20794-9486,MD,,Non-Profit,2022,List of Counties,"Baltimore, Anne Arundel, Harford, Howard, Montgomery, Prince George's",N/A,n/a,"Behavioral Health Provider Capacity, Access to Mental Health Services for Children & Adolescents,Access to Mental Health Services for Adults, Access to Mental Health Crisis Care Mental Health and Substance Use Stigma,Social Determinants of Health",N/A,https://www.sheppardpratt.org/files/resources/2022-sheppard-pratt-community-health-needs-assessm.pdf,N/A,N/A,,
6320783,Deer's Head Hospital Center,351 Deer's Head Hospital Road,Salisbury,21801-3201,MD,,Non-Profit,2022,List of Counties,"Somerset, Wicomico, Worcester",N/A,N/A,"Alcohol, Drug use, Mental Health, access to affordable Health care services,Weight status","Access to care, Health equity, Drug use, Chronic disease, Wellness",http://somersethealth.org/wp-content/uploads/2019/11/Final_TidalHealthSCHDWiCHD_2022_CHNA-1-1.pdf,N/A,N/A,,
6320645,Doctors Community Hospital,8118 Good Luck Road,Lanham,20706-3574,MD,,Non-Profit,2022,"Combination of counties, zip codes, and places",Prince George's,"20706, 20774, 20785, 20743, 20784,20770, 20721, 20747,20720, 20737, 20715","Lanham, Upper Marlboro, Hyattsville, Capitol Heights, Hyattsville, Greenbelt, District Heights, Bowie,Riverdale","Social determinants of health, Behavioral health, Obesity and metabolic syndrome, Cancer","Social Determinants of Health, Behavioral Health, Obesity, Metabolic disorders, Cancer",https://www.luminishealth.org/sites/default/files/2022-11/2022-Prince-Georges-County-CHA-Luminis.pdf,https://www.luminishealth.org/sites/default/files/2022-10/Luminis-Health-CHNA-Implementation-Plan-FY22-24.pdf,Health-OAP@co.pg.md.us,,
6320380,Eastern Shore Hospital Center,5262 Woods Road,Cambridge,21613-3796,MD,,Non-Profit,2022,List of Counties,"Baltimore, Anne Arundel, Harford, Howard, Montgomery, Prince George's",N/A,N/A,"Behavioral Health Provider Capacity, Access to Mental Health Services for Children & Adolescents,Access to Mental Health Services for Adults, Access to Mental Health Crisis Care, Mental Health and Substance Use Stigma,Social Determinants of Health",N/A,https://www.sheppardpratt.org/files/resources/2022-sheppard-pratt-community-health-needs-assessm.pdf,N/A,N/A,,
6320008,Fort Washington Medical Center,"175 Waterfront Street, Suite 225",Oxen Hill,20744,MD,Adventist Healthcare,Non-Profit,2022,Combination of counties and places,Prince George's,n/a,"Fort Washington, Oxon Hill, Accokeek, Temple Hills","health disparites, chronic conditions, behavioral health","Social determinants of health, behavioral health, obesity and metabolic syndrome, cancer",https://www.adventisthealthcare.com/app/files/public/06933932-0e5e-4a74-b2a9-31e3e00a18e9/2023-CHNA-PGCHD.pdf,https://www.adventisthealthcare.com/app/files/public/962c7210-bb7c-433c-b305-3c51a531e660/2023-CHNA-PGCHD-ImplementationStrategy.pdf,n/a ,,
6320540,Frederick Regional Health System,400 West Seventh Street,Frederick,21701-4593,MD,,Non-Profit,2022,List of Counties,Frederick,N/A,N/A,"Physical activity, Obesity, Hypertension, Binge Drinking, Lack of Early Prenatal Care, Tobacco Use, Adverse Childhood Experiences, Breast Cancer, Diabetes, Mental Health, Overdose Deaths","Adverse Childhood Experiences & Infant Health, Behavioral Health, Chronic Conditions",https://health.frederickcountymd.gov/DocumentCenter/View/7489/2022-Frederick-County-CHNA-final,https://www.frederickhealth.org/documents/content/FMH-CHNA-Implementation-Strategy-Signed-9-24-19.pdf,N/A,,
