ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6442295,Aleda E. Lutz Veterans Affairs Medical Center,1500 Weiss Street,Saginaw,48602-5298,MI,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,
6440030,Allegan General Hospital,555 Linn Street,Allegan,49010-1524,MI,QHR,,2021,List of Counties,Allegan,N/A,N/A,"Mental and Behavioral Health including substance use disorder and addiction; Housing; Lack of Healthcare Providers & Services including access to prenatal/perinatal care, broadband internet, and availability of appointments; Health Behaviors/Preventative Health; including Physical Activity; Food Security including access and availability of fresh foods; High Cost of Healthcare including insurance limitations; Income including poverty and inequality/household income; Transportation Service","Mental and Behavioral Health including substance use and addiction, Housing, Food Security, Lack of Healthcare Providers & Services",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-chna-ascension-borgess-allegan-hospital.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-is-ascension-borgess-allegan-hospital.pdf,N/A
6440017,Ascension Borgess Hospital,1521 Gull Road,Kalamazoo,49048-1640,MI,Ascension Healthcare,Non-Profit,2021,List of Counties,Kalamazoo,N/A,N/A,System Navigation; Mental Health; Race and Class Inequalities; Living conditions ,System Navigation; Mental Health; Race and Class Inequalities; Living conditions ,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-chna-ascension-borgess-hospital.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-is-ascension-borgess-hospital.pdf,Beth Washington: washingm@bronsonhg.org
6440930,Ascension Borgess-Lee Hospital,420 West High Street,Dowagiac,49047-1943,MI,Ascension Healthcare,,2019,List of Counties,"Allegan, Barry, Eaton, Jackson, Hillsdale, Calhoun, Kalamazoo, Van Buren, Berrien, Cass, St. Joseph, Branch",N/A,N/A,"Mental health, Sexually transmitted infection rates, Health behaviors","Develop employment opportunities, Increase health service options, More transportation options, Education through faith-based environment, Healthy affordable and available foods",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2019-ascension-borgess-lee-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2019-ascension-borgess-lee-chna-report.pdf,n/a
6440248,Ascension Brighton Center for Recovery,12851 Grand River Road,Brighton,48116-8506,MI,Ascension Healthcare,,2021,List of Counties,"Livingston, Macomb, Oakland, St. Clair, Wayne",N/A,N/A,"Chronic Disease including Diabetes and Cancer; Diet and Exercise including Obesity, Mental and Behavioral Health; Access to Care","Mental Health (includes stress, anxiety and depression); Healthy Behaviors and Chronic Disease Issues; Access to Care (with emphasis on maternal and infant health)",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-chna-ascension-brighton-center-for-recovery.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2019-ascension-st--john-chna-report.pdf,n/a
6442198,Ascension Crittenton Hospital Medical Center,1101 West University Drive,Rochester,48307-1831,MI,Ascension Healthcare,,2021,List of Counties,"Oakland, Macomb, Lapeer",N/A,N/A,"cardiovascular disease, diabetes, obesity, mental health, no routine physical check-up, no health care coverage, no dental visit, high blood pressure, high cholesterol, adequate physical activity, binge drinking","Chronic Disease, Mental Health, Access to Care",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-chna-ascension-providence-rochester-hospital.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-chna-ascension-providence-rochester-hospital.pdf,n/a
6440018,Ascension Genesys Hospital,One Genesys Parkway,Grand Blanc,48439-8066,MI,Ascension Healthcare,,2022,"Combination of counties, zip codes, and places",Genesee,"48502, 48503, 48504, 48505, 48506, 48507, 48532, 48509, 48519, 48529, 48420, 48423, 48430, 48433, 48436, 48438, 48439, 48449, 48451, 48457, 48458, 48463, 48473, 48411, 48418, 48421, 48429, 48437, 48442, 48480, 48501, 48551, 48553, 48746",Flint,"addictions (opiod epidemic), mental health, social determinants of health, obesity and healthy behaviors, health care access, chronic disease burden, maternal and child health, health inequities, safe and affordable drinking water, COVID-19","addictions (opiod epidemic), mental health, social determinants of health, obesity and healthy behaviors, health care access, chronic disease burden, maternal and child health, health inequities, safe and affordable drinking water, COVID-19",https://gfhc.org/wp-content/uploads/2022/07/2022-Production-Copy.pdf,n/a,gfhc@flint.org
6440489,Ascension Macomb-Oakland Hospital,11800 East 12 Mile Road,Warren,48093-3472,MI,Ascension Healthcare,,2021,List of Counties,"Macomb, Oakland",N/A,N/A,"Chronic Disease, Diet and Exercise, Mental and Behavioral Health, Access to Care","Obesity Reduction and Diabetes Prevention, Mental Health/Substance Abuse Prevention, Improving Maternal/Infant Health.",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-is-ascension-macomb-oakland-hospital-warren-campus.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-is-ascension-macomb-oakland-hospital-warren-campus.pdf,N/A
6440780,"Ascension of Providence Hospital, Southfield Campus",16001 West Nine Mile Road,Southfield,48075,MI,Ascension Healthcare,Non-Profit,2021,List of Counties,"Livingston, Macomb, Oakland, St. Clair, Wayne",N/A,N/A,"Chronic Disease including Diabetes and Cancer, Diet and Exercise including Obesity, Mental and Behavioral Health, Access to Care","Mental Health (includes stress, anxiety and depression), Healthy Behaviors and Chronic Disease Issues, Access to Care",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-chna-ascension-providence-hospital-southfield-campus.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-is-ascension-providence-hospital-southfield-campus.pdf,N/A
6442297,Ascension River District Hospital,4100 River Road,East China,48054-2909,MI,Ascension Healthcare,Non-Profit,2021,List of Counties,"Livingston, Macomb, Oakland, St. Clair, Wayne",N/A,N/A,Chronic Disease including Diabetes and Cancer; Diet and Exercise including Obesity; Mental and Behavioral Health; Access to Care,"Chronic Disease, including Diabetes and Cancer; Diet and Exercise, including Obesity; Mental and Behavioral Health; Access to Care",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-chna-ascension-river-district-hospital.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/michigan/2021-chna-ascension-river-district-hospital.pdf,
