ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6610815,Abbott Northwestern Hospital,800 East 28th Street,Minneapolis,55407-3799,MN,Allina Health,Non-Profit,N/A unable to find,,,,,,,,,
6610044,Alomere Health,111 17th Avenue East,Alexandria,56308-3798,MN,,Unable to find,N/A unable to find,,,,,,,,,
6610080,Anoka-Metropolitan Regional Treatment Center,3301 Seventh Avenue,Anoka,55303-4516,MN,Minnesota Department of Human Services,Unable to find,N/A unable to find,,,,,,,,,
6610087,Appleton Area Health Services,30 South Behl Street,Appleton,56208-1699,MN,,Non-Profit,N/A unable to find,,,,,,,,,
6610795,Avera Marshall Regional Medical Center,300 South Bruce Street,Marshall,56258-3900,MN,Avera Health,Non-Profit,2022,Combination of counties and places,"Lyon, Lincoln, Redwood, Pipestone, Murray",N/A,"Marshall, Minnesota, Ghent, Taunton, Lynd, Russell, Cottonwood,Tracy, Balaton, Garvin","Chronic Disease, Access to Care, Physical Activity/Eating Habits/Obesity, Mental Health, Environmental Health & High Risk Behaviors, Advanced Aging Population","Transportation, Mental Health, Cultural barriers, Obesity, Tobacco and e-cigarette use and exposure",https://www.avera.org/app/files/public/b86a20e4-a5b1-4bc3-a83f-7a06afa1b57e/2022-chna-marshall.pdf,https://www.avera.org/app/files/public/1dc33fd4-5d28-4875-9bff-744f60c66d43/2022-chna-marshall-implementation-plan.pdf,N/A
6611920,Avera Tyler Hospital,240 Willow Street,Tyler,56178-1166,MN,Avera Health,Non-Profit,2022,Combination of counties and places,Lincoln ,N/A,"Arco, Hendricks, Ivanhoe, Lake Benton, Tyler","Chronic disease, Access to care, Physical activity/Eating Habits/Obesity, Mental health, Environmental Health & High Risk Behaviors, Advanced Aging Population","Transportation, Cultural barriers, Mental Health, Obesity/Diabetes, Tobacco and e-cigarette use and exposure ",https://www.avera.org/app/files/public/d667a152-9f1c-4020-a4fa-9b582e660a44/2022-chna-tyler.pdf,https://www.avera.org/app/files/public/92b61570-998f-4af5-a887-9d9a9b025efa/2022-chna-tyler-implementation-plan.pdf,N/A
6611580,Bethesda Hospital,559 Capitol Boulevard,Saint Paul,55103-2101,MN,Fairview Health Services,Non-Profit,2018,List of Counties,Ramsey,N/A,N/A,"Mental Health, Access to care and resources, Access to healthy and affordable food, Workforce shortage, Suicide, Language Barriers, Healthy Eating and Active Living, Transportation, Respectful and Culturally Responsible Care, Affordable Healthy and Safe Housing, Dental Care","Mental Health and Well-Being, Healthy Lifestyles, Access to Care and Resources",https://stcr-prd-cd.fairview.org/-/media/Files/Local-Health-Needs/Community-Health-Needs-Assessments-2018/Bethesda_CHNAandCHIP.pdf,https://stcr-prd-cd.fairview.org/-/media/Files/Local-Health-Needs/Community-Health-Needs-Assessments-2018/Bethesda_CHNAandCHIP.pdf,N/A
6610150,Bigfork Valley Hospital,258 Pine Tree Drive,Bigfork,56628,MN,,Non-Profit,2018,List of Places,N/A,N/A,"Bigfork, Effie, Northome, Big Falls, Marcell, Bovey, LittleFork, Grand Rapids, Deer River",N/A,N/A,https://www.bigforkvalley.org/wp-content/uploads/2018/11/Bigfork-CHNA-Survey-Findings_Final.pdf,https://www.bigforkvalley.org/wp-content/uploads/2018/11/Bigfork-CHNA-Survey-Findings_Final.pdf,"wecare@bigforkvalley.org, info@ruralcenter.org"
6610200,Buffalo Hospital,303 Catlin Street,Buffalo,55313-1947,MN,Allina Health,Non-Profit,2020,List of Counties,Wright,N/A,N/A,"Mental health and substance use, Social determinants of Health, Healthy Eating and Active Lifestyle","Mental health and wellness, Dental Care, Substance use and abuse",https://www.allinahealth.org/-/media/allina-health/files/about-us/community-involvement/need-assessments/2020-buffalo-hospital-full-report.pdf?la=en&hash=E4D05055F291E7E73007AEEC8609C6DA ,https://www.allinahealth.org/-/media/allina-health/files/about-us/community-involvement/need-assessments/2020-buffalo-hospital-full-report.pdf?la=en&hash=E4D05055F291E7E73007AEEC8609C6DA,"janna.netterfield@allina.com, mona.volden@allina.com"
6610240,Cambridge Medical Center,701 South Dellwood Street,Cambridge,55008-1920,MN,Allina Health,Non-Profit,2022,List of Counties,Isanti,N/A,N/A,"Mental Health and Well-Being, Social Connections, Substance Abuse Prevention and Recovery","Lack of Social Connectedness, Mental Health and Well-Being, Substance Use",https://www.allinahealth.org/-/media/allina-health/files/about-us/community-involvement/need-assessments/cambridge-chna-2022-exec-summary.pdf,https://www.allinahealth.org/-/media/allina-health/files/about-us/community-involvement/need-assessments/cambridge-chna-2022-exec-summary.pdf,N/A
6611440,Carris Health - Redwood,100 Fallwood Road,Redwood Falls,56283-1828,MN,,Non-Profit,2018,Combination of zip codes and places,N/A,"56201, 56288, 56273, 56215, 56209, 56222, 56282, 56251, 56271, 56252, 56279","Wilmar, Spicer, New London, Benson, Atwater, Clara City, Raymond, Kandiyohi, Murdock, Kerkhoven, Pennock","Obesity, Depression, Tobacco, Diabetes, Opioid Use, Cancer",N/A,https://www.carrishealth.com/documents/CommunityHealthNeedsAssessment.pdf,N/A,N/A
6611130,CCM Health,824 North 11th Street,Montevideo,56265-1683,MN,,Non-Profit,N/A unable to find,,,,,,,,,
6610720,CentraCare Health-Long Prairie,20 Ninth Street SE,Long Prairie,56347-1404,MN,CentraCare Health,Non-Profit,2022,Combination of counties and places,Todd,N/A,"Long Prairie, Browerville, Clarissa, Eagle Bend","Diabetes, Obesity - Adult & Child, Mental Health","Diabetes, Obesity - Adult & Child, Mental Health",https://www.centracare.com/documents/about/CentraCare-Long-Prairie-CHNA-and-Implementation-Strategy-updated-6.29.22.pdf,https://www.centracare.com/documents/about/CentraCare-Long-Prairie-CHNA-and-Implementation-Strategy-updated-6.29.22.pdf,Danielle.Protivinsky@centracare.com
6610810,CentraCare Health-Melrose,525 Main Street West,Melrose,56352-1043,MN,CentraCare Health,Non-Profit,2022,Combination of counties and zip codes,Stearns,"55353, 56307, 56310, 56312, 56316, 56320, 56321, 56325, 56340, 56352, 56335, 56356, 56331, 56362, 56368, 56369, 56371, 56374, 56375, 56376, 56377, 56378, 56387, 56301, 56303, 55329, 55382, 55320",N/A,"Building Families, Mental Health, Encouraging Social Connection, Adverse Childhood Experiences (ACEs), Tobacco / Nicotine Use, Health Care, Risky Youth Behavior, Financial Stress, Trauma, Educating Policy Makers and Key Community Stakeholders","Building Families, Mental Health, Encouraging Social Connection, Adverse Childhood Experiences (ACEs), Tobacco / Nicotine Use, Health Care, Risky Youth Behavior, Financial Stress, Trauma, Educating Policy Makers and Key Community Stakeholders",https://www.centracare.com/documents/about/Central-MN-Alliance-CHIP-CHNA-2022-2025-Version-1-Updated-6.29.22.pdf,https://www.centracare.com/documents/about/Central-MN-Alliance-CHIP-CHNA-2022-2025-Version-1-Updated-6.29.22.pdf,Danielle.Protivinsky@centracare.com
6611135,CentraCare Health-Monticello,1013 Hart Boulevard,Monticello,55362-8230,MN,CentraCare Health,Non-Profit,2020,Combination of counties and places,Wright,N/A,"Annandale, Cokato, Howard Lake, Montrose, Rockford, Buffalo, Albervile, Monticello, Silver Creek, Clear ater, Maple Lake","Mental Health and Wellness, Dental Care, Substance Use and Abuse","Mental Health and Wellness, Dental Care, Substance Use and Abuse",https://www.centracare.com/documents/about/Wright-County-Community-Health-Collaborative-CHNA-2019-2022-Version-1-Updated-10.19.pdf,https://www.centracare.com/documents/about/CentraCare-Monticello-Implementation-Plan-2019-2022-Version-1-Updated-10.19.pdf,Melissa Pribyl: pribylm@centracare.com
6611325,CentraCare Health-Paynesville,200 West 1st Street,Paynesville,56362-1496,MN,CentraCare Health,Unable to find,2022,Combination of counties and zip codes,"Benton, Sherburne, Stearns","56333, 56367, 56379, 56357, 56329, 56304, 55309, 55308, 55330, 55398, 55319, 55353, 56307, 56310, 56312, 56316, 56320, 56321, 56325, 56340, 56352, 56335, 56356, 56331, 56362, 56368, 56369, 56371, 56374, 56375, 56376, 56377, 56378, 56387, 55359, 55389, 56301, 56303, 55329, 55362, 56440, 56347, 56438, 56446, 55301, 56201, 56209, 56215, 56222, 56251, 56252, 56271, 56273, 56279, 56282, 56288, 55310, 55324, 55325, 55333, 55355, 56157, 56169, 56214, 56216, 56223, 56224, 56226, 56229, 56230, 56231, 56237, 56239, 56241, 56243, 56245, 56246, 56253, 56255, 56258, 56260, 56262, 56263, 56264, 56265, 56266, 56270, 56277, 56281, 56283, 56284, 56285, 56287, 56289, 56291, 56292, 56293, 56295, 56297",N/A,"Building Familes, Mental Health, Encouraging Social Connection, Adverse Childhood Experiences (ACEs), Tobacco/Nicotine Use, Health care, Risky Youth Behavior, Financial Stress, Trauma, Educating Policy Makers and Key Community Stakeholders","Building Familes, Mental Health",https://www.centracare.com/documents/about/Central-MN-Alliance-CHIP-CHNA-2022-2025-Version-1-Updated-6.29.22.pdf,N/A,Kimberly Tjaden: kimberly.tjaden@centracare.com
