ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-profit Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6540413,Allegiance Specialty Hospital of Greenville,"300 South Washington Avenue, 3rd Floor",Greenville,38701-4719,MS,Allegiance Health Management,No,N/A unable to find,,,,,,,,,
6540590,Alliance Health Center,5000 Highway 39 North,Meridian,39301-1021,MS,"Universal Health Services, Inc.",No,N/A unable to find,,,,,,,,,
6540335,Alliance HealthCare System,1430 Highway 4 East,Holly Springs,38635-2140,MS,,No,N/A unable to find,,,,,,,,,
6540510,Anderson Regional Health System,2124 14th Street,Meridian,39301-4040,MS,,Yes,2021,List of Counties,"Lauderdale; Clarke, Newton, Neshoba",N/A,N/A,"COVID 19, heart disease, diabetes, obesity, cancer, addiction, mental health issues ","COVID 19, Chronic Disease Prevention, Health Life Style/Prevention, Substance Abuse and Mental Health Awarenesss ",https://www.andersonregional.org/community-health-needs-assessments/,https://www.andersonregional.org/community-health-needs-assessments/,N/A
6540575,Anderson Regional Health System South,1102 Constitution Avenue,Meridian,39301-4001,MS,,Yes,2021,List of Counties,"Lauderdale, Clarke, Newton, Neshoba",N/A,N/A,"COVID 19, heart disease, diabetes, obesity, cancer, addiction, mental health issues","COVID 19, Chronic Disease Prevention, Health Life Style/Prevention, and Substance Abuse and Mental Health Awarenesss ",https://www.andersonregional.org/documents/content/community-health-needs-assessments/Anderson-Regional-Health-System-CHNA-2021-Final.pdf,https://www.andersonregional.org/community-health-needs-assessments/,N/A
6540420,Baptist Medical Center Attala,220 Highway 12 West,Kosciusko,39090-3208,MS,Baptist Memorial Health Care Corporation,Yes,2022,"Combination of counties, zip codes, and places","Attala, Hinds, Leake, Madison, Rankin, Yazoo","39047, 39110, 39042, 39170, 39073, 39372, 39211, 39157, 39041, 39034,39175,39058, 39071, 39218, 39212, 39066, 39066, 39045, 39203, 39206, 39051, 39160, 39179, 39192, 39056,39162, 39154, 39145, 39067, 39108, 39216, 39208, 39039, 39040, 39189, 39209, 39204, 39201, 39090, 39203, 39213, 39046, 39194
",Central Mississippi,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/1C5A3B0E924A4A45B6A9350B117A7569.pdf,N/A,N/A
6540123,Baptist Medical Center Leake,1100 Highway 16 E,Carthage,39051-3809,MS,Baptist Memorial Health Care Corporation,Yes,2022,Combination of counties and places,Leake ,N/A,Central Mississippi,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/1C5A3B0E924A4A45B6A9350B117A7569.pdf,N/A,N/A
6540930,Baptist Medical Center Yazoo,823 Grand Avenue,Yazoo City,39194-3233,MS,Baptist Memorial Health Care Corporation,Yes,2022,Combination of counties and places,Yazoo County ,N/A,Central Mississippi,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/1C5A3B0E924A4A45B6A9350B117A7569.pdf,N/A,N/A
6540116,Baptist Memorial Hospital - Calhoun,140 Burke-Calhoun City Road,Calhoun City,38916-9690,MS,Baptist Memorial Health Care Corporation,Yes,2022,Combination of counties and places,"Lafayett & Panola
Benton & Union
Prentiss
Lowndes
Calhoun",N/A,North Mississippi,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/5366EF6954CE4FC4ADEEF6FA4F412E59.pdf,N/A,N/A
6540080,Baptist Memorial Hospital-Booneville,100 Hospital Street,Booneville,38829-3359,MS,Baptist Memorial Health Care Corporation,Yes,2022,Combination of counties and places,"Prentiss
",N/A,North Mississippi,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/5366EF6954CE4FC4ADEEF6FA4F412E59.pdf,N/A,N/A
