ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6630930,Barnes-Jewish Hospital,1 Barnes-Jewish Hospital Plaza,Saint Louis,63110-1003,MO,BJC HealthCare,Non-Profit,2022,"Combination of counties, zip codes, and places",St. Louis ,"63101, 63102, 63103, 63104, 63106, 63107, 63108, 63109, 63110, 63111, 63112, 63113, 63115, 63116, 63118, 63120, 63139, 63147, 63164, 63166, 63196, 63199",St. Louis City,"Asthma, Cancer, Diabetes, Heart health, Maternal and child health, Reproductive and sexual health, Mental Health, Substance Abuse, Injury",Mental Health,https://barnesjewish.thehcn.net/content/sites/barnesjewish/Final_2022_BJH_CHNA_amp_Implementation_Strategy_1.pdf,https://barnesjewish.thehcn.net/content/sites/barnesjewish/Final_2022_BJH_CHNA_amp_Implementation_Strategy_1.pdf,N/A
6631280,Barnes-Jewish St. Peters Hospital,10 Hospital Drive,Saint Peters,63376-1659,MO,BJC HealthCare,Non-Profit,2022,"Combination of counties, zip codes, and places",St. Charles,"63301, 63303, 63385, 63366, 63368, 63376",Interstate 70 corridor,"Cancer, Diabetes, Heart and vascular disease, Respiratory diseases, Mental Health, Substance Use and Abuse","Mental health, Heart health",https://bjsph.thehcn.net/content/sites/bjsph/Final_2022_BJSPH_CHNA_amp_Implementation_Strategy_1.pdf,https://bjsph.thehcn.net/content/sites/bjsph/Final_2022_BJSPH_CHNA_amp_Implementation_Strategy_1.pdf,N/A
6631010,Barnes-Jewish West County Hospital,12634 Olive Boulevard,Saint Louis,63141-6337,MO,BJC HealthCare,Non-Profit,2022,Combination of counties and zip codes,"West, South, Mid/West","63125, 63123, 63146, 63088, 63141, 63088, 63141, 63025, 63011, 63021, 63043, 63069, 63121, 63122, 63126, 63128, 63129, 63131, 63132",N/A,"Asthma, Cancer, Diabetes, Heart health/stroke, Maternal/infant health, Mental Health, Obesity, Sexually transmitted infections, Substance abuse",Obesity,https://bjwc.thehcn.net/content/sites/bjwc/Final_2022_BJWCH_CHNA__amp_Implementation_Strategy_1.pdf,https://bjwc.thehcn.net/content/sites/bjwc/Final_2022_BJWCH_CHNA__amp_Implementation_Strategy_1.pdf,N/A
6630047,Bates County Memorial Hospital,615 West Nursery Street,Butler,64730-1840,MO,,Non-Profit,2022,"Combination of counties, zip codes, and places",Bates,"64730, 64720, 64779, 64752, 64722, 64723, 64780, 64742, 64745","Butler, Adrian, Rich Hill, Humne, Amoret, Amsterdam, Rockville, Drexel, Foster","Mental Health, Substance abuse, Workforce Staffing, Transportation, Childcare, Home Health, Obesity","Drugs/alcohol abuse (opioids, meth, heroin, marijuana, cocaine); Obesity (nutrition/exercise)/food insecurity (kids); Mental health (diagnosis, treatment, aftercare); Create Community Health Center (Pool/Child Programs); Visiting specialists (derm, neuro, peds, OBGYN); Urgent care services",https://www.bcmhospital.com/wp-content/uploads/CHNA2022_FinalDraftReport_BCMH_BatesCoMO_V5Skinny.pdf,https://www.bcmhospital.com/wp-content/uploads/CHNA-Implementation-2019-to-2022.pdf,"Wince Vandehaar: VVV@VandehaarMarketing.com, Cassandra Kahl: CJK@VandehaarMarketing.com, Hannah Foster: HCF@VandehaarMarketing.com"
6630035,Belton Regional Medical Center,17065 South 71 Highway,Belton,64012-4631,MO,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6630456,Black River Medical Center,217 Physicians Park Drive,Poplar Bluff,63901-3956,MO,,Non-Profit,N/A unable to find,,,,,,,,,
6630130,Boone Hospital Center,1600 East Broadway,Columbia,65201-5844,MO,BJC HealthCare,Non-Profit,2022,"Combination of counties, zip codes, and places",Boone,"65010, 65240, 65201, 65202, 65203, 65255, 65256, 65039, 65203, 65203, 65279, 65284","Ashland, Centralia, Columbia (county seat), Hallsville, Harrisburg, Hartsburg, Huntsdale, McBaine, Rocheport, Sturgeon","Diabetes, Heart and Vascular Disease, Skin Cancer","Mental Health/Substance Abuse; Obesity; Social Determinants of Health: Transportation, Housing, Uninsured/Underinsured, Food Insecurity",https://boone.health/wp-content/uploads/2023/01/CHNA-Report-2022-Final.pdf,https://boone.health/wp-content/uploads/2023/01/CHNA-Report-2022-Final.pdf,snjenga@mhanet.com
6631290,Bothwell Regional Health Center,601 East 14th Street,Sedalia,65301-5972,MO,,Non-Profit,2022,"Combination of counties, zip codes, and places","Pettis, Benton","65235, 65326, 65332, 65333, 65334, 65335, 65337, 65338, 65345, 65347, 65301, 65350, 65355, 65360","Cole Camp, Edwards, Green Ridge, Houstonia, Hughesville, Ionia, La Monte, Lincoln, Mora, Nelson, Sedalia, Smithton, Warsaw, Windsor","Substance Abuse, Mental Health Issues, Obesity, Heart Disease, Suicide (especially youth), Accessible Dental Care","Mental Health, Substance Use, Heart Disease and Obesity",https://www.brhc.org/wp-content/uploads/brhc-chna-05182022.pdf,https://www.brhc.org/wp-content/uploads/chna-implementation-plan-brhc.pdf,660-826-8833
6630063,Cameron Regional Medical Center,1600 East Evergreen,Cameron,64429-2400,MO,,Non-Profit,2022,"Combination of counties, zip codes, and places","Clinton, Caldwell, DeKalb, Daviess","64429, 64454, 64465, 64477, 64492, 64493, 64620, 64636, 64640, 64647, 64648, 64654, 64670, 64689, 64422, 64430, 64469, 64474, 64490, 64494, 64497","Cameron, Gower, Lathrop, Plattsburg, Trimble, Turney, Altamont, Coffey, Gallatin, Jameson, Jamesport, Lock Springs, Pattonsburg, Winston, Amity, Clarksdale, Maysville, Osborn, Stewartsville, Union Star, Weatherby","Mental Health (Diagnosis, Placement, Aftercare, Providers); Substance Abuse (Methamphetamines, Opioids & Vaping); Lack of Comprehensive (4 County) Healthcare Resource Guide; Affordable / Safe Childcare; School Health; Long Term Care Staffing / Training; Reimbursement for Providers; Awareness of HC Services; Senior Care (Transitional)","Mental Health (Diagnosis, Placement, Aftercare, Providers); Substance Abuse (Methamphetamines, Opioids & Vaping); Lack of Comprehensive (4 County) Healthcare Resource Guide; Affordable / Safe Childcare; School Health; Long Term Care Staffing / Training; Reimbursement for Providers; Awareness of HC Services; Senior Care (Transitional)",https://irp-cdn.multiscreensite.com/87401228/files/uploaded/chna_2019-CameronRegional_2019_Report_Final.pdf,https://irp-cdn.multiscreensite.com/87401228/files/uploaded/chna_2019-CameronRegional_2019_Report_Final.pdf,swilliams@cameronregional.org.
6630011,Capital Region Medical Center,1125 Madison Street,Jefferson City,65101-5200,MO,University of Missouri Health Care,Non-Profit,2019,List of Counties,"Callaway, Cole, Miller, Moniteau, Osage",N/A,N/A,"Access to Health Care, Mental Health Disorders and Substance Abuse, Chronic Disease and Health Risks Preventions, Health Literacy, Social Determinants of Health","Improve Access to Health Care and Support Services, Mental Health Disorders and Substance Abuse, Chronic Disease and Health Risks Prevention, Improve Health Literacy, Address Social Determinants of Health",https://res.cloudinary.com/dpmykpsih/image/upload/crmc-v8-site-264/media/1321/2019-2021-chna-action-plan.pdf,https://res.cloudinary.com/dpmykpsih/image/upload/crmc-v8-site-264/media/1321/2019-2021-chna-action-plan.pdf,N/A
6630087,Carroll County Memorial Hospital,1502 North Jefferson Street,Carrollton,64633-1948,MO,,Non-Profit,2021,List of Counties,Carroll,N/A,N/A,"Substance Abuse (Drug & Alcohol); Mental Health (Diagnosis, Placement, Aftercare, Providers); Obesity (Nutrition/ Exercise); Uninsured/ Underinsured Services; Affordable Housing; Vaccination Education","Substance Abuse (Drug & Alcohol); Mental Health (Diagnosis, Placement, Aftercare, Providers); Obesity (Nutrition/ Exercise); Uninsured/ Underinsured Services; Affordable Housing; Vaccination Education",https://www.carrollcountyhospital.org/Content/Uploads/carrollcountyhospital.org/files/CHNA2021_CarrollCo_CCMH_FINAL.pdf,https://www.carrollcountyhospital.org/Content/Uploads/carrollcountyhospital.org/files/CHNA2021_ImpDetailPlan_CarrollCoMO.pdf,VVV@VandehaarMarketing.com
6630231,Cass Regional Medical Center,2800 East Rock Haven Road,Harrisonville,64701-4411,MO,,Non-Profit,2021,List of Counties,Cass,N/A,N/A,"Mental Health, Drugs, Urgent Care Services, Healthcare Transportation, Obesity","Mental Health, Lack of Healthcare, County-wide Coalition Suicides (Adolesence-focused), Awareness of Healthcare Services, Senior Care Staffing, Smoking (Vaping), Domestic Violence, Poverty (Homelessness and Access to Dental Care) ",https://www.crmc.org/about-us/community-involvement/community-health-needs-assessment/,https://www.crmc.org/about-us/community-involvement/community-health-needs-assessment/,bsexton@cassregional.org
6630156,Cedar County Memorial Hospital,1401 South Park Street,El Dorado Springs,64744-2037,MO,,Non-Profit,N/A unable to find,,,,,,,,,
6639135,Center for Behavioral Medicine,1000 East 24th Street,Kansas City,64108-2776,MO,,Public,N/A unable to find,,,,,,,,,
6630039,Centerpoint Medical Center,19600 East 39th Street,Independence,64057-2301,MO,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6630865,CenterPointe Hospital,4801 Weldon Spring Parkway,Saint Charles,63304-9101,MO,,For-Profit,N/A unable to find,,,,,,,,,
6630340,Children's Mercy Hospital Kansas City,2401 Gillham Road,Kansas City,64108-4619,MO,,Non-Profit,2022,Combination of counties and places,"Clay, Jackson, Platte, Johnson, Wyandotte",N/A,"Missouri, Kansas","Access to health services, Child and youth mental health, Housing and neighborhood conditions/services, Violence prevention","Access to health services, Child and youth mental health, Housing and neighborhood conditions/services, Violence prevention",https://flipbook.childrensmercy.org/2022-community-health-needs-assessment/full-view.html,https://www.childrensmercy.org/siteassets/media-documents-for-depts-section/documents-for-in-the-community/community-benefit/2022-2025-implementation-strategy.pdf,communityplanning@cmh.edu
6630185,Christian Hospital,11133 Dunn Road,Saint Louis,63136-6119,MO,BJC HealthCare,Non-Profit,2022,Combination of counties and zip codes,North St. Louis,"63135, 63136, 63120, 63121",N/A,"Heart health, Diabetes mellitus, Accidents/injuries, Cancer, Dental health, Drug/alcohol abuse, Heart and vascular: stroke, High blood pressure, Immunization/infectious disease, Maternal/infant health, Mental/behavioral health: mental health, Obesity, Reproductive health, Respiratory disease, Smoking/tobacco use, Vaping","Heart health, Diabetes mellitus",https://christianhospital.thehcn.net/content/sites/bjwc/Final_2022_CH_CHNA_amp_Implementation_Strategy_1.pdf,https://christianhospital.thehcn.net/content/sites/bjwc/Final_2022_CH_CHNA_amp_Implementation_Strategy_1.pdf,N/A
