ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,,,,,,,
6660765,Annie Jeffrey Memorial County Health Center,531 Beebe Street,Osceola,68651-5537,NE,,,N/A unable to find,,,,,,,,,,,,,,,,,
6660525,Antelope Memorial Hospital,102 West Ninth Street,Neligh,68756-1114,NE,,,2019,Combination of counties and places,Antelope,N/A,"Neligh, Brunswick, Clearwater, Elgin, Oakdale, Orchard, Royal, Tilden","Physical Wellness, Mental Wellness, Aging Population & Related Issues, Substance Abuse","Chronic Disease Detection & Management, Mental Wellness",https://www.amhne.org/docs/AMH.2019CHNA.pdf,https://www.amhne.org/docs/AMH.2019CHIP.pdf,N/A,,,,,,,,
6660166,Avera Creighton Hospital,1503 Main Street,Creighton,68729-3007,NE,Avera Health,,2019,List of Counties,"Knox, Pierce, Antelope",N/A,N/A,"Mental or Behavioral Health, Hypertension, Diabetes","Mental or Behavioral Health, Hypertension, Diabetes",https://www.avera.org/app/files/public/74855/2019-chna-creighton.pdf,https://www.avera.org/app/files/public/75698/2019-chna-creighton-implementation-plan.pdf,N/A,,,,,,,,
6660747,Avera St. Anthony's Hospital,300 North Second Street,O'Neill,68763-1514,NE,Avera Health,,2019,List of Counties,Holt,N/A,N/A,"Chronic disease detection and management, Mental Wellness","Chronic disease detection and management, Mental Wellness",https://www.avera.org/app/files/public/75592/2019-chna-st-anthonys-implementation-plan.pdf,https://www.avera.org/app/files/public/75592/2019-chna-st-anthonys-implementation-plan.pdf,N/A,,,,,,,,
6660090,Beatrice Community Hospital and Health Center,4800 Hospital Parkway,Beatrice,68310-6906,NE,,,2020,List of Counties,Gage,N/A,N/A,"Mental Health, Healthcare Apathy, Suicides, Substance Abuse, Economic Development, Obesity, Affordable Healthcare Insurance","Mental Health, Healthcare Apathy, Suicides, Substance Abuse, Economic Development, Obesity, Affordable Healthcare Insurance",https://assets.colenient.com/images/articles/22/chna/22-chna3bchgageconejune3020.pdf,https://assets.colenient.com/images/articles/22/chna/22-chnaactionplan2020.pdf,dvicars@bchhc.org,,,,,,,,
6660015,Boone County Health Center,723 West Fairview Street,Albion,68620-1725,NE,,,2021,Combination of counties and places,"Boone, Colfax, Nance, Platte",N/A,"Albion, Spalding, Newman Grove, Fullerton, Elgin","Cancer, Heart Disease, Overweight/Obesity, Diabetes (Boone), Injuries, Mental Health (Colfax), Suicide, Infant Mortality (Platte and Colfax), Teen Births (Colfax), Healthcare Coverage, Dental & Mental Health Provider, Shortage","Access to Care 
",https://www.columbushosp.org/news_events/community_health_needs_assessment_chna.aspx,https://www.columbushosp.org/sites/www/Uploads/CHIP%20%20Access%20to%20Care%20Slides%20report%20out%2012%202020%20Rev%20(002).pdf,N/A,,,,,,,,
6660022,Box Butte General Hospital,2101 Box Butte Avenue,Alliance,69301-4445,NE,,,2020,Combination of counties and places,Box Butte,N/A,Panhandle,"Healthy eating, Promote emotional resilience, Environment and events for active living, Established healthy habits early on, Focus on long-term impact of pandemic, Improve access to healthcare, Prevent and reduce substance use, Access to basic needs","Mental well-being, Access to care, Chronic disease and prevention, Aging and vulnerable populations",https://www.bbgh.org/about-us/community-health-needs-assessment.html,https://www.bbgh.org/about-us/community-health-needs-assessment.html,dnewhoff@bbgh.org,,,,,,,,
6660706,Boys Town National Research Hospital,555 North 30th Street,Omaha,68131-2198,NE,,,2018,List of Counties,"Douglas, Sarpy",N/A,N/A,"Access to Health Services, Cognitive & Behavioral Conditions, Diabetes, Injury & Violence, Mental Health, Neurological Conditions, Nutrition Physical Activity & Weight, Sexual Health, Tobacco Alcohol & Other Drugs, Vison Hearing & Speech Conditions","Mental Health, Nutrition Obesity & Physical Activity, Access to Health Services, Sexual Health, Tobacco Alcohol & Other Drugs ",https://assets.boystown.org/hosp_peds_docs/2018-Child-Adolescent-Community-Health-Needs-Assessment-Report.pdf,https://assets.boystown.org/hosp_peds_docs/2018-Child-Adolescent-Community-Health-Needs-Assessment-Report.pdf,N/A,,,,,,,,
6660920,Brodstone Memorial Hospital,520 East Tenth Street,Superior,68978-1225,NE,,,2021,List of Counties,Nuckolls,N/A,N/A,"Access to care, Mental health, Substance misuse, Obesity & related health conditions, Cancer, Racial-ethnic disparities, Socioeconomic disparities, Community perceptions","Access to care, Mental health, Substance misuse, Obesity & related health conditions, Cancer",https://www.brodstonehospital.org/wp-content/uploads/2020/11/CHIP-Report-2021_1-1.pdf,N/A,N/A,,,,,,,,
6660013,Brown County Hospital,945 East Zero Street,Ainsworth,69210-1547,NE,,,N/A unable to find,,,,,,,,,,,,,,,,,
