ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,
6880017,AMG Specialty Hospital - Las Vegas,4015 Mcleod Drive,Las Vegas,89121-4305,NV,AMG Integrated Healthcare Management,Unable to find,N/A unable to find,,,,,,,,,,,
6880050,Banner Churchill Community Hospital,801 East Williams Avenue,Fallon,89406-3052,NV,Banner Health,Non-Profit,2022,Combination,"Churchill, Lyon","89406, 89408","Fallon, Fernley"," Chronic Disease Management (Diabetes/Heart Disease/Cancer),  Access to Care,  Behavioral Health","Access to and navigating healthcare services, Chronic Disease Management, Behavioral Health",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/nevada/banner-churchill-community-hospital-fallon.ashx,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/nevada/banner-churchill-community-hospital-fallon.ashx,CHNA.CommunityFeedback@bannerhealth.com,,
6889010,Battle Mountain General Hospital,535 South Humboldt Street,Battle Mountain,89820-1988,NV,,Unable to find,N/A unable to find,,,,,,,,,,,
6880010,Boulder City Hospital,901 Adams Boulevard,Boulder City,89005-2213,NV,,Unable to find,N/A unable to find,,,,,,,,,,,
6880011,Carson Tahoe Continuing Care Hospital,"775 Fleischmann Way, 2nd Floor",Carson City,89703-2995,NV,,Non-Profit,2022,Combination,"Douglas, Lyon","89429, 89403, 89706, 89701, 89703, 89705, 89413, 89460, 89410, 89423",Carson City,"Access to basic needs, mental/emotional health, access to healthcare for specific populations, substance use, prevention, recovery","Housing, childcare, affordable/accessible prescriptions,access to health care for low-income indiviuals, providers for youth/ adults,capacity needed across acuity,social connectivity,access to special care,health system compentency, transportation,access for specific populations, ",https://www.carsontahoe.com/assets/Quad%20County%20Regional%202022%20CHNA%20Executive%20Summary%20Final.pdf,N/A,N/A,,
6880025,Carson Tahoe Health,1600 Medical Parkway,Carson City,89703-4625,NV,,Non-Profit,2022,Combination,"Douglas, Lyon ","89429, 89403, 89706, 89701, 89703, 89705, 89413, 89460, 89410, 89423",Carson City,"Access to basic needs, mental/emotional health, access to healthcare for specific populations, substance use, prevention, recovery","Housing, childcare, affordable/accessible prescriptions,access to health care for low-income indiviuals, providers for youth/ adults,capacity needed across acuity,social connectivity,access to special care,health system compentency, transportation,access for specific populations, ",https://www.carsontahoe.com/assets/Quad%20County%20Regional%202022%20CHNA%20Executive%20Summary%20Final.pdf,N/A,N/A,,
6880027,Carson Valley Medical Center,1107 Hwy 395,Gardnerville,89410,NV,Renown Health,Non-Profit,N/A unable to find,,,,,,,,,,,
6880039,Centennial Hills Hospital Medical Center,6900 North Durango Drive,Las Vegas,89149-4409,NV,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,,,
6880019,Complex Care Hospital at Tenaya,2500 North Tenaya,Las Vegas,89128-0482,NV,LifeCare Management Services,Unable to find,N/A unable to find,,,,,,,,,,,
6889102,Desert Parkway Behavioral Healthcare Hospital,3247 South Maryland Parkway,Las Vegas,89109-2412,NV,Signature Healthcare Services,Unable to find,N/A unable to find,,,,,,,,,,,
