ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6221500,Capital Health Regional Medical Center,750 Brunswick Avenue,Trenton,08638-4143,NJ,Trenton Health Team,Non-Profit,2019,List of Places,N/A,N/A,Trenton,"Housing; Racial/Ethnic Inequities; Adverse Childhood Experiences; Mental Health and Substance Use Disorders; Community Safety; Food Insecurity, Access, and Nutrition; Chronic Disease; Maternal and Child Health","Housing; Racial/Ethnic Inequities; Adverse Childhood Experiences; Mental Health and Substance Use Disorders; Community Safety; Food Insecurity, Access, and Nutrition; Chronic Disease; Maternal and Child Health",https://www.capitalhealth.org/sites/default/files/2019-08/Trenton-CHNAA-June-2019_7.2.19r.pdf,https://www.capitalhealth.org/sites/default/files/2019-08/Trenton-CHNAA-June-2019_7.2.19r.pdf,N/A
6221175,Chilton Medical Center,97 West Parkway,Pompton Plains,07444-1696,NJ,Atlantic Health System,Non-Profit,2019,"Combination of counties, zip codes, and places","Morris, Passaic","07035, 07440, 07457, 07420, 07442, 07465, 07480, 07470,  07405, 07444, 07403, 07421, 07456","Lincoln Park, Pequannock, Riverdale, Haskell, Pompton Lakes, Wanaque, West Millford, Butler, Pompton Plains, Bloomingdale, Hewitt, Ringwood, Wayne","Pulmonary Disease, Heart Disease , Diabetes, Stroke,  Cancer, Behavioral Health","Pulmonary Disease, Heart Disease, Diabetes, Stroke, Cancer, Behavioral Health (including Substance Use as it pertains to Mental Health)",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiFz5mKys_6AhU0mGoFHfsCDiQQFnoECBcQAQ&url=https%3A%2F%2Fwww.atlantichealth.org%2Fcontent%2Fdam%2Fatlantichealth-v2%2Fpatients-visitors%2Fcommunity-health-needs%2FAHS_CMC_CHNA_2019.pdf&usg=AOvVaw3m_1iz2HUxrxRk_7Quf-4O,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiFz5mKys_6AhU0mGoFHfsCDiQQFnoECBcQAQ&url=https%3A%2F%2Fwww.atlantichealth.org%2Fcontent%2Fdam%2Fatlantichealth-v2%2Fpatients-visitors%2Fcommunity-health-needs%2FAHS_CMC_CHNA_2019.pdf&usg=AOvVaw3m_1iz2HUxrxRk_7Quf-4O,N/A
6221395,Community Medical Center,99 Route 37 West,Toms River,08755-6423,NJ,RWJBarnabas Health,Non-Profit,2022,"Combination of counties, zip codes, and places",Ocean,"08731, 08753, 087755, 08757, 08734, 08721","Bayville, beachwood, Forked River, Island heights, Lakehurst, Lanoka harbor, Lavalletem Manchester, Ocean gate, Pine beach, Seaside Height, Seaside Park, Toms River","Mental Health, Chronic Disease Management, Cancer, Access to Primary Care, Chronic Cardiac Conditions, Diabetes, Substance Abuse, Food Security, Maternal/Child Health, Insurance Coverage, Health Education/Service Awareness, Transportation","Chronic Disease Prevention and Management, Behavioral Health: Mental Health and Substance Use, Cancer",https://www.rwjbh.org/documents/community-health-needs-assessment/CMC-CHNA-2022.pdf,https://www.rwjbh.org/documents/community-health-needs-assessment/CMC-CHNA-2022.pdf,N/A
6220190,Cooper University Health Care,One Cooper Plaza,Camden,08103-1489,NJ,Cooper University Healthcare,Non-Profit,2022,List of Counties,"Burlington, Camden, Gloucester",N/A,N/A,"Chronic Disease, Behavioral Health, Behavioral Health among young people (age 24 and younger), Maternal and Child Health","Chronic Disease, Behavioral Health, Behavioral Health among young people (age 24 and younger), Maternal and Child Health",https://www.cooperhealth.org/sites/default/files/Cooper.CHNA.CHIP.2022.pdf,https://www.cooperhealth.org/sites/default/files/Cooper.CHNA.CHIP.2022.pdf,N/A
6221170,Hackensack Meridian Health Ocean Medical Center,425 Jack Martin Boulevard,Brick Township,08724-7732,NJ,Hackensack Meridian Health,Non-Profit,2022,List of Counties,"Monmouth, Ocean",N/A,N/A,"Access to healthcare, cancer, Heart Disease and stroke, Injury and violence, Mental Health, Nutrition, Physical Activity and weight, Potentially diabling conditions, Respiratory disease, Social determinants of health, substance use, tobacco use","Chronic & Complex Conditions, Behavioral Health, Social Determinants of Health, Wellness & Prevention",https://www.hackensackmeridianhealth.org/-/media/project/hmh/hmh/public/about-us/files/2022/2022-bayshore-medical-center-chna-report.pdf,https://www.hackensackmeridianhealth.org/-/media/project/hmh/hmh/public/about-us/files/2022/2022-bayshore-medical-center-chna-report.pdf,N/A
6220365,Hackettstown Medical Center,651 Willow Grove Street,Hackettstown,07840-1799,NJ,Atlantic Health System,Non-Profit,2021,"Combination of counties, zip codes, and places","Morris, Warren, Sussex","07828, 07840, 07882, 07821, 07823, 07825, 07836, 07838, 07853, 07863","Budd lake, Hackettstown, Washington, Andover, Belvidere, Blairstown, Flanders, Oxford","Heart Disease, Diabetes and Overweight/Obesity, Substance Misuse, Mental Health, Cancer","Heart Disease, Diabetes and Overweight/Obesity, Substance Misuse, Mental Health, Cancer",https://www.atlantichealth.org/content/dam/atlantichealth-v2/community-health/ahs-hmc-chna-20212023.pdf,https://www.atlantichealth.org/content/dam/atlantichealth-v2/community-health/ahs-hmc-chna-20212023.pdf,N/A
6220295,Hunterdon Healthcare,2100 Wescott Drive,Flemington,08822-4604,NJ,Hunterdon Health,Non-Profit,2022,Combination of counties and places,Hunterdon,N/A,"Flemington, Clinton, Whitehouse Station, Raritan, Bridgewater, Pennington, Lambertville, Milford, Hampton, Washington, Califon, Long Valley, Hillsborough","mental health (stress and anxiety); substance misuse (drugs and alcohol); obesity and heart disease; elder care; access to healthcare (including cost, language barriers and transportation)","mental health (stress and anxiety); substance misuse (drugs and alcohol); obesity and heart disease; elder care; access to healthcare (including cost, language barriers and transportation)",https://www.hunterdonhealth.org/sites/default/files/2022-11/2023-2025%20CHNA%20Report%20%281%29.pdf,https://www.hunterdonhealth.org/sites/default/files/2022-11/2023-2025%20CHNA%20Report%20%281%29.pdf,n/a
6220031,Specialty Hospital of Central Jersey,"600 River Avenue, 4 and 5 West",Lakewood,08701-5237,NJ,,,N/A unable to find,,,,,,,,,
6221235,Valley Hospital,223 North Van Dien Avenue,Ridgewood,07450-2726,NJ,Valley Health System,Non-Profit,2022,List of Counties,Bergen ,n/a,n/a,"Access to Health Care Services, Chronic and Complex Conditions, Mental Health and Substance Use, Health Education, Prevention and Wellness, Social Determinants of Health","Mental Health; Substance Use; Nutrition, Physical Activity & Weight; Diabetes; Respiratory Disease (including COVID-19); Heart Disease & Stroke; Potentially Disabling Conditions; Tobacco Use; Cancer; Access to Health Care Services; Injury & Violence",https://www.valleyhealth.com/sites/default/files/Services/Community%20Health/2022%20PRC%20CHNA%20Report%20-%20The%20Valley%20Hospital.pdf,https://www.valleyhealth.com/sites/default/files/Services/Community%20Health/2022%20PRC%20CHNA%20Report%20-%20The%20Valley%20Hospital.pdf,n/a
6220217,Cape Regional Health System,Two Stone Harbor Boulevard,Cape May Court House,08210-9990,NJ,,Non-Profit,2022,Combination of counties and places,Cape May ,N/A,"Upper Township, Woodbine, Ocean City, Dennis Township, Sea Isle City, Middle Township, Avalon, Stone Harbor, West Wildwood, Lower Township, North Wildwood, West Cape May, Wildwood, Wildwood Crest, Cape May Point, Cape May","Cancer, Cardiovascular Disease, Diabetes/Obesity, Mental Health/Substance Use Disorder, Adverse Childhood Experiences","Cancer, Cardiovascular Disease, Diabetes/Obesity, Mental Health/Substance Use Disorder, Adverse Childhood Experiences",https://res.cloudinary.com/dpmykpsih/image/upload/cape-regional-2021-site-393/media/3431aa3a4f5944d58094f5cb41e49ce8/cr_chna-report_2020-2022_final_final_web.pdf ,N/A,tpiratzky@caperegional.com
