ID,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6850800,Acoma-Canoncito-Laguna Hospital,80B Veterans Boulevard,Acoma,87034,NM,U. S. Indian Health Service,Unable to Find,N/A unable to find,,,,,,,,,
6850023,Advanced Care Hospital of Southern New Mexico,4451 East Lohman Avenue,Las Cruces,88011-8267,NM,"Ernest Health, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6850290,Alta Vista Regional Hospital,104 Legion Drive,Las Vegas,87701-4804,NM,Quorum Health,For-Profit,N/A unable to find,,,,,,,,,
6850021,AMG Specialty Hospital-Albuquerque,235 Elm Street NE,Albuquerque,87102-3672,NM,AMG Integrated Healthcare Management,For-Profit,N/A unable to find,,,,,,,,,
6850090,Artesia General Hospital,702 North 13th Street,Artesia,88210-1199,NM,,Non-Profit,2022,List of Counties,Eddy ,N/A,N/A,"Health and aging, Healthy eating/active living, Access to care (including affordability), Access to mental health services, Substance misuse treatment and prevention","Access to mental health services, Healthy eating/active living",https://artesiageneral.com/wp-content/uploads/Artesia-General-Hospital_CHNA-Eddy-County-NM-Presentation-2022FINAL.pdf,https://artesiageneral.com/wp-content/uploads/CHNA_Eddy-County-_Artesia-General-Hospital_Community-Health-Improvement-Plan_2022-2025-.pdf,N/A 
6850115,Carlsbad Medical Center,2430 West Pierce Street,Carlsbad,88220-3597,NM,"Community Health Systems, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6850390,CHRISTUS St. Vincent Regional Medical Center,455 Saint Michaels Drive,Santa Fe,87505-7601,NM,CHRISTUS Health,Non-Profit,2022,Combination of counties and places,"San Felipe, Santo Domingo, Santa Clara, Ohkay Owingee, Taos Pueblo ",N/A,"Tesuque Pueblo, Nambe Pueblo, Pojoaque Pueblo, San Ildefonso Pueblo","Maternal & Early Childhood; Health, School-age Children & Adolescent Health; Adult Behavioral Health; Adult Physical Health; Women's Health; Older Adult Health","Maternal & Early Childhood; Health, School-age Children & Adolescent Health; Adult Behavioral Health; Adult Physical Health; Women's Health; Older Adult Health",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/st-vincent-santa-fe/2023--2025_svhs-community-health-needs-assessment.ashx,N/A,N/A
6850255,Cibola General Hospital,1016 East Roosevelt Avenue,Grants,87020-2118,NM,QHR,Non-Profit,2022,"Combination of counties, zip codes, and places",Cibola,"87005, 87007, 87014, 87020, 87021, 87315","Bluewater, Casa Blanca, Cubero, Grants, Milan, Fence Lake","Behavioral Health, Access to Healthcare Services, Prevention/Chronic Disease Management","Mental Health, Diabetes, Heart Disease, Cancer, Kidney Disease, Obesity, Lung Disease, Liver Disease, Stroke, Women's Health, Alzheimer's, Dementia, Dental ",https://cibolahospital.com/wp-content/uploads/sites/257/2022/05/2022-CHNA-FINAL.pdf,https://cibolahospital.com/wp-content/uploads/sites/257/2022/05/2022-CHNA-FINAL.pdf,Cynthia_Tena@cibolahospital.com
6850480,Dr. Dan C. Trigg Memorial Hospital,301 East Miel De Luna Avenue,Tucumcari,88401-3810,NM,Presbyterian Healthcare Services,Non-Profit,2020,List of Counties,Quay County,N/A,N/A,"helthy eating, mental health and unhealthy substance abuse, sexual assault, child abuse, physical activity, social determinant of health","behavoiral health, social determinants of health, access to care, healthy eating and active living",https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00943993,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00943982,N/A
6850002,Eastern New Mexico Medical Center,405 West Country Club Road,Roswell,88201-5209,NM,"Community Health Systems, Inc.",Non-Profit,N/A unable to find,,,,,,,,,
