ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6210007,Adirondack Health,2233 State Route 86,Saranac Lake,12983-5644,NY,QHR,Unable to Find,List of Counties,2019,List of Counties,"Essex, Franklin",N/A,N/A,"Promote Well-Being and Prevent Mental and Substance Use Disorders,  Promote Healthy Women, Infant and Children, Prevent Chronic Disease","Promote Well-Being and Prevent Mental and Substance Use Disorders,  Promote Healthy Women, Infant and Children, Prevent Chronic Disease",https://global-uploads.webflow.com/5e2ae9f8cd88a7755386f262/5e2ae9f8cd88a73f9986f69d_AH%20CHNA%20CSP%20FINAL%2012.31.19.pdf,N/A,"hbailey@adirondackhealth.org, sgranqui@franklincony.org, jdarney-buehler@co.essex.ny.us"
6210030,Albany Medical Center,43 New Scotland Avenue,Albany,12208-3478,NY,Albany Med Health System,Unable to Find,List of Counties,2019,List of Counties,"Albany, Rensselaer, Schenectady, Saratoga, Columbia, Greene",N/A,N/A,"Obesity/Diabetes, Asthma/Tobacco, Mental Health, Substance Use, Sexually Transmitted Infections, Lyme Disease, Maternal/Infant Health","Prevent Chronic Diseases (Reduce Obesity and Prevent Diabetes, Prevent/Control Asthma, Prevent Tobacco Use); Promote Well-Being and Prevent Mental and Substance Use Disorders (Prevent Mental Disorders); Reduce Obesity in Children and Adults; Tobacco Prevention; Prevent Substance Use Disorders (including opioids)",https://www.amc.edu/aboutus/loader.cfm?csModule=security/getfile&pageid=1160076&searchID=535367&pageNum=1,https://www.amc.edu/aboutus/loader.cfm?csModule=security/getfile&pageid=1241056&searchID=535367&pageNum=1,"Diane McAlpine, Assistant Vice President, Planning and Strategy mcalpid@amc.edu"
6210050,Albany Memorial Hospital,600 Northern Boulevard,Albany,12204-1083,NY,Trinity Health,Unable to Find,List of Counties,2019,List of Counties,"Albany, Rensselaer, Schenectady, Saratoga, Columbia, Greene",N/A,N/A,"Prevent Chronic Diseases, Promote Well-Being, Prevent Mental and Substance Use Disorders",N/A,N/A,N/A,N/A
6210075,Albany Stratton Veterans Affairs Medical Center,113 Holland Avenue,Albany,12208-3473,NY,Department of Veterans Affairs,Unable to Find,,N/A unable to find,,,,,,,,,
6211215,Arms Acres,75 Seminary Hill Road,Carmel,10512-1921,NY,,Unable to Find,,N/A unable to find,,,,,,,,,
6211510,Arnot Ogden Medical Center,600 Roe Avenue,Elmira,14905-1629,NY,Arnot Health,Non-Profit,Combination of counties and zip codes,2022,Combination,"Chemung, Livingston, Monroe, Ontario, Schuyler, Seneca, Steuben, Wayne, Yates","14441, 14545, 14534, 14839, 13146, 14808, 14836, 14824",N/A,"Prevent Chronic Disease; Promote Mental Health and Prevent Substance Abuse; Promote Healthy Women, Infants, and Children; Promote a Healthy and Safe Environment; Prevent Communicable Diseases;","Prevent Chronic Disease; Promote Mental Health and Prevent Substance Abuse; Promote Healthy Women, Infants, and Children; Promote a Healthy and Safe Environment; Prevent Communicable Diseases;",https://www.arnothealth.org/uploads/resources/2022-cha-chip-documents/chemung-cha_chip-2022-final.pdf,https://www.arnothealth.org/uploads/resources/2022-cha-chip-documents/chemung-cha_chip-2022-final.pdf,N/A
6210180,Auburn Community Hospital,17 Lansing Street,Auburn,13021-1943,NY,,Non-Profit,List of Counties,2022,List of Counties,"Cayuga, Onondaga, Oswego, Seneca, Tompkins, Wayne",N/A,N/A,"Promote a healthy and safe environment; Prevent chronic diseases (tobacco prevention & cessation and chronic disease prevention care and management); Promoting healthy women, infants, and children; Promote well-being and prevent mental and substance use disorders","Promote a healthy and safe environment; Prevent chronic diseases (tobacco prevention & cessation and chronic disease prevention care and management); Promoting healthy women, infants, and children; Promote well-being and prevent mental and substance use disorders",https://www.cayugacounty.us/DocumentCenter/View/21487/Cayuga-County-CHA-CSP-Final-Report-pdf,https://www.cayugacounty.us/DocumentCenter/View/21487/Cayuga-County-CHA-CSP-Final-Report-pdf,N/A
6213830,Aurelia Osborn Fox Memorial Hospital,1 Norton Avenue,Oneonta,13820-2629,NY,Bassett Healthcare Network,Non-Profit,"Combination of counties, zip codes, and places",2019,Combination,"Otsego, Delaware, Schoharie, Herkimer","13750, 13751, 13757, 13775, 13315, 13320, 13326, 13333, 13337, 13342, 13348, 12116, 13807, 13439, 13450, 13457, 134468, 13482, 13488, 12036, 13786, 13777, 13739, 13806, 13842, 12167, 13846, 13796, 13820, 13825, 13824, 12155","Davenport, Davenport Center, East Merideth, Franklin,  Bloomville, Hobart, Harpersfield, Stamford, Meridale, South Kortright, East Worcester, Treaswell, Laurens, Maryland, Morris, Oneonta, Otego, Portlandville, Schenevus, Wells Bridge, West Oneonta , Westford, Worcester, Charlottesville, Jefferson","Prevent Mental and Substance Use Disorders, Tobacco Prevention, Promote Well Being and Healthy Eating, Food Security, Preventive Care and Management","Prevent Mental and Substance Use Disorders, Prevent opioid and other substance misuse and deaths , Reduce Suicides, Tobacco Prevention ",https://cms2files.revize.com/otsegocountyny/OCDOH/2019%20CHNA-CSP-CHIP%20AOF-BMC-Otsego%20Co%20FINAL.pdf,https://cms2files.revize.com/otsegocountyny/OCDOH/2019%20CHNA-CSP-CHIP%20AOF-BMC-Otsego%20Co%20FINAL.pdf,Sarah Buttice 607-431-5180 www.bassett.org
6210001,Bassett Medical Center,One Atwell Road,Cooperstown,13326-1394,NY,Bassett Healthcare Network,Non-Profit,"Combination of counties, zip codes, and places",2022,Combination," Delaware, Otsego ,Schoharie, Mohawk","13750, 13751, 13757, 13775, 13315, 13320, 13326, 13333, 13337, 13342, 13348, 12116, 13807, 13439, 13450, 13457, 13468, 13482, 13488, 12036","Milford, Fly Creek, Franklin, Davenport, Davenport Center, East Meredith, Burlington Flats, Cherry Valley, Cooperstown, East Springfield, Garrattsville, Hartwick, Maryland, Milford, Richfield Springs, Roseboom, Schuyler Lake, Springfield Center, West Burlington, Westford, Charlottesville","Promote a Healthy and Safe Environment; Prevent Chronic Disease; Promote Well-Being and Prevent Mental and Substance Use Disorders; Prevent Communicable Diseases; Promote Health for Women, Infants, and Children","Promote a Healthy and Safe Environment; Prevent Chronic Disease; Promote Well-Being and Prevent Mental and Substance Use Disorders; Prevent Communicable Diseases; Promote Health for Women, Infants, and Children",https://www.bassett.org/sites/default/files/2023-03/Otsego_County_Community_Health_Needs_Assessment_and_Community_Service_Plan_2022-2024.pdf,https://www.bassett.org/sites/default/files/2023-03/Otsego_County_Community_Health_Needs_Assessment_and_Community_Service_Plan_2022-2024.pdf,N/A
6210260,Bath Veterans Affairs Medical Center,76 Veterans Avenue,Bath,14810-0842,NY,Department of Veterans Affairs,Public,,N/A unable to find,,,,,,,,,
6214650,Bertrand Chaffee Hospital,224 East Main Street,Springville,14141-1497,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6215140,Blythedale Children's Hospital,95 Bradhurst Avenue,Valhalla,10595-1697,NY,,Non-Profit,Combination of counties and places,2022,Combination,Westchester,N/A,"New York City, Hudson Valley, Long Island","Prevent Communicable Diseases; Prevent Chronic Diseases; Promote a Healthy and Safe Environment; Promote Healthy Women, Infants, and Children; Promote Well-Being and Prevent Mental and Substance Abuse Disorders","Increase Food Security, Increase Supports for Children and Youth with Special Healthcare Needs, Reduce Dental Carries Among Children, Child and Adolescent Health, Healthy Eating and Food Security",https://www.blythedale.org/sites/default/files/content/inline/2022_to_2024_community_service_plan.pdf,N/A,smurray@blythedale.org 
6214053,Bon Secours Community Hospital,160 East Main Street,Port Jervis,12771-2245,NY,WMCHealth,Non-Profit,Combination of counties and zip codes,2022,Combination," Orange, Rockland, Sullivan","10901, 10916, 10917, 10918, 10920, 10921, 10923, 10924, 10925, 10926, 10927, 10928, 10930, 10931, 10940, 10941, 10950, 10952, 10954, 10956, 10960, 10965, 10969, 10970, 10973, 10974, 10975, 10977, 10980, 10984, 10987, 10989, 10990, 10993, 10998, 12719, 12729, 12737, 12746, 12771, 12780",N/A,"Prevent Chronic Diseases; Promote a Healthy and Safe Environment; Promote Healthy Women, Infants, and Children; Promote Well-Being and Prevent Mental and Substance Use Disorders; Prevent Communicable Diseases","Prevent Chronic Diseases, Promote Well-Being, Prevent Mental and Substance Use Disorders",https://www.bonsecourscommunityhosp.org/Uploads/Public/Documents/Good%20Samaritan/Healthy%20Communities%20ACO/2022-2024%20BSCH%20CHNA%20Final%2012.29.22.pdf,https://www.bonsecourscommunityhosp.org/Uploads/Public/Documents/Good%20Samaritan/Healthy%20Communities%20ACO/2022-2024%20BSCH%20CHNA%20Final%2012.29.22.pdf,N/A
6212692,Bronx Psychiatric Center,1500 Waters Place,Bronx,10461-2796,NY,New York State Office of Mental Health,Public,,N/A unable to find,,,,,,,,,
6212675,BronxCare Health System,1276 Fulton Avenue,Bronx,10456-3499,NY,,Non-Profit,Combination of zip codes and places,2022,Combination,N/A,"10451, 10452, 10456, 10454, 10455, 10459, 10474, 10453, 10457, 10460, 10458, 10468","Highbridge-Morrisania, Hunts Point-Mott Haven, Crotona-Tremont, Fordham-Bronx Park","smoking, high blood pressure/hypertension, postponed needed health care, Obesity and Access to Healthy Nutritious Foods, Asthma, Diabetes, Substance Abuse Disorders, Mental/Behavioral Disorders ","Prevent Chronic Diseases, Promote Well-Being, Prevent Mental and Substance Use Disorders",https://www.bronxcare.org/fileadmin/SiteFiles/Images/1-About_Us/d-Community_Service_Plan/CSP_2022_12.15.22_FINAL.pdf,https://www.bronxcare.org/fileadmin/SiteFiles/Images/1-About_Us/d-Community_Service_Plan/CSP_2022_12.15.22_FINAL.pdf,N/A
6210440,Brookdale Hospital Medical Center,"125 Worth Street, 4th Fl Ste 418",New York,10013,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6210545,Brooklyn Hospital Center,121 DeKalb Avenue,Brooklyn,11201-5425,NY,,Non-Profit,List of Places,2022,List of Places,N/A,N/A,Brooklyn,"Access to healthcare, Health risk factors and chronic diseases, Aging population, Behavioural Health and substance use disorder, Youth health, STIs, Maternal and infant health","Prevent Chronic Diseases; Promote Healthy Women, Infants, and Children; Promote Mental Health and Prevent Substance Abuse",https://www.tbh.org/sites/default/files/public_pdfs/TBHC-2022-health-needs-assessment.pdf,N/A,"smaulana@health.nyc.gov, lsingletary@tbh.org"
6211470,Brooks Memorial Hospital,529 Central Avenue,Dunkirk,14048-2599,NY,,Non-Profit,Combination of counties and places,2022,Combination,Chautauqua ,N/A,"Dunkirk, Jamestown","Medical health (heart disease, high blood pressure, stroke, heart attack, diabetes, obesity, cancer, asthma, chronic lung disease, chronic pain management); mental health (stress, anxiety, depression, suicide); environmental safety (food/water, neighborhood, roadway, safe and clean housing); drug/alcohol use disorders","Prevent Chronic Diseases; Promote a Healthy and Safe Environment; Promote Healthy Women, Infants, and Children; Promote Well-being and Prevent Mental and Substance Use Disorders; Prevent Communicable Diseases ",https://brookshospital.org/wp-content/uploads/2023/06/Community-Health-Assessment-CHQ.CHA_.2022.Final_.pdf,https://brookshospital.org/wp-content/uploads/2023/06/Community-Health-Assessment-CHQ.CHA_.2022.Final_.pdf,swalier@brookshospital.org
6210145,Brunswick Psych Center,81 Louden Avenue,Amityville,11701-2736,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6211095,BryLin Hospitals,1263 Delaware Avenue,Buffalo,14209-2402,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6211040,Buffalo Psychiatric Center,400 Forest Avenue,Buffalo,14213-1298,NY,New York State Office of Mental Health,Non-Profit,,N/A unable to find,,,,,,,,,
6215315,Burke Rehabilitation Hospital,785 Mamaroneck Avenue,White Plains,10605-2523,NY,Montefiore Health System,Non-Profit,List of Counties,2022,List of Counties, Westchester,N/A,N/A,"Violence including gun violence, mental health/depression, Stopping falls among the elderly, Dental care, Cancer, Access to healthy/nutritious food, COVID-19, Heart Disease","Falls prevention among seniors, Secondary prevention of heart attacks ",https://www.burke.org/app/files/public/4cab0d4e-f577-46ab-a4c1-dc5677d079e0/2022-2024%20Burke%20Rehabilitation%20Hospital%20CHNA%20and%20CSP.pdf,https://www.burke.org/app/files/public/4cab0d4e-f577-46ab-a4c1-dc5677d079e0/2022-2024%20Burke%20Rehabilitation%20Hospital%20CHNA%20and%20CSP.pdf,N/A
