 ,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Hospital Funding Type,Year of CHNA,Service Area defined as,List of Counties,List of Zip Codes,List of Places,Health Needs of Service Area,Health Priorities,Link to CHNA,Link to Implementation Plan,Contact Listed
6360520,AdventHealth Hendersonville,100 Hospital Drive,Hendersonville,28792-5272,NC,AdventHealth,Non-Profit,2022,"Combination of counties, zip codes, and places","Henderson, Buncombe, Arden, Black Mountain, Fairview, Fletcherm, Skyland, Swannanoa","28704, 28711, 28730, 28732, 28776, 28778, 28742, 28792",Hendersonville,"Access to care, behavioral health, chronic disease management, healthy lifestyles, social determinants of health","Mental Health, Substance Abuse, Physical Activity and Nutrition, Safe and Affordable Housing",https://www.adventhealth.com/sites/default/files/assets/2019_CHNA_AdventHealth_Hendersonville.pdf    https://www.adventhealth.com/hospital/adventhealth-hendersonville/about-us/community-needs-assessment,https://www.adventhealth.com/sites/default/files/assets/2020-2022-Community-Health-Plan-Hendersonville-FINAL.pdf,Graham.Fields@AdventHealth.com
6360006,Alamance Regional Medical Center,1240 Huffman Mill Road,"Burlington, Burlington",27215-8700,NC,Cone Health,Non-Profit,N/A unable to find,,"Alamance, Guilford, Rockingham, Caswell, Chatham, Davidson, Forsyth, Orange, Randolph",27215,Burlington,"Access to Care, Education, Economic Issues, Maternal and Child Health, Behavioral Health, Healthy Eating and Active Living, Social Determinants of Health, Mental Health/Substance Abuse, Physical Activity and Nutrition","Prevention of Chronic Disease, Prevention of Addiction and Promoting Strong Mental Health, Access to High Quality and Affordable Healthcare, Creating the Living Conditions that Nurture Health, Eliminating Bias and Discrimination in Healthcare",https://www.conehealth.com/app/files/public/d196655d-6bd5-414f-9eb2-aebe92606001/2019-cone-health-chna.pdf,https://www.conehealth.com/news/news-search/2021-news-releases/expansion-coming-to-alamance-regional-medical-center/,N/A
6361403,Alleghany Memorial Hospital,233 Doctors Street,Sparta,28675-9247,NC,,Non-Profit,2017,"Combination of counties, zip codes, and places",Alleghany,28675,Sparta,"Mental Health Screenings, Integrated Behavioral Health, Peer Support Specialist, Mobile Crisis Management, School Based Behavioral Health, Social and Emotional Learning in Schools, Maternal and Child Health, Certified Application Counselor, Expansion of Behavioral Health Services, Community Trainings, Adverse Childhood Experiences, Women, Infant, and Children's Program, Medical Nutrition Therapy, Tobacco Treatment Specialists, Opioid Epidemic Response, Vaping and Lung Injury, Vaccine Preventable Diseases, Pertussis, Measles, Mumps, Sexually Transmitted Infections/Diseases, Hepatitis C, Lyme Disease","Mental & Behavioral Health, Health equity for a vibrant economy, Substance use and misuse prevention",https://www.apphealthcare.com/community-health/#health-reports,https://alleghanyhealth.org/wp-content/uploads/2019/11/Community-Health-Needs-Assessment.Implementation-Plan-2018-2021.pdf ,N/A
6360550,Angel Medical Center,120 Riverview Street,Franklin,28734-2612,NC,HCA Healthcare,Unable to Find,2016,List of Counties,macon county,n/a,n/a,"Chronic Disease, Obesity, Teen pregnancy, substance abuse, intimate partner violence, tobacco, social determinants of health, access to care, mental health, cross-cutting issues","heart disease, domestic violence, economic development",https://missionhealth.org/wp-content/uploads/2018/04/2016-Angel-Medical-Center-Community-Health-Needs-Assessment-CHNA.pdf,https://missionhealth.org/wp-content/uploads/2018/04/2016-Angel-Medical-Center-Community-Health-Needs-Assessment-CHNA.pdf,paula.alter@msj.org
6360820,Ashe Memorial Hospital,200 Hospital Avenue,Jefferson,28640-9244,NC,Novant Health,,2020,List of Counties,Ashe,N/A,N/A,"Mental Health, Alcohol/Substance Misuse, Intimate Partner Violence, Suicide, Cancer, Diabetes, Food/Nutrition Concerns, Community Safety, COVID-19","Mental/Behavioral Health, Substance Use and Misuse Prevention, Physical Activity and Nutrition",https://www.ashememorial.org/docs/Ashe_County_Community_Health_Report_2020_%28Final_Draft%29_%281%29.pdf,https://www.ashememorial.org/docs/Ashe_County_Community_Health_Report_2020_%28Final_Draft%29_%281%29.pdf,N/A
6360025,Asheville Specialty Hospital,"428 Biltmore Avenue, 4th Floor",Asheville,28801-4502,NC,HCA Healthcare,,2016,List of Counties,"Buncombe
Madison",N/A,N/A,"Obesity & Chronic Disease Prevention, Intimate Partner Violence, Substance Abuse Prevention, Infant Mortality, Healthy Weight, Mental Health","Obesity & Chronic Disease Prevention, Substance Abuse Prevention, Healthy Weight, Mental Health",https://missionhealth.org/wp-content/uploads/2018/04/2017-Asheville-Specialty-Hospital-Implementation-Strategy.pdf,https://missionhealth.org/wp-content/uploads/2018/04/2017-Asheville-Specialty-Hospital-Implementation-Strategy.pdf,N/A
6361515,Atrium Health Anson,2301 US Highway 74 W,Wadesboro,28170-7554,NC,Atrium Health,Non-Profit,N/A unable to find,,,,,,,,,
6360360,Atrium Health Cabarrus,920 Church Street North,Concord,28025-2983,NC,Atrium Health,Non-Profit,2020,Combination of counties and places,Cabarrus,n/a,"Concord, Kannapolis, Town Pleasant, Harrisburg, Midland, Locust","Housing , Mental and Behavioral Health, Education-Early Childhood, Equity","Obesity, Infant Mortality, Substance Use, Sexually Transmitted Disease, Mental Health ",https://www.healthycabarrus.org/images/Cabarrus_FINAL_Community_Needs_Assessment_2020.pdf,https://www.healthycabarrus.org/images/Cabarrus_CHNA_2020_Appendices_FINAL.pdf,marcella.beam@cabarrushealth.org
6361370,Atrium Health Cleveland,201 East Grover Street,Shelby,28150-3917,NC,Atrium Health,Non-Profit,N/A unable to find,,,,,,,,,
6360825,Atrium Health Kings Mountain,706 West King Street,Kings Mountain,28086-2708,NC,Atrium Health,Non-Profit,N/A unable to find,,,,,,,,,
