ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6640001,Altru Health System,1200 South Columbia Road,Grand Forks,58201-4036,ND,Grand Forks Public Health,Non-Profit,2022,Combination of counties and places,Grand Forks,N/A,Grand Forks ,"Substance use, mental health, obestiy, transportation, cost of living, workforce, access to care, equity and inclusion, oral health access, language services, childcare","mental health, workforce, access to care, substance use, childcare, obesity",https://www.altru.org/documents/2022-CHA-Final-Report.pdf,N/A,N/A
6640005,Ashley Medical Center,612 North Center Avenue,Ashley,58413-7013,ND,Ashley Medical Center and McIntosch District Health ,Non-Profit,2022,Combination of counties and places,Macintosh,N/A,Ashley,"The aging population, decreasing population, cost of prescription drugs, home health services, housing needs, limited jobs, lower wages, bullying, availability of fresh fruit and vegetables, high grocery prices, lack of medical staff, lack of workers, price of healthcare and meds, lack of volunteers or community members getting involved, transportation for the elderly, day care availability, cost of long-term care, quality of care for the elderly, smoking/tobacco use in youth, lack of assisted living facilities","Community/environmental health, Availability/delivery of health services, Youth population, Adult population, Senior population, Violence",https://storage.googleapis.com/wzukusers/user-34779015/documents/703e0683397047b9815b17b037be153d/CHNA-ashley-2022final.pdf,https://docs.google.com/spreadsheets/d/1hKRxXrn1l01IaDZEBe9jh41Z4geZnf4m3T3RMEi99MI/edit?usp=sharing,"Kylie Nissen, BBA  Shawn Larson, BA Sr. Project Coordinator Project Coordinator kylie.nissen@UND.edu shawn.p.larson@UND.edu"
6640310,Cavalier County Memorial Hospital and Clinics,909 Second Street,Langdon,58249-2407,ND,the Center for Rural Health (CRH),Non-Profit,2019,List of Counties,Cavalier,N/A,N/A,"Cost of long term care, Ability to recruit and maintain primary care providers, Youth alcohol use/abuse, Adequate childcare services, Cancer, Adult alcohol use/abuse, Adult depression/anxiety, Youth drug use/abuse, Availability of resources to help the elderly stay in their homes","cost of long term care, ability to recruit and maintain primary care providers, Youth alcohol use and abuse, adequate childcare services, cancer",https://ruralhealth.und.edu/assets/3042-13826/2019-chna-snapshot-langdon.pdf,N/A,"Shawn Larson, BA, Project Coordinator shawn.p.larson@UND.edu"
6640380,CHI Oakes Hospital,1200 North Seventh Street,Oakes,58474-2502,ND,CommonSpirit Health,Non-Profit,2022,List of Counties,Dickey,N/A,N/A,"Depression and anxiety for all ages, Availability of mental health services, Availability of vision care, Alcohol use and abuse ","Availability of mental health services, Stress, Depression/anxiety, Availability of vision care",https://oakeshospital.com/wp-content/uploads/2022/07/CHNA-oakes-2022-final.pdf,https://oakeshospital.com/wp-content/uploads/2022/11/CHNA-Implementation-Strategy-2022-final.pdf,N/A
6640315,CHI Lisbon Health,905 Main Street,Lisbon,58054-4334,ND,CommonSpirit Health,Non-Profit,2022,List of Counties,"Ransom, Sargent",N/A,N/A,"Alcohol use and abuse – Youth and Adult, Attracting and retaining young families, Availability of mental health services, Availability of resources to help the elderly stay in their homes, Cost of long-term/nursing home care, Depression/anxiety – Youth and Adult, Drug use and abuse – Youth and Adult, Having enough child daycare services, Not enough affordable housing","Availability of mental health services, Depression/anxiety – all ages, Having enough child daycare services, Availability of substance use disorder treatment services",https://lisbonhospital.com/wp-content/uploads/2022/11/CHI-Lisbon-Health-2022-CHNA.pdf,https://lisbonhospital.com/wp-content/uploads/2022/11/CHI-Lisbon-Health-Community-Health-Implementation-Strategy-2022.pdf,N/A
6640440,CHI Mercy Health,570 Chautauqua Boulevard,Valley City,58072-3199,ND,CommonSpirit Health,Non-Profit,2019,List of Counties,Barnes,N/A,N/A,"availability of substance abuse/treatment services, drug use and abuse, attracting and retaining young families, depression/anxiety (adult and youth population), physical violence, domestic violence, sexual abuse, not enough jobs with livable wages, alcohol use and abuse (adult & youth population) , extra hours for appointments (evenings & weekends), ability to retain primary care providers (MD, DO, NP, PA nurses in the community), not having affordable housing ","Substance Use & Abuse, Attracting retaining young families, availability of substance abuse/treatment services, depression and anxiety",https://www.mercyhospitalvalleycity.org/wp-content/uploads/2019/04/CHNA-VC-2019.pdf,https://www.mercyhospitalvalleycity.org/wp-content/uploads/2019/11/CHIMercyHealth_Valley-City-ND_ImplStrategy2019_for-board-adoption.pdf,N/A
6640060,CHI St Alexius Health Carrington Medical Center,800 North Fourth Street,Carrington,58421-1217,ND,CommonSpirit Health,Non-Profit,2022,List of Counties,"Eddy, Foster",N/A,N/A,"Alcohol use and abuse – Youth and Adult, Attracting and retaining young families, Availability of resources to help the elderly stay in their homes, Having enough child daycare services, Cost of long-term/nursing home care, Depression/anxiety – Youth and Adult, Drug use and abuse – Youth and Adult, Suicide - Youth, Recycling, Not enough jobs with livable wages","Mental health (includes depression/anxiety/suicide/stress (all ages), Ability to retain primary care providers & nurses, Enough child daycare services, Alcohol use and abuse (all ages)",https://www.chistalexiushealth.org/sites/default/files/assets/Carrington/Community/CHNA-carrington-2022.pdf,https://www.chistalexiushealth.org/sites/default/files/assets/Carrington/Community/Car-2022-Community-Health-Implementation-Strategy-Final.pdf,N/A
6640100,CHI St. Alexius Health - Dickinson Medical Center,2500 Fairway Street,Dickinson,58601-4399,ND,CommonSpirit Health,Non-Profit,2022,List of Counties,Stark,N/A,N/A,"Availability of mental health services, Alcohol use and abuse – Adult, Availability of specialists, Availability of resources to help the elderly stay in their homes, Drug use and abuse - Youth, Cost of long-term/nursing home care, Depression/anxiety – Youth and Adult, Having enough child daycare services, Not enough affordable housing, Bullying/cyberbullying","Alcohol use and abuse for all ages, Availability of mental health services, Depression/anxiety, Not enough affordable housing",https://www.chistalexiushealth.org/sites/default/files/assets/Dickinson/FINAL%20with%20Board%20Approval%20date_dickinson%20CHNA%202021%20(1).pdf,https://www.chistalexiushealth.org/sites/default/files/assets/Dickinson/CHI_ImplStrategy2022_Dickinson%20.pdf,N/A
6640040,CHI St. Alexius Health,900 East Broadway,Bismarck,58501-4586,ND,CommonSpirit Health,Non-Profit,2022,"Combination of counties, zip codes, and places","Burleigh, Morton","58477, 58494, 58501, 58502, 58503, 58504, 58505, 58506, 58507, 58521, 58532, 58558, 58560, 58572, 58520, 58535, 58554, 58563, 58566, 58631, 58638","Bismarck, Mandan ","Mental Health, Healthy Living (Chronic Health Issues/Access to Healthy Food), Access to Affordable Health Care, Affordable Housing, Access to Health Care Providers, Public Transportation, Long-term Care","Access to Affordable, Health Care, Access to Health Care Providers,Healthy Living, Mental Health",https://www.chistalexiushealth.org/sites/default/files/assets/Bismarck/Community/CHNA%20Bismarck%202022.pdf,https://www.chistalexiushealth.org/sites/default/files/assets/Bismarck/Community/2022_Implementation_Strategy_Bismarck_Final.pdf,N/A
6640090,CHI St. Alexius Health Devils Lake Hospital,1031 Seventh Street NE,Devils Lake,58301-2798,ND,CommonSpirit Health,Non-Profit,2022,Combination of counties and zip codes,"Ramsey, Benson, Eddy, Pierce","58301, 58321, 58325, 58327, 58330, 58338, 58345, 58362, 58377, 58382",N/A,"Having enough child daycare services, Ability to retain primary care providers & nurses, Availability of mental health and substance use disorder treatment services, Suicide, Drug use and abuse (including prescription drugs), Smoking/tobacco use/vaping/second-hand smoke","Having enough child daycare services, Suicide, Availability of mental health and substance use disorder treatment services, Drug use and abuse (including prescription drugs) ",https://www.chistalexiushealth.org/sites/default/files/assets/Devils%20Lake/CHNA/CHNA-DL-2022.pdf,https://www.chistalexiushealth.org/sites/default/files/assets/Devils%20Lake/CHNA/Devils-Lake-Implementation-Strategy-2022-Final-mb.pdf,N/A
