ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6410521,Access Hospital Dayton,2611 Wayne Avenue,Dayton,45420-1833,OH,,Unable to find,N/A unable to find,,,,,,,,,,
6410068,Acuity Specialty Hospitals Ohio Valley,"380 Summit Avenue, 3rd Floor",Steubenville,43952-2667,OH,"AcuityHealthcare, LP",Unable to find,N/A unable to find,,,,,,,,,,
6412315,Adams County Regional Medical Center,230 Medical Center Drive,Seaman,45679-8002,OH,,Non-Profit,2021,List of Counties,"Adams, Brown",N/A,N/A,"Cardiovascular Conditions (Hypertension), Mental Health (Depression and Anxiety), Arthritis, Lung/Respiratory Health, Dental, Maternal health concerns,  Prevention- related health needs, Diabetes, Allergies, Vision","Cardiovascular Conditions (Hypertension), Mental Health (Depression and Anxiety), Arthritis, Lung/Respiratory Health, Dental, Maternal health concerns, and Prevention- related health needs",https://acrmc.com/wp-content/uploads/2022/03/CHNA-Final-full-12-14-21.pdf,https://acrmc.com/wp-content/uploads/2022/09/ACRMC-CHNA-Actions-110822.pdf,info@acrmc.com,
6411385,Adena Greenfield Medical Center,550 Mirabeau Street,Greenfield,45123-1617,OH,Adena Health System,Non-Profit,2022,List of Counties,Highland ,N/A,N/A,"Mental health (adults and youth), more physicians, more economic opportunities; health education and awareness","Illegal Substance Abuse,  Mental Health, Obesity, Physical Activity, and Nutrition, Chronic Disease, Child Fatality, Tobacco Use",https://www.adena.org/docs/default-source/aotm/4887_highland-county-chna_2022.pdf?sfvrsn=85ee443a_3,https://www.adena.org/docs/default-source/community-health/pdf-highland-final-implementation-plan---2022.pdf?sfvrsn=4c8b15b8_3 ,  ,
6410340,Adena Medical Center,272 Hospital Road,Chillicothe,45601-9031,OH,Adena Health System,Non-Profit,2022,List of Counties,Ross ,N/A,N/A,"Addiction, Obesity and Diabetes,Depression & Anxiety, Respiratory Issues, Infant Mortality","Substance Use Disorder, Mental Health, Obesity & Diabetes, Lung & Respiratory, Child Safety & Infant Mortality",https://www.adena.org/docs/default-source/community-health/4886_chna-ross-county_2022.pdf?sfvrsn=11bbcaaf_3 ,https://www.adena.org/docs/default-source/community-health/pdf-ross-final-implementation-plan---2022-(1).pdf?sfvrsn=36a71547_3 ,  ,
6412313,Adena Pike Medical Center,100 Dawn Lane,Waverly,45690-9138,OH,Adena Health System,Non-Profit,2022,List of Counties,Pike ,N/A,N/A,"Drug Abuse, Cancer, Obesity, Mental health, Stress","Substance Abuse, Nutrition & Fitness Improvement, Tobacco & Vaping Prevention, Mental Health' Social Factors of Health,  Child Safety, Teen Pregnancy",https://www.adena.org/docs/default-source/community-health/4888_pike-county-chna_2022.pdf?sfvrsn=7c9a61c2_3 ,https://www.adena.org/docs/default-source/community-health/pdf-pike-final-implementation-plan---2022.pdf?sfvrsn=51cedb71_3 ,  ,
6410208,Advanced Specialty Hospital of Toledo,1015 Garden Lake Parkway,Toledo,43614-2779,OH,,Unable to find,N/A unable to find,,,,,,,,,,
6410055,Akron Children's Hospital,One Perkins Square,Akron,44308-1063,OH,,Non-Profit,2022,List of Counties,"Portage, Tuscarawas, Stark, Summit, Medina, Wayne, Ashland, Richland, Lorain, Mahoning, Trumbull, Columbiana",N/A,N/A,"Community-Based Health and Wellness, Mental and Behavioral Health, Adolescent Health, Asthma, Communicable Disease, Family Stability and Community Conditions, Healthy Lifestyle, Infant and Maternal Health and Social Determinants of Health","Community-Based Health and Wellness, Mental and Behavioral Health",https://www.akronchildrens.org/files/1354930/file/2022-community-health-needs-assessment-akron.pdf,https://www.akronchildrens.org/files/1451682/file/akron-chna-implementation-strategy-2023-2025.pdf,ltrohman@akronchildrens.org,
6410080,Alliance Community Hospital,200 East State Street,Alliance,44601-4936,OH,Aultman Health Foundation,Non-Profit,2019,"Combination of counties, zip codes, and places",Stark,"44449, 44601, 44609, 44619, 44625, 44634, 44640, 44650, 44657, 44665, 44669, 44670, 44672, 44201, 44272, 44401, 44408, 44411, 44423, 44427, 44429, 44431, 44432, 44460, 44607, 44615, 44620, 44460, 44632, 44641, 44644, 44651, 44632","Alliance, Beach City, Brewster, Canal Fulton, East Sparta, Greentown, Hartville, Limaville, Louisville, Magnolia, Massillon, Maximo, Middlebranch, Minerva, Navarre, North Lawrence, Paris, Robertsville, Uniontown, Waynesburg, Wilmot, Canton, North Canton, East Canton","Access to Health Care, Mental Health Services, Access, Suicide, Heroin/Opioid Use, Infant Mortality, Obesity and Healthy Lifestyles","Need for Mental Health Services, Access to Health Care, Obesity and Healthy Lifestyle Choices, Heroin/Opiate Use ",https://aultmanalliance.org/assets/PostReportFiles/c9d36f7266/Aultman-Hospital-2019-CHNA-Impact-Report.pdf,https://aultmanalliance.org/assets/PostReportFiles/a55da9b2f5/2017-2019_CHNA_Implementation_Plan.pdf,Liz.Edmunds@Aultman.com,
6410021,Appalachian Behavioral Healthcare,100 Hospital Drive,Athens,45701-2301,OH,Ohio Department of Mental Health,Unable to find,N/A unable to find,,,,,,,,,,
6410001,Arrowhead Behavioral Health Hospital,1725 Timber Line Road,Maumee,43537-4015,OH,"Universal Health Services, Inc.",For-Profit,2022,Combination of counties and places,Lucas ,N/A,Northwest Ohio and Southeast Michigan,"Substance Abuse, Mental Health","Substance Abuse, Mental Health",https://arrowheadbehavioral.com/wp-content/uploads/2023/03/ProMedica-Toledo-Flower-WIldwood-Bay-Park-and-Arrowhead-Hospitals-2022-CHNA-Implementation-Plan.pdf ,https://arrowheadbehavioral.com/wp-content/uploads/2023/03/ProMedica-Toledo-Flower-WIldwood-Bay-Park-and-Arrowhead-Hospitals-2022-CHNA-Implementation-Plan.pdf ,N/A,
6411710,Atrium Medical Center,One Medical Center Drive,Middletown,45005-1066,OH,Premier Health,Non-Profit,N/A unable to find,,,,,,,,,,
6410280,Aultman Hospital,2600 Sixth Street SW,Canton,44710-1702,OH,Aultman Health Foundation,Non-Profit,2022,"Combination of counties, zip codes, and places",Stark,"44601, 44608, 44613, 44614, 44626, 44630, 44632, 44640, 44641, 44643, 44646, 44647, 44648, 44650, 44652, 44657, 44662, 44666, 44669, 44670, 44685, 44688, 44689, 44701, 44702, 44703, 44704, 44705, 44706, 44707, 44708, 44709, 44710, 44711, 44714, 44718, 44721, 44735, 44750, 44767, 44799, 44720, 44730","Alliance, Beach City, Brewster, Canal Fulton, East Sparta, Greentown, Hartville, Limaville, Louisville, Magnolia, Massillon, Maximo, Middlebranch, Minerva, Navarre, North Lawrence, Paris, Robertsville, Uniontown, Waynesburg, Wilmot, Canton, North Canton, East Canton","Mental Health Services, access to services, addiction, suicide, Access to Healthcare (primary care)","Mental Health Services, access to services, addiction, suicide, Access to Healthcare (primary care)",https://aultman.org/home/about/aultman-hospital/community-health-needs-assessment/#/,https://aultman.org/home/about/aultman-hospital/community-health-needs-assessment/#/,finance@Aultman.com,
6411855,Aultman Orrville Hospital,832 South Main Street,Orrville,44667-2208,OH,Aultman Health Foundation,Non-Profit,2022,"Combination of counties, zip codes, and places","Wayne, Tuscarawas, Carroll","44214, 44217, 44230, 44270, 44276, 44287, 44606, 44618, 44627, 44636, 44645, 44659, 44667, 44676, 44677, 44691, 43804, 43832, 43837, 43840, 44612, 44621, 44624, 44629, 44653, 44656, 44663, 44671, 44678, 44679, 44680, 44681, 44682, 44683, 44607, 44615, 44620, 44639, 44644, 44651, 44675 ","Burbank, Creston, Doylestown, Rittman, Sterling, West Salem, Apple Creek, Dalton, Fredericksburg, Kidron, Marshallville, Mount Eaton, Orrville, Shreve, Smithville, Wooster, Baltic, Newcomerstown, Port Washington, Stone Creek,, Bolivar, Dennison, Dundee, Gnadenhutten, Midvale, Mineral City, New Phuladelphia, Sandyville, Somersdale, Stillwater, Strasburg, Sugarcreek, Tuscarawas, Uhirchville, Zoar, Augusta, Carrollton, Dellroy, Leesville, Malvern, Mechanicstown, Sherrodsville","Mental health, Substance abuse, Healthy behaviors (including obesity/overweight)","Mental health, Substance abuse, Healthy behaviors (including obesity/overweight)",http://aultmanorrville.org/docs/default-source/pdfs/aultman-orrville-hospital-2022-chna-report.pdf?Status=Temp&sfvrsn=2,http://aultmanorrville.org/docs/default-source/pdfs/aultman-orrville-hospital-2022-chna-report.pdf?Status=Temp&sfvrsn=2,pete.kandis@aultman.com,
6410048,Aultman Specialty Hospital,"2600 Sixth Street, SW",Canton,44710-1702,OH,Aultman Health Foundation,Non-Profit,2022,"Combination of counties, zip codes, and places",Stark,"44601, 44608, 44613, 44614, 44626, 44630, 44632, 44640, 44641, 44643, 44646, 44647, 44648, 44650, 44652, 44657, 44662, 44666, 44669, 44670, 44685, 44688, 44689, 44701, 44702, 44703, 44704, 44705, 44706, 44707, 44708, 44709, 44710, 44711, 44714, 44718, 44721, 44735, 44750, 44767, 44799, 44720, 44730","Alliance, Beach City, Brewster, Canal Fulton, East Sparta, Greentown, Hartville, Limaville, Louisville, Magnolia, Massillon, Maximo, Middlebranch, Minerva, Navarre, North Lawrence, Paris, Robertsville, Uniontown, Waynesburg, Wilmot, Canton, North Canton, East Canton","Mental Health Services, access to services, addiction","Mental Health Services, access to services, addiction",https://aultman.org/home/about/aultman-hospital/community-health-needs-assessment/#/,https://aultman.org/home/about/aultman-hospital/community-health-needs-assessment/#/,finance@Aultman.com,
6410120,Ashtabula County Medical Center,2420 Lake Avenue,Ashtabula,44004-4954,OH,"Ashtabula County Health Department, the Ashtabula City Health Department, the Conneaut City Health Department, University Hospitals Conneaut Medical Center, University Hospitals Geneva Medical Center, Ashtabula County Medical Center,",Non-Profit,2022,"Combination of counties, zip codes, and places",Ashtabula ," 44004,44030,44047 ,44041,44048,44003,44084,44032 ,44082,44010,44068 ,44005,44076,44093,44085,44088,44099 ","Ashtabula,Conneaut,Jefferson, Geneva,Kingsville,Andover,Rock Creek, Dorset,Pierpoint, Austinburg,North Kingsville, Ashtabula, Orwell, Williamsfield, Rome, Unionville, Windsor,Others","Mental Health & Addiction, Access to Care, Health Behaviors (including nutrition and physical activity), health outcome of Chronic Disease, Social Determinants of Health","Access to Affordable Healthcare,Chronic Diseases and Other Health Conditions, Economic, Development and Community Conditions, Health Professions Recruitment, Healthcare for the Elderly,Wellness",https://res.cloudinary.com/dpmykpsih/image/upload/acmc-site-340/media/904d8c523cb54eb29f78ba491d1debf4/acmc-combined-chna-files.pdf,https://res.cloudinary.com/dpmykpsih/image/upload/acmc-site-340/media/1766/2019-chna-implementation-strategy.pdf,N/A,
