Healthcare Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
AllianceHealth Clinton,100 North 30th Street,Clinton,73601-3117,OK,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
AllianceHealth Durant,1800 University Boulevard,Durant,74701-3006,OK,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
AllianceHealth Madill,901 South Fifth Avenue,Madill,73446-3640,OK,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
AllianceHealth Midwest,2825 Parklawn Drive,Midwest City,73110-4258,OK,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
AllianceHealth Ponca City,1900 North 14th Street,Ponca City,74601-2099,OK,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
AllianceHealth Seminole,2401 Wrangler Boulevard,Seminole,74868-1917,OK,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
AllianceHealth Woodward,900 17th Street,Woodward,73801-2448,OK,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
Arbuckle Memorial Hospital,2011 West Broadway Street,Sulphur,73086-4221,OK,Preferred Management Corporation,Yes,N/A unable to find,,,,,,,,,
Atoka County Medical Center,1590 West Liberty Road,Atoka,74525-1621,OK,,Yes,2016,Combination of counties and places,"Atoka, Bryan, Choctaw, Coal, Latimer, McCurtain, Pittsburg, Pushmataha",N/A,"Atoka, Durant, Hugo, Coalgate, Wilburton, Idabel, McAlester, Antlers","Access/avaliability of physicians, Recruitment/retention of new providers (aging workforce), Lack of education, Access/avaliability of specialists","Health literacy, Accessing providers, Care after hours, Wait time to see providers, Health and wellness focus in the community",https://pushmatahahospital.com/images/docs/pushhospital2016.pdf,https://pushmatahahospital.com/images/docs/pushhospital2016.pdf,N/A
Bailey Medical Center,10502 North 110th East Avenue,Owasso,74055-6655,OK,Ardent Health Services,Yes,N/A unable to find,,,,,,,,,
Beaver County Memorial Hospital,212 East Eighth Street,Beaver,73932,OK,,No,N/A unable to find,,,,,,,,,
Blackwell Regional Hospital,710 South 13th Street,Blackwell,74631-3700,OK,,Yes,N/A unable to find,,,,,,,,,
Bristow Medical Center,"700 West 7th Avenue, Suite 6",Bristow,74010-2302,OK,,,N/A unable to find,,,,,,,,,
