ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,
6920510,Adventist Health Portland,10123 SE Market Street,Portland,97216-2599,OR,Adventist Health,Non-Profit,2022,List of Counties,"Clackmas, Multnomah, Washington",N/A,N/A,"A Neighborhood for all, Essential Community Services and Resources, Access to Culturally and Linguistically Responsive Health Care, Support for Family and Community Ways","Economic opportnity, Eductional Opportunity, Culturally-specific  and healthy foods, Transportation, Virtual resources ",https://www.adventisthealth.org/images/portland/2022CHNA-Portland-updated.pdf,https://www.adventisthealth.org/images/portland/2022CHNA-Portland-updated.pdf,community.benefit@ah.org . ,,
6920780,Adventist HealthTillamook,1000 Third Street,Tillamook,97141-3430,OR,Adventist Health,Non-Profit,2022,Combination of counties and zip codes,Tillamook,"97107, 97118, 97131, 97136, 97198, 97147, 971222, 97149, 97134, 97139, 97135, 97141, 97112",N/A,"Access to care, community saftey, Covid, education, environment and infrastrucute, financila stability health conditions, health risk behaviors ( ilicit drugs), housing and mental health ","Access to Care, Financial Stability, Housting",https://www.flipsnack.com/E7DDD888B7A/adventist-health-tillamook-2022-chna-report/full-view.html,https://www.flipsnack.com/E7DDD888B7A/adventist-health-tillamook-2022-chna-report/full-view.html,community.benefit@ah.org . ,,
6920025,Asante Ashland Community Hospital,280 Maple Street,Ashland,97520-1593,OR,Asante Health System,Non-Profit,2022,List of Counties,"Jackson, Josephine, Curry, Douglas, Klmath, Del Norte, Siskiyou, MODOC ",N/A,N/A,"Homelsess and housing stability, Mental health, Substance abuse, Acess to healthcare services,  Affordable childcare and preschools, Economic insercurity, Chornic conditions, 
","Access to Care, Chronic Conditions, Mental Health",https://www.asante.org/app/files/public/1dba2cd7-e5b8-42b8-be12-50527c365f19/CB206100-2022-AACH-Community-Health-Needs-Assessment.pdf,https://www.asante.org/app/files/public/1dba2cd7-e5b8-42b8-be12-50527c365f19/CB206100-2022-AACH-Community-Health-Needs-Assessment.pdf,"Jeffrey.Caudlley@asante.org
sheri.croy@asante.org",,
6920280,Asante Rogue Regional Medical Center,2825 East Barnett Road,Medford,97504-8332,OR,Asante Health System,Unable to find,2022,List of Counties,"Jackson, Josephine ",N/A,N/A,"Heart disease and stroke 
Cancer
Mental health and substance abuse
Access to healthcare services
Diabetes
Injury and violence prevention 
Disabilities
Respiratory diseases
Nutrition, physical activity and weight
Infant health and family planning
Tobacco use","Access to Care, Mental Health, Heart Disease and Stroke, Infant health ",https://www.asante.org/about-us/community-health-needs-assessment/,https://www.asante.org/about-us/community-health-needs-assessment/,sherri.croy@asante.org ,,
6920005,Asante Three Rivers Medical Center,500 SW Ramsey Avenue,Grants Pass,97527-5554,OR,Asante Health System,Unable to find,2022,List of Counties,"Jackson, Josephine ",N/A,N/A,"Access to healthcare services
Substance abuse
Mental health
Cardiovascular disease and stroke
Infant health","Access to Care, Mental Health, Heart Disease and Stroke, Infant health ",https://www.asante.org/about-us/community-health-needs-assessment/,https://www.asante.org/about-us/community-health-needs-assessment/,sherri.croy@asante.org ,,
6920327,Bay Area Hospital,1775 Thompson Road,Coos Bay,97420-2198,OR,,Unable to find,2021,Combination of counties and places,"Coos, Douglas, Curry",N/A,"Coos Bay, North Bend, Bandon, Coquille, Myrtle Point, Lakeside, Reedsport","Mental Health
Substance Abuse
Care for and Protection of Youth
Access to Healthcare Services","Mental Health
Substance Abuse
Care for and Protection of Youth
Access to Healthcare Services",https://bayareahospital.org/about-bay-area-hospital/community-benefit/,https://bayareahospital.org/about-bay-area-hospital/community-benefit/,N/A,,
6920195,Blue Mountain Hospital District,170 Ford Road,John Day,97845-2009,OR,HealthTech Management Services,Non-Profit,2022,Combination of counties and places,Grant,N/A,"Bates ,Canyon City, Dayville, John Day, Kimberly, Fox, Long Creek and Ritter, Monument,Mount Vernon, Prairie City ,Seneca","Institutional bias,Adversity and toxic stress,Behavioral health, Economic drivers of health, Access to equitable preventive health services","Institutional bias,Adversity and toxic stress,Behavioral health, Economic drivers of health, Access to equitable preventive health services",https://bluemountainhospital.org/wp-content/uploads/2022/06/2022-BMHD-CHNA-FINAL-with-link.pdf,https://bluemountainhospital.org/wp-content/uploads/2022/06/2022-BMHD-CHNA-FINAL-with-link.pdf,N/A,,
6920226,Cedar Hills Hospital,10300 SW Eastridge Street,Portland,97225-5004,OR,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,,
6920380,CHI St. Anthony Hospital,2801 St Anthony Way,Pendleton,97801-3800,OR,CommonSpirit Health,Unable to find,2021,Combination of counties and zip codes,"Umatilla, Morrow","97818, 97843, 97844, 97882, 97839, 97836, 97838, 97875, 97826, 97862, 97886, 97835, 97813, 97810, 97801, 97868, 97859, 97880",N/A,"Access to health Services, Cancer, Diabetes, Heart Disease & Stroke, Infant health & Family Planning, Injury & Violence, Mental Health, Nutrition, Physical Activity & Weight, Potentially Disabling Condition, Respiratory Diseases, Substance Abuse, Tobacco Use. ","Mental Health, Respiratory Disease (esp. COVID-19), Substance Abuse, Tobacco Use, Diabetes, Potentially Disabling Conditions, Nutrition, Physical Activity & Weight, Heart Disease & Stroke, Cancer,Injury & Violence, Access to Health Care Services, Infant Health & Family Planning",https://www.sahpendleton.org/content/dam/chi-st-anthony-hospital-or/website/updated-forms/2021%20PRC%20CHNA%20Report%20-%20CHI%20St%20Anthony%20Hospital.pdf,https://www.sahpendleton.org/content/dam/chi-st-anthony-hospital-or/website/updated-forms/2021%20PRC%20CHNA%20Report%20-%20CHI%20St%20Anthony%20Hospital.pdf,N/A,,
6920015,Columbia Memorial Hospital,2111 Exchange Street,Astoria,97103-3329,OR,,Non-Profit,2022,"Combination of counties, zip codes, and places","Clatsop, Southern Pacific","97103, 97146, 97138, 97121, 98640, 98631, 98638, 97016, 98624","Astoria, Warrenton, Seaside","Access to Care: Behavioral Health, Housing, Community Resilience and Trauma-Informed Care, Access to Care: Primary Care, Access to Care: Social Safety Net","Access to Care: Primary Care, Access to Care: Behavioral Health, Social Determinants of Health: Adverse Childhood Experiences/Trauma",https://www.oregon.gov/oha/HPA/ANALYTICS/HospitalDocuments/Columbia%20Memorial%20Hospital%202020%20-%202022%20CHNA.pdf,https://www.oregon.gov/oha/HPA/ANALYTICS/HospitalDocuments/Columbia%20Memorial%20Hospital%202020%20-%202022%20CHNA.pdf,N/A,,
