ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6230010,Abington Hospital,1200 Old York Road,Abington,19001-3720,PA,Jefferson Health,Non-Profit,2019,"Combination of counties, zip codes, and places","Bucks, Montgomery","18915, 18936, 18964, 18969, 19001, 19002, 19006, 19009, 19012, 19025, 19027, 19031, 19034, 19038, 19040, 19046, 19075, 19090, 19095, 19422, 19437, 19438, 19440, 19446, 19454, 19477","Central/Lower Bucks, Perkasie/Sellersville/Indian Valley, Quakertown/Pennsburg, Blue Bell, Collegeville, Conshohocken, Greater Abington, King of Prussia, Lower Eastern, Norristown, North Penn/Lansdale, Upper Dublin, Willow Grove","Substance/Opioid Use and Abuse, Behavioral Health Diagnosis and Treatment, Access to affordable primary/ preventive care, Healthcare and Health resources navigation, Access to affordable specialty care, Chronic disease prevention, Food access and affordability, Affordable and Healthy housing, Sexual and Reproductive Health, Linguistically and culturally appropriate healthcare, Maternal Morbidity and mortality, Socioeconomic disadvantage (Income, Education, and Employment), Community Violence,  Racism and Discrimination in Healthcare setting, Neighborhood conditions, Homelessness","Substance Abuse/Opioid use and abuse; Behavioral health diagnosis and treatment; Access to affordable primary/preventive care; Healthcare and Health Resources Navigation; Access to Affordable Specialty Care; Chronic Disease Prevention; Food Access and Affordability; Affordable and Healthy Housing; Sexual and Reproductive Health; Linguistically- and Culturally- Appropriate Healthcare; Maternal Morbidity and Mortality; Socioeconomic disadvantage (income, education, and employment); Community Violence; Racism and Discrimination in Healthcare Settings; Neighborhood conditions (e.g. blight, greenspace, parks/recreation, etc.); Homelessness",https://www.jeffersonhealth.org/content/dam/health2021/documents/informational/community-health-needs-assessment-2019.pdf,https://www.jeffersonhealth.org/content/dam/health2021/documents/informational/jha-2022-2025-imprlementation-plan.pdf; https://www.allied-services.org/documents/content/2021-CHNA-REPORT-2021-24-IMPLEMENTATION-PLAN-May-3-2021.pdf,N/A
6231150,Abington-Lansdale Hospital Jefferson Health,100 Medical Campus Drive,Lansdale,19446-1200,PA,Jefferson Health,Non-Profit,2022,"Combination of counties, zip codes, and places","Bucks, Montgomery","18914, 18932, 18915, 18936, 18964, 18969, 19002, 19422, 19438, 19440, 19446, 19454","Central/Lower Bucks, Perkasie/Sellersville/Indian Valley, Quakertown/Pennsburg, Blue Bell, Collegeville, Conshohocken, Greater Abington, King of Prussia, Lower Eastern, Norristown, North Penn/Lansdale, Upper Dublin, Willow Grove","Health Issues: Chronic Conditions (prevention and management), Mental Health Conditions, Substance use and related disorders; Access and Quality of Healthcare and Health Resources: Acess to care (primary and specialty), Food access, Healthcare and health resources navigation (including transportation), Linguistically- and culturally- appropriate services, Racism and discrimination in healthcare settings; Community Factors: Housing, Neighborhood conditions (e.g., blight, greenspace, air and water quality, etc.), Community violence, Socioeconomic disadvantage (e.g., poverty, unemployment) ",Mental Health Conditions; Access to Care (Primary & Speciality); Chronic Disease Prevention & Management; Substance Abuse and Related Disorders; Healthcare & Health Resources Navigation; Racism & Discrimination in Healthcare; Food Access; Culturally & Linguistically Appropriate Services; Community Violence; Housing; Socioeconomic Disadvantage; Neighborhood Conditions,https://www.jeffersonhealth.org/content/dam/health2021/documents/informational/jha-2022-2025-imprlementation-plan.pdf,https://www.jeffersonhealth.org/content/dam/health2021/documents/informational/jha-2022-2025-imprlementation-plan.pdf,N/A
6231100,ACMH Hospital,One Nolte Drive,Kittanning,16201-7111,PA,,Non-Profit,2021,List of Counties,Armstrong,N/A,N/A,"Obesity, Substance Abuse, Mental Health, Disease Management and Prevention, Unhealthy Behaviors, Nurse and Social Workers Shortages, Transportation, Primary Care Provider Shortages","Wellness and Nutritional needs (address obesity, food secuirty and nutritional deficiencies); Substance Abuse; Mental Health;Management of Chronic Diseases; Recruitment of Primary Care Providers, Nurses, and Social Workers",https://www.acmh.org/Files/Admin/2021%2DCommunity%2DHealth%2DNeeds%2DAssessment%2DBinder%2Epdf,https://www.acmh.org/Files/Admin/CHNA%2D2021%2DImplementation%2DPlan.pdf,CHNA@acmh.org
6230505,Advanced Surgical Hospital,100 Trich Drive Suite 1,Washington,15301-5990,PA,,Unable to Find,N/A unable to find,,,,,,,,,
6230041,Allegheny General Hospital,320 East North Avenue,Pittsburgh,15212-4756,PA,Allegheny Health Network,Non-Profit,2022,"Combination of counties, zip codes, and places","Butler, Allegheny","15007, 15015, 15017, 15044, 15056, 15086, 15090, 15101, 15106, 15108, 15116, 15136, 15142, 15143, 15202, 15203, 15204, 15228, 15205, 15209, 15211, 15212, 15214, 15216, 15220, 15225, 15229, 15233, 15237, 15243, 15275, 16046, 16059, 16066","Bakerstown, Bradford Woods, Bridgeville, Gibsonia, Leetsdale, Warrendale, Wexford, Allison Park, Carnegie, Corapolis, Glenshaw, McKees Rocks, Presto, Sewickley, Pittsburgh, Mars, Valencia, Cranberry","Transportation; Workforce Development; Food Insecurity, Diet, Nutrition; Substance use disorder; Diabetes; Heart Disease; Cancer; Diversity, Equity, & Inclusion","Access to care, Behavioral Health, Chronic Conditions",https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/about/caring-for-our-community/allegheny-general-hospital-community-health-needs-assessment.pdf,https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/about/caring-for-our-community/allegheny-general-hospital-implementation-strategy-plan.pdf,communityaffairs@ahn.org
6233220,Allegheny Valley Hospital,1301 Carlisle Street,Natrona Heights,15065-1152,PA,Allegheny Health Network,Non-Profit,2021,"Combination of counties, zip codes, and places","Allegheny, Armstrong, Butler, Westmoreland","15014,15024, 15030, 15049, 15051, 15065, 15076, 15084, 15139, 15144, 15613, 15656, 15686, 16201, 16212, 16226, 16228, 16229, 16238, 16262, 16023, 16055, 16056, 15068, 15618, 15641, 15690","Brackenridge, Cheswick, Creighton, Harwick, Indianola, Natrona Heights, Russellton, Tarentum, Oakmont, Springdale, Apollo, Leechburg, Spring Church, Kittanning, Cadogan, Ford City, Ford Cliff, Freeport, Manorville, Worthington, Cabot, Sarver, Saxonburg, New Kensington, Avonmore, Hyde Park, Vandergrift","Transportation; Substance Use Disorder; Mental Health Services; Diabetes; Heart Disease; Diversity, Equity, & Inclusion","Access to care, Behavioral health, Chronic Conditions",https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/about/caring-for-our-community/community-health-needs-assessment-allegheny-valley-2021.pdf,https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/about/caring-for-our-community/community-health-needs-assessment-allegheny-valley-2021.pdf,Kannu.Sahni@highmarkhealth.org
6232979,Allied Services Rehabilitation Hospital,475 Morgan Highway,Scranton,18508-2605,PA,,Non-Profit,2021,"Combination of counties, zip codes, and places","Lackawanna, Luzerne, Pike, Wayne, Wyoming","18403, 18407, 18411, 18414, 18426, 18428, 18433, 18434, 18436, 18444, 18446, 18447, 18452, 18504, 18505, 18507, 18508, 18509, 18510, 18512, 18517, 18518, 18519, 18641, 18657","Archbald, Carbondale, Clarks Summit, Dalton, Greentown, Hawley, Jermyn, Jessup, Lake Ariel, Moscow, Moosic, Nicholson, Old Forge, Olyphant, Peckville, Pittston, Scranton, Taylor, Tunkhannock","Income, Culture/Language, Education, Insurance Coverage, Housing status","Access to Care, Chronic Disease Prevention and Management, Behavioral Health & Substance Abuse Disorders, Maternal & Child Health",https://www.allied-services.org/documents/content/CORRECTED-2-15-19-Allied-Services-2018-2021-CHNA.pdf,https://www.allied-services.org/documents/content/2021-CHNA-REPORT-2021-24-IMPLEMENTATION-PLAN-May-3-2021.pdf,1-877-315-6855; http://theadvocacyalliance.org/Contact/contact.html
6230504,Barix Clinics of Pennsylvania,280 Middletown Boulevard,Langhorne,19047-1816,PA,,For-Profit,N/A unable to find,,,,,,,,,
6233210,Barnes-Kasson County Hospital,2872 Turnpike Street,Susquehanna,18847-2771,PA,,Non-Profit,2019,"Combination of counties, zip codes, and places",Barnes Jewish West,"63025, 63005, 63011, 63017, 63021, 63038, 63040, 63043, 63044, 63074, 63088, 63105, 63114, 63117, 63119, 63122, 63124, 63130, 63131, 63132, 63133, 63141, 63143, 63144, 63146  63026, 63123, 63125, 63126, 63127, 63128, 63129","St. Louis, West, South, North","Access to health insurance, especially Medicaid in Missouri; Monitoring alcohol use as well as methamphetamine and cocaine","Access to Affordable Health, Care/Care Coordination, Access to Transportation, Asthma, Cancer, Diabetes, Heart Health & Stroke, Obesity, Mental Health, Maternal and Infant Health, Sexually Transmitted Infections, Substance Use and Abuse",https://www.barnesjewishwestcounty.org/About-Us/Community-Health-Needs-Assessment,https://www.barnesjewishwestcounty.org/About-Us/Community-Health-Needs-Assessment,https://www.barnesjewishwestcounty.org/About-Us/Community-Health-Needs-Assessment
6232130,Belmont Behavioral Hospital,4200 Monument Road,Philadelphia,19131-1625,PA,"Acadia Healthcare Company, Inc.",Non-Profit,N/A unable to find,,,,,,,,,
