ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6370010,Abbeville Area Medical Center,420 Thomson Circle,Abbeville,29620-5656,SC,QHR,Non-Profit ,2021,Combination of counties and zip codes,Abbeville,"29620, 29628, 29638, 29639, 29659",N/A,"Behavioral Health, Access to Healthcare, Affordable Healthcare, Obesity/Healthy Food Access, Diabetes, Education/Prevention, Drug/Substance Abuse, Heart Disease, Social Factors","Behavioral health, Accessibility/Affordability, Chronic disease management, Health disparities",https://www.abbevilleareamc.com/wp-content/uploads/2021/09/Abbeville-Area-Medical-Center-CHNA-Report-2021.pdf,https://www.abbevilleareamc.com/wp-content/uploads/2021/09/Abbeville-Area-Medical-Center-CHNA-Report-2021.pdf,N/A
6370008,Aiken Regional Medical Centers,302 University Parkway,Aiken,29801-6302,SC,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6370245,Allendale County Hospital,1787 Allendale Fairfax Highway,Fairfax,29827-9133,SC,,Non-Profit,2022,List of Counties,"Allendale, Bamberg, Barnwell, Hampton",N/A,N/A,"Access to health care, Access to healthy foods, Behavioral health, Chronic illness, Employment, Injury & Violence","Access to health care, Behavioral health, Chronic illness & healthy eating",https://www.achospital.org/docs/2022_Allendale_CHNA_Report_V1.1.pdf,https://www.achospital.org/docs/2023_Allendale_County_Hospital_CHIP.pdf,tammys@achospital.org
6370540,AnMed Health Cannon,123 W G Acker Drive,Pickens,29671-2739,SC,AnMed Health,Non-Profit,2021,List of Counties,"Pickens, Anderson",N/A,N/A,"Behavioral and Mental Health Services, Substance Abuse, Heart Disease, Community Education (obesity, STDs, vaping), Social Determinants of Health (housing, transportation, acccess to healthcare, childhood trauma)","Behavioral and Mental Health Services, Substance Abuse, Heart Disease, Community Education (obesity, STDs, vaping), Social Determinants of Health (housing, transportation, acccess to healthcare, childhood trauma)",https://anmed.org/sites/default/files/2022-08/AnMed%20Health%20CHNA%202021%20final%20%201.3.22.pdf,https://anmed.org/sites/default/files/2022-08/AnMed%20Health%20CHNA%202021%20final%20%201.3.22.pdf,N/A
6370030,AnMed Health Medical Center,800 North Fant Street,Anderson,29621-5793,SC,AnMed Health,Non-Profit,2021,List of Counties,"Pickens, Anderson",N/A,N/A,"Behavioral and Mental Health Services, Substance Abuse, Community Education (obesity, STDs, vaping), Social Determinants of Health (housing, transportation, acccess to healthcare, childhood trauma)","Behavioral and Mental Health Services, Substance Abuse, Heart Disease, Community Education (obesity, STDs, vaping), Social Determinants of Health (housing, transportation, acccess to healthcare, childhood trauma)",https://anmed.org/sites/default/files/2022-08/AnMed%20Health%20CHNA%202021%20final%20%201.3.22.pdf,https://anmed.org/sites/default/files/2022-08/AnMed%20Health%20CHNA%202021%20final%20%201.3.22.pdf,N/A
6370021,AnMed Health Rehabilitation Hospital,1 Spring Back Way,Anderson,29621-2676,SC,Encompass Health Corporation,Non-Profit,2021,Combination of counties and zip codes,"Anderson, Pickens","29621, 29642",N/A,"Behavioral and Mental Health Services, Substance Abuse, STD's, Obesity, Vaping, Education for Youth, Access Barriers, Social Determinants of Health, Quality of Care","Mental and Behavioral Health Services, Susbtance Abuse, Diabetes, Heart Disease, Community Education, Social Determinants of Health",https://anmed.org/sites/default/files/2022-08/AnMed%20Health%20CHNA%202021%20final%20%201.3.22.pdf,N/A ,N/A
6370050,Beaufort Memorial Hospital,955 Ribaut Road,Beaufort,29902-5441,SC,,Non-Profit,2022,"Combination of counties, zip codes, and places","Beaufort ,Jasper, Hampton ","29902, 29906, 29907, 29909, 29910, 29935, 29936, 29915, 29926, 29927, 29928, 29940, 29941, 29945","City of Beaufort, City of Burton, Lady's Island, City of Okatie, City of Bluffton, St. Helena Island, Town of Port Royal, Ridgeland, Daufuskie Island, Hilton Head Island, Sheldon Township","Cost of Health Care, Prescription Meds, Lack of Health Insurance, Obesity, Cancer, Mental Health, Drug abuse, Lack of Transportation to Health Services, Alcohol, Lack of Dental Care, Tobacco use, Alcohol, Child Abuse, Lack of Prenatal Care","Cost of Healthcare, Chronic Disease, Mental Health, Access/Availability of Healthcare Services ",https://www.bmhsc.org/assets/documents/community-health-needs-assessments/bmh-community-health-needs-assessment-2022.pdf,https://www.bmhsc.org/assets/documents/community-health-needs-assessments/bmh-community-health-needs-assessment-2022.pdf,LifeFit Community Health at 843-522-5173
6370330,Bon Secours St. Francis Health System,One St Francis Drive,Greenville,29601-3207,SC,Bon Secours Mercy Health,Non-Profit,2022,Combination of counties and zip codes,Greenville,"29601, 29611",N/A,"Affordable Housing, Homelessness, Safety/Crime, Transportation, Health Equity, Health Access, Mental Health, Alcohol/Drug Abuse, E-cigarettes/Vaping, Aging Alzheimer's, STD's","Housing and Homelessness, Health Access, Behavioral and Mental Health",https://www.bonsecours.com/about-us/community-commitment/community-health-needs-assessment,https://www.bonsecours.com/about-us/community-commitment/community-health-needs-assessment,"
richardseandogan@bshsi.org"
6370100,Bon Secours St. Francis Hospital,2095 Henry Tecklenburg Drive,Charleston,29414-5733,SC,Roper St. Francis Healthcare,Non-Profit,N/A unable to find,,,,,,,,,
6370385,Carolina Center for Behavioral Health,2700 East Phillips Road,Greer,29650-4816,SC,"Universal Health Services, Inc.",Unable to Find ,N/A unable to find,,,,,,,,,
6370380,Carolina Pines Regional Medical Center,1304 West Bobo Newsom Highway,Hartsville,29550-4710,SC,LifePoint Health,For-Profit,N/A unable to find,,,,,,,,,
6370290,Cherokee Medical Center,1530 North Limestone Street,Gaffney,29340-4738,SC,Spartanburg Regional Healthcare System,Non-profit ,N/A unable to find,,,,,,,,,
6370023,Coastal Carolina Hospital,1000 Medical Center Drive,Hardeeville,29927-3446,SC,TENET Healthcare Corporation,For-Profit,N/A unable to find,,,,,,,,,
6370670,Colleton Medical Center,501 Robertson Boulevard,Walterboro,29488-5714,SC,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6370025,ContinueCARE Hospital at Palmetto Health Baptist,Taylor at Marion Street,Columbia,29220,SC,Community Hospital Corporation,Non-Profit,2023,List of Counties,"Richland, Lexington ",N/A,N/A,"Access to Primary and Specialty Care Services and Providers, Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles , Access to Affordable Care and Reducing Health Disparities Among Specific Populations , Access to Mental and Behavioral Health Care Services and Providers, Access to Dental Care Services and Providers, Continued focus on community infrastructure and concerns","Access to Primary and Specialty Care Services and Providers, Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles , Access to Affordable Care and Reducing Health Disparities Among Specific Populations , Access to Mental and Behavioral Health Care Services and Providers, Access to Dental Care Services and Providers, Continued focus on community infrastructure and concerns",https://palmetto.continuecare.org/wp-content/uploads/2023/06/CCH-Palmetto-2023-CHNA-and-Implementation-Plan-May-2023-v_2.pdf,https://palmetto.continuecare.org/wp-content/uploads/2023/06/CCH-Palmetto-2023-CHNA-and-Implementation-Plan-May-2023-v_2.pdf,CHNA_CCHPalmetto@continuecare.net
6370230,Conway Medical Center,300 Singleton Ridge Road,Conway,29526-9142,SC,,Non-Profit,2022,List of Counties,Horry ,N/A,N/A,"Access to Health Services, Clinical Preventative Services,  Environmental Quality, Injury and Violence, Maternal, Infant Child Health,  Mental Health, Nutritional, Physical Activity, and Obesity,  Oral Health, Reproduction and Sexual Health, Social Determinants,  Substance Abuse, Tobacco","Access to Health Services, Clinical Preventative Services,  Environmental Quality, Injury and Violence, Maternal, Infant Child Health,  Mental Health, Nutritional, Physical Activity, and Obesity,  Oral Health, Reproduction and Sexual Health, Social Determinants,  Substance Abuse, Tobacco",https://www.conwaymedicalcenter.com/wp-content/uploads/2023/03/FORVIS-Conway-Final-CHNA-Report-December-2022.pdf,https://www.conwaymedicalcenter.com/wp-content/uploads/2023/03/2023-CMC-Implementation-Plan-Report.pdf,N/A
6370125,Earle E. Morris Alcohol and Drug Treatment Center,610 Faison Drive,Columbia,29203-3218,SC,,Public,N/A unable to find,,,,,,,,,
6370460,East Cooper Medical Center,2000 Hospital Drive,Mount Pleasant,29464-3764,SC,Novant Health System,Non-Profit,N/A unable to find,,,,,,,,,
6370243,Edgefield County Healthcare,300 Ridge Medical Plaza,Edgefield,29824-4525,SC,,Non-Profit,2022,List of Counties,"Greenwood, Laurens, Edgefield, Abbeville, Newberry, McCormick, Saluda",N/A,N/A,"Access to care , Affordability/Uninsured , Mental Health , Diabetes , Cancer incidence/screenings ,High blood pressure , Dental health utilization/access , Substance Abuse , Violent Crime.","Access to Care, Cancer and Screenings , Diabetes , High Blood Pressure, Mental Health/Substance Abuse , Obesity",https://www.selfregional.org/wp-content/uploads/2022/09/2022-CHNA-Report.pdf,https://www.selfregional.org/wp-content/uploads/2023/03/2023-CHNA-Implementation-Strategy-1.pdf,N/A
6370022,Encompass Health Rehabilitation Hospital of Charleston,9181 Medcom Street,Charleston,29406-9168,SC,Encompass Health Corporation,For-Profit,2019,List of Counties,"Berkeley, Charleston, Dorchester",N/A,N/A,"Access to Care,Obesity, Nutrition","Oral Health,Tobacco Use, Injury & Violence",http://web.musc.edu/-/sm/health/about-us/growth/f/chna-report.ashx,N/A,HTCsupport@tuw.org
6370002,Encompass Health Rehabilitation Hospital of Columbia,2935 Colonial Drive,Columbia,29203-6811,SC,Encompass Health Corporation,For-Profit,N/A unable to find,,,,,,,,,
6370012,Encompass Health Rehabilitation Hospital of Florence,900 East Cheves Street,Florence,29506-2704,SC,Encompass Health Corporation,For-Profit,N/A unable to find,,,,,,,,,
6370019,Encompass Health Rehabilitation Hospital of Rock Hill,1795 Dr. Frank Gaston Boulevard,Rock Hill,29732-1190,SC,Encompass Health Corporation,For-Profit,N/A unable to find,,,,,,,,,
6370135,G. Werber Bryan Psychiatric Hospital,220 Faison Drive,Columbia,29203-3210,SC,,Public,N/A unable to find,,,,,,,,,
6370477,Grand Strand Regional Medical Center,809 82nd Parkway,Myrtle Beach,29572-4607,SC,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6370032,Greenwood Regional Rehabilitation Hospital,1530 Parkway,Greenwood,29646-4027,SC,"Ernest Health, Inc.",Non-Profit,N/A unable to find,,,,,,,,,
6370665,Hampton Regional Medical Center,503 West Carolina Avenue,Varnville,29944-4735,SC,MUSC,Non-Profit,N/A unable to find,,,,,,,,,
6370390,Hilton Head Hospital,25 Hospital Center Boulevard,Hilton Head Island,29926-2738,SC,TENET Healthcare Corporation,For-Profit,N/A unable to find,,,,,,,,,
