Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
Avera De Smet Memorial Hospital,306 Prairie Avenue SW,De Smet,57231-2285,SD,Avera Health,Yes,2019,List of Counties,Kingsbury County ,N/A,N/A,"Health Behaviors, Clinical Care, Social & Economic Factors, Physical Environment",Home Health Care Access,https://www.avera.org/app/files/public/74883/2019-chna-desmet.pdf,https://www.avera.org/app/files/public/75840/2019-chna-desmet-implementation-plan.pdf,N/A
Avera Dells Area Hospital,909 North Iowa Avenue,Dell Rapids,57022-1231,SD,Avera Health,Yes,2019,Combination of counties and places,"Minnehaha County, Moody County, Lake County",N/A,"Dell Rapids, Garretson, Baltic, Colton, Sherman, Trent, Colman, Chester","Public Awareness & Use, Convenience to Care, Tobacco Education/Cessation, Mental Health, Physical Activity, Outreach Services, Nutrition Education, Transportation ","Public Awareness of Hospital/Clinical Services, Nutrition Education ",https://www.avera.org/app/files/public/74879/2019-chna-dell-rapids.pdf,https://www.avera.org/app/files/public/75598/2019-chna-dell-rapids-implementation-plan.pdf,N/A
Avera Flandreau Hospital,214 North Prairie Street,Flandreau,57028-1243,SD,Avera Health,Yes,2019,Combination of counties and places,"Moody County, Brookings County",N/A,"Colman, Egan, Trent, Ward, Elkton","Public Awareness, Nutrition Education, Healthcare Education in Spanish, Insurance Education, Tobacco Education/Cessation, Transporation, Physical Activity/Wellness 
Outreach Services 
","Mental Health Services, Chemical Dependency Services/Education",https://www.avera.org/app/files/public/74880/2019-chna-flandreau.pdf,https://www.avera.org/app/files/public/75726/2019-chna-flandreau-implementation-plan.pdf,N/A
Avera Gettysburg Hospital,606 East Garfield Avenue,Gettysburg,57442-1398,SD,Avera Health,Yes,2019,Combination of counties and places,Potter County,N/A,"Gettysburg, Hoven, Tolstoy, Lebanon","New healthcare facility with added services, Fitness Center with community accessibility, Strengthen home care and hospice options in and around Gettysburg, handicap accessibility, transportation needs for the community, diabetic, cardiac and other health issue related education","New healthcare facility with expanded services, increased organized wellness programs including walking & biking trails, strengthen home care and hospice options in and around Potter County",https://www.avera.org/app/files/public/75057/2019-chna-gettysburg.pdf,https://www.avera.org/app/files/public/75837/2019-chna-gettysburg-implementation-plan.pdf,N/A
Avera Gregory Hospital,400 Park Avenue,Gregory,57533-1302,SD,Avera Health,Yes,2019,Combination of counties and places,"Gregory County, Tripp County",N/A,"Gregory, Burke, Bonesteel, Colome, Winner, Butte, Spencer, Fairfax","Public awareness & use convenience to care, tobacco education/cessation, mental health, physical activity, outreach services, nutrition education, transportation","Public awareness of Hospital/Clinical Services, Nutrition Education ",https://www.avera.org/app/files/public/75069/2019-chna-gregory.pdf,https://www.avera.org/app/files/public/75768/2019-chna-gregory-implementation-plan.pdf,N/A
Avera Hand County Memorial Hospital,300 West Fifth Street,Miller,57362-1238,SD,Avera Health,Yes,2019,List of Counties,Hand County,N/A,N/A,"Disease Prevention & Maintenance, Access to Specialty Care","Disease Prevention & Maintenance, Access to Specialty Care",https://www.avera.org/app/files/public/74899/2019-chna-hand-county.pdf,https://www.avera.org/app/files/public/75699/2019-chna-hand-county-implementation-plan.pdf,N/A
Avera Heart Hospital of South Dakota,4500 West 69th Street,Sioux Falls,57108-8148,SD,Avera Health,Yes,2019,List of Counties,"Minnehaha County, Lincoln County, McCook County, & Turner County",N/A,N/A,"Access to care, Behavioral health and substance abuse, Chronic disease prevention ","Aging population, Child and youth economic well-being, Health care access, Health and wellness, Mental health and substance use, Safety, Transportation",https://www.avera.org/app/files/public/74850/2019-chna-heart-hospital.pdf,https://www.avera.org/app/files/public/75711/2019-chna-mckennan-heart-hospital-implementation-plan.pdf,chanson@siouxfallsthrive.org
Avera McKennan Hospital and University Health Center,1325 South Cliff Avenue,Sioux Falls,57105-1007,SD,Avera Health,Yes,2019,List of Places,N/A,N/A,Sioux Falls,"Access to care, Behavioral Health and substance use, Chronic diseases prevention, Housing, Food insecurity","Access to care, Behavioral Health and substance use, Chronic diseases prevention, Housing & Food insecurity",https://www.avera.org/app/files/public/75711/2019-chna-mckennan-heart-hospital-implementation-plan.pdf,https://www.avera.org/app/files/public/75711/2019-chna-mckennan-heart-hospital-implementation-plan.pdf,N/A
Avera Queen of Peace Hospital,525 North Foster,Mitchell,57301-2999,SD,Avera Health,Yes,2019,List of Counties,Davison county,N/A,N/A,"Access to care, Behavioral Health and substance use, Prevention, wellness, screening, and education ","Access to care; Behavioral Health and substance use; Prevention, wellness, screening, and education ",https://www.avera.org/app/files/public/74884/2019-chna-queen-of-peace.pdf,https://www.avera.org/app/files/public/74884/2019-chna-queen-of-peace.pdf,roxanne.seifert@avera.org
Avera Sacred Heart Hospital,501 Summit Avenue,Yankton,57078-3855,SD,Avera Health,Yes,2019,Combination of counties and zip codes,"Yankton, Bon Homme, Charles Mix, Hutchinson, Clay county, Knox, Cedar county","57078, 57069, 57063, 68736, 57079, 57501, 57301, 57070, 68730, 57703, 57067, 68760, 68739, 51342, 68780, 57045, 57062, 57078

",N/A,"Nutrition, Physical Activity , Tobacco use, Chronic Disease Management, Access to care, and affordable care
","Nutrition, Coordinated health care delivery system, Access to care, Behavioral health, Substance aubse",https://www.avera.org/app/files/public/75017/2019-chna-sacred-heart.pdf,https://www.avera.org/app/files/public/75736/2019-chna-sacred-heart-implementation-plan.pdf,N/A
Avera St. Benedict Health Center,401 West Glynn Drive,Parkston,57366-9605,SD,Avera Health,Yes,2019,List of Counties,Hutchinson County,N/A,N/A,"A community environment that makes exercise easy, Behavioral health concerns, Nutrition deficits, Social determinant of health, Access to care
 ","Obesity, Substance use prevention, Deterioration of homes, After school activities for kids, Access to care","https://www.avera.org/app/files/public/75516/2019-chna-st-benedict-implementation-plan.pdf

",https://www.avera.org/app/files/public/75516/2019-chna-st-benedict-implementation-plan.pdf,N/A
Avera St. Luke's Hospital,305 South State Street,Aberdeen,57401-4527,SD,Avera Health,Yes,2019,Combination of counties and places,Brown County,N/A,Aberdeen,"Overall access to wellness and healthcare needs, Health care affordability, Transportation, Dental","Population health/quality of life, Housing and affordability, Travel and accessibility to care, Dental care - adults, Behavioral health, Health care affordability, Healthcare barriers, Chronic disease care, Suicide prevention, Opioid and drugs, Diversity translation and education ",https://www.avera.org/app/files/public/75093/2019-chna-st-lukes.pdf,https://www.avera.org/app/files/public/75825/2019-chna-st-lukes-implementation-plan.pdf,N/A
Avera St. Mary's Hospital,801 East Sioux Avenue,Pierre,57501-3323,SD,Avera Health,Yes,2019,Combination of counties and places,"Hughes county, Stanley county, Sully county",N/A,Pierre,"Mental health concerns, Physical inactivity, Healthy eating, Uninsured, Affordable housing","Mental health concerns, Physical inactivity, Healthy eating",https://www.avera.org/app/files/public/74872/2019-chna-st-marys.pdf,https://www.avera.org/app/files/public/75713/2019-chna-st-marys-implementation-plan.pdf,N/A
Avera Weskota Memorial Hospital,604 First Street NE,Wessington Springs,57382-2166,SD,Avera Health,Yes,2019,List of Counties,Jerauld county,N/A,N/A,"Community health education, Primary care access
 ","Community health education, Primary care access
 ",https://www.avera.org/app/files/public/74885/2019-chna-weskota.pdf,https://www.avera.org/app/files/public/75838/2019-chna-weskota-implementation-plan.pdf,krisi.livermont@avera.org 
Bennett County Hospital and Nursing Home,102 Major Allen Street,Martin,57551-6005,SD,Stand alone health provider,Yes,2018,Combination of counties and places,Bennett County ,N/A,"Martin, Allen, Swett, Batesland, Tuthilll, and Vetal.","Access to care and ensuring there was a facility that could meet those needs, access to education of health topics, substance abuse, workforce, affordable healthy food choices, and
transportation issues.","New facility for Bennet County Hospital and Nursing Home, Education on affordable healthy choices, transportation to appointments",2018-Community-Assessment.pdf (bennettcountyhospital.com),https://www.bennettcountyhospital.com/wp-content/uploads/2020/01/BCHNH-2018-Community-Needs-Assessment-Implimentation-Plan.pdf,N/A
Black Hills Surgical Hospital,216 Anamaria Drive,Rapid City,57701-7366,SD,,No,2019,Combination of counties and places,"Butte, Custer, Fall River, Lawrence, Meade and Pennington Counties",N/A,"Rapid City, Sturgis, Deadwood, Lead, Spearfish, Belle Fourche, Keystone, Hill City, Custer, Hot Springs, and Edgemont",N/A,"Mental Health, Substance and Alcohol Abuse, Birth-to-five Childcare Services, Food Security, Home and Family Life, Housing, Economic Opportunities",https://www.jtvf.org/assets/docs/uploads/publications/uwbh-needs-assessment.pdf,N/A,(605) 721-4700
Bowdle Hospital,8001 West Fifth Street,Bowdle,57428-2031,SD,Standalone health system,Yes,2020,List of Counties,Edmund,N/A,N/A,"Economics, Children & Youth, Healthcare and Wellness, Aging, Safety, Mental Health/Substance Abuse",Physical and mental health,https://doh.sd.gov/documents/Providers/RuralHealth/2016-2020_PrimaryCareNeedsAssessment.pdf,https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/pdf---aberdeen-is-booklet.pdf,(605)285-6146
Brookings Health System,300 22nd Avenue,Brookings,57006-2496,SD,,Yes,2020,N/A,N/A,N/A,N/A,N/A,N/A,https://doh.sd.gov/documents/Providers/RuralHealth/2016-2020_PrimaryCareNeedsAssessment.pdf,N/A,(605) 696-9000
Community Memorial Hospital,111 West Tenth Avenue,Redfield,57469-1520,SD,,Yes,2020,N/A,N/A,N/A,N/A,N/A,N/A,https://doh.sd.gov/documents/Providers/RuralHealth/2016-2020_PrimaryCareNeedsAssessment.pdf,N/A,(605)-472-1110
Community Memorial Hospital,809 Jackson Street,Burke,57523-2065,SD,Sanford Health,Yes,2020,List of Counties,Gregory County ,N/A,N/A,"Economics, Children & Youth, Healthcare and Wellness, Aging, Safety, Mental Health/Substance Abuse ","Mental Health, Healthcare and Wellness 
",https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/2019-chna-final-report-community-memorial-burke-sd.pdf,https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/2019-chna-final-report-community-memorial-burke-sd.pdf,(605)775-2621
