ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6520681,Baptist Memorial Hospital - Memphis,6019 Walnut Grove Road,Memphis,38120-2173,TN,Baptist Memorial Health Care Corporation,Unable to find,2022,List of Counties,"Shelby, DeSoto, Tipton, Fayette",N/A,N/A,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/about/chna,https://www.baptistonline.org/about/chna,N/A
6520022,Baptist Memorial Hospital for Women,6225 Humphreys Boulevard,Memphis,38120-2373,TN,Baptist Memorial Health Care Corporation,Non-Profit,N/A unable to find,,,,,,,,,
6529075,Baptist Memorial Hospital-Carroll County,631 R.B. Wilson Drive,Huntingdon,38344-1727,TN,Baptist Memorial Health Care Corporation,Non-Profit,2022,Combination of counties and zip codes,Carroll,"38258, 38201, 38317, 38344, 38220, 38348, 38342, 38321, 38318, 38390",N/A,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/60BEC29C01DA4EE5981B19E42DE5739C.pdf,https://www.baptistonline.org/-/media/60BEC29C01DA4EE5981B19E42DE5739C.pdf,N/A
6520018,Baptist Memorial Hospital-Collierville,1500 West Poplar Avenue,Collierville,38017-0601,TN,Baptist Memorial Health Care Corporation,Non-Profit,2022,Combination of counties and places,"Shelby, Fayette",N/A,Memphis Metro,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/about/chna,https://www.baptistonline.org/about/chna,N/A
6520214,Baptist Memorial Hospital-Tipton,1995 Highway 51 South,Covington,38019-3635,TN,Baptist Memorial Health Care Corporation,Non-Profit,2022,List of Counties,Tipton,N/A,N/A,"Behavioral Health, Chronic Disease, Maternal & Child Health","Behavioral Health, Chronic Disease, Maternal & Child Health",https://www.baptistonline.org/about/chna,https://www.baptistonline.org/about/chna,N/A
6521225,Baptist Memorial Hospital-Union City,1201 Bishop Street,Union City,38261-5403,TN,Baptist Memorial Health Care Corporation,Non-Profit,2022,"Combination of counties, zip codes, and places","Obion, Carroll","38261, 38257, 38240, 38344, 38258","Union City, South Fulton, Obion, Trezevant, Huntingdon","Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/60BEC29C01DA4EE5981B19E42DE5739C.pdf,https://www.baptistonline.org/-/media/pdf/CHNA/2020/Baptist-Memorial-Hospital-Union-City-2019-Implementation-Plan.pdf,N/A
6520471,Baptist Memorial Rehabilitation Hospital,1240 South Germantown Road,Germantown,38138-2226,TN,Baptist Memorial Health Care Corporation,Non-Profit,2019,List of Counties,"Carroll, Obion",N/A,N/A,"Behavioral Health, Cancer, Chronic Disease, Maternal and Child Health","Behavioral Health, Cancer, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/Documents/pdfs/2019-CHNA/FINAL-West-Tennessee-Service-Area-CHNA-Final-Report-2019-09-05.pdf,https://www.baptistonline.org/-/media/Documents/pdfs/2019-CHNA/FINAL-West-Tennessee-Service-Area-CHNA-Final-Report-2019-09-05.pdf,N/A
6520045,Baptist Memorial Restorative Care Hospital,6019 Walnut Grove Road,Memphis,38120-2113,TN,Baptist Memorial Health Care Corporation,Non-Profit,2022,List of Counties,"Shelby, Fayette ",N/A,N/A,"Providing access to high-quality health care, Developing community partnerships, Investing in health care education and research",Behavioral Health; Chronic Disease; Maternal and Child Health,https://www.baptistonline.org/about/chna,https://www.baptistonline.org/about/chna,N/A
6529209,Big South Fork Medical Center,18797 Alberta Street,Oneida,37841-2127,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520670,Blount Memorial Hospital,907 East Lamar Alexander Parkway,Maryville,37804-5016,TN,,Non-Profit,N/A unable to find,,,,,,,,,
6520035,Bolivar General Hospital,650 Nuckolls Road,Bolivar,38008-1532,TN,West Tennessee Healthcare,Unable to find,2018,Combination of counties and places,Hardeman ,N/A,"Toore, Bolivar, Middleton, Grand Junction, Whiteville","Obesity, Physical Activity, Tobacco/Substance Abuse","Obesity, Physical Activity, Tobacco/Substance Abuse",https://www.wth.org/wp-content/uploads/2019/05/HardemanCHNA_2018.pdf,https://www.wth.org/wp-content/uploads/2019/05/HardemanCHNA_2018.pdf,N/A
6520040,Bristol Regional Medical Center,1 Medical Park Boulevard,Bristol,37620-7430,TN,Ballad Health,Non-Profit,2021,List of Counties,"Hancock, Hawkins, Sullivan, Johnson, Hamblen, Greene, Washington, Carter, Unicoi, Cocke",N/A,N/A,"Substance Abuse, Chroninc Disease, Mental Health, Access to Care","Substance Abuse, Adverse Childhood Experiences (ACEs), Housing",https://www.balladhealth.org/sites/default/files/BRMC_Community_Health_Needs_Assessment_2021.pdf,https://www.balladhealth.org/sites/default/files/BRMC_Community_Health_Needs_Assessment_2021.pdf,N/A
6520066,Camden General Hospital,175 Hospital Drive,Camden,38320-1617,TN,West Tennessee Healthcare,Unable to find,N/A unable to find,,,,,,,,,
