ID,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6870500,Alta View Hospital,9660 South 1300 East,Sandy,84094-3793,UT,"Intermountain Healthcare, Inc.",,2019,Combination of counties and places,"Davis, Weber",N/A,"Brigham City, Cedar City, Delta, Ephraim, Fillmore, Heber City, Hurricane, Logan, Manti, Mount Pleasant, Panguitch, Park City, Parowan, Providence, Richfield, Salina, Salt Lake City, Smithfield, Springdale, St. George, Tremonton, Utah Valley, Cities in ID: Boise, Burley City","Improve mental well-being, Prevent avoidable disease and injury, Improve air quality","Prevention of prediabetes, Prevention of high blood pressure, Prevention of depression, Prevention of prescription opioid misuse, Prevention of suicide among youth",https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chna-2019/chna-report-altaview-2019v1.ashx,N/A,"mikelle.moore@imail.org, stephanie.stokes@imail.org"
6870010,American Fork Hospital,170 North 1100 East,American Fork,84003-2096,UT,"Intermountain Healthcare, Inc.",,2019,Combination of counties and places,"Davis, Weber",N/A,"Brigham City, Cedar City, Delta, Ephraim, Fillmore, Heber City, Hurricane, Logan, Manti, Mount Pleasant, Panguitch, Park City, Parowan, Providence, Richfield, Salina, Salt Lake City, Smithfield, Springdale, St. George, Tremonton, Cities in ID: Boise, Burley City","Improve Mental Well-Being, Prevent Avoidable Disease and Injury, Improve Air Quality","Improve Mental Well-Being, Prevent Avoidable Disease and Injury, Improve Air Quality",https://intermountainhealthcare.org/about/who-we-are/chna-reports/-/media/344f701e828f434c9215114b6e999344.ashx,https://intermountainhealthcare.org/about/who-we-are/chna-reports/-/media/32e86dd0401340ca964da80456dd87da.ashx,N/A
6870370,Ashley Regional Medical Center,150 West 100 North,Vernal,84078-2036,UT,LifePoint Health,,N/A unable to find,,,,,,,,,
6870365,Bear River Valley Hospital,905 North 1000 West,Tremonton,84337-2497,UT,"Intermountain Healthcare, Inc",,2019,"Combination of counties, zip codes, and places",Box Elder,"84301, 84306, 84307, 84309, 84311, 84312, 84314, 84316, 84330, 84331, 84337, 84340, 84302","Bear River City, Collinston, Corinne, Deweyville, Fielding, Garland, Honeyville, Howell, Plymouth, Portage, Tremonton, Willard, Brigham City","Prevent Suicide Deaths, Prevent Substance Use, Prevent Chronic Conditions and Unintentional Injury, Improve Immunization Rates, Improve Air Quality, Improve the Mental Well-Being in Communities we Serve","Prevent Suicide Deaths, Prevent Substance Use, Prevent Chronic Conditions and Unintentional Injury, Improve Immunization Rates, Improve Air Quality, Improve the Mental Well-Being in Communities we Serve",https://intermountainhealthcare.org/about/who-we-are/chna-reports/,https://intermountainhealthcare.org/about/who-we-are/chna-reports/,mikelle.moore@imail.org
6870025,Beaver Valley Hospital,1109 North 100 West,Beaver,84713,UT,,,2022,Combination of counties and places,"Davis, Utah, Salt Lake, San Juan, Summit, Tooele, Wastach, Weber",N/A,"Beaver, Blanding, Cedar City, Milford, Moab, Murray, Ogden, Price, Richfield, Tremonton, Vernal","Chronic diseases associated with unhealthy weight and behaviors, Mental health and suicide, Air quality, Immunizations, Affordable housing, Substance use, Social determinants of health and health equity","Addressing diabetes and reducing obesity and obesity related chronic diseases, Improving mental health and reducing suicide, Reducing prescription drug misuse, abuse, and overdose, Addressing racism to reduce inequities caused by social, economic, and structural determinants of health","https://healthcare.utah.edu/about/pdfs/u-of-u-health-hospitals-and-clinics-community-health-needs-assessment,-2021-2023.pdf","https://healthcare.utah.edu/about/pdfs/u-of-u-health-hospitals-and-clinics-community-health-needs-assessment,-2021-2023.pdf","rylee.curtis@utah.edu, stevenson.eliason@hsc.utah.edu"
6879346,Blue Mountain Hospital,"802 South 200 West, Suite A",Blanding,84511-3910,UT,,,2019,List of Zip Codes,N/A,"84511, 84535, 84536, 84512, 84530, 84531, 84533, 84534, 84510, 81321, 84532, 86033",N/A,"Obesity, Mental health, Substance abuse, Community issues","Alcohol and substance abuse, Healthcare staffing shortages, Indian health service funding, Community engagement and education",https://www.bmhutah.org/documents/Blue-Mountain-Hospital-2019-CHNA-Report.pdf,N/A,N/A
6870035,Brigham City Community Hospital,950 South Medical Drive,Brigham City,84302-4724,UT,HCA Healthcare,,N/A unable to find,,,,,,,,,
6870007,Cache Valley Hospital,2380 North 400 East,North Logan,84341-6000,UT,HCA Healthcare,,2018,List of Counties,"Cache, Box Elder, Rich",N/A,N/A,"Suicide Opiate, Obesity Senior health, Access to mental health , Substance Abuse, Heart Disease, Dental Health, Spread of Communicable Disease, Education/Awareness, Homelessness","Mental Health, Substance Use/Misuse/Abuse, Communicable Disease, Chronic Disease and Obesity",https://brhd.org/wp-content/uploads/2018/09/BRHD-Community-Health-Improvment-Plan-2018.pdf,https://brhd.org/wp-content/uploads/2018/09/BRHD-Community-Health-Improvment-Plan-2018.pdf,N/A
6870200,Castleview Hospital,300 North Hospital Drive,Price,84501-4200,UT,LifePoint Health,,N/A unable to find,,,,,,,,,
6870050,Cedar City Hospital,1303 North Main Street,Cedar City,84721-9746,UT,"Intermountain Healthcare, Inc.",,2019,Combination of counties and zip codes,Iron,"84720, 84721",N/A,"Prevent suicide deaths, Prevent substance use, Improve air quality, Imrpove the mental well-being in the communities we serve, Improve immunization rates, Prevent chronic conditions and unintentional injury","Improve mental well-being, Prevent avoidable disease and injury, Improve air quality",https://intermountainhealthcare.org/about/who-we-are/chna-reports/-/media/2be15595d1db4d23821bb18df834a355.ashx,https://intermountainhealthcare.org/about/who-we-are/chna-reports/-/media/4474f23d6de24e9f9e7ddc223036266c.ashx,"mikelle.moore@imail.org, stephanie.stokes@imail.org"
