ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6340005,Augusta Health,78 Medical Center Drive,Fishersville,22939-2332,VA,Augusta Health,Non-Profit,2022,List of Counties,"Staunton, Waynesboro, Augusta",N/A,N/A,"Access to health care services; Cancer; Diabetes; Heart disease and stroke; Housing and homelessness; Injury and violence; Kidney disease; Mental health; Nutrition, physical activity and weight; Potentially disabling conditions; Respiratory diseases; Substance abuse Tobacco Use","Mental Health, Access to healthcare services, Nutrition, Physical Activity & Weight, Diabetes, Substance Abuse, Heart Disease & Stroke, Cancer, Housing, Infant Health & Family Planning, Tobacco use, Oral Health, Injury & Violence, Potentially Disabling Conditions, Respiratory Disease",https://www.augustahealth.com/wp-content/uploads/2022/08/2022-PRC-CHNA-Report-Augusta-Health2.pdf,https://www.augustahealth.com/wp-content/uploads/2023/05/Augusta-Health-Implementation-Strategy-2023-2025-.pdf,N/A
6340360,Bath Community Hospital,106 Park Drive,Hot Springs,24445-2921,VA,N/A,Non-Profit,2021,List of Counties,"Bath, Highland, Alleghany",N/A,N/A,"Tobacco use; Substance abuse; Nutrition, physical activity, and weight; Cancer; Diabetes","Substance abuse; Tobacco use and vaping; Mental health / behavioral health; Nutrition, physical activity, obesity, diabetes; Health education, wellness, and preventive care",https://bathhospital.org/wp-content/uploads/2022/01/Bath-Community-Hospital-COMMUNITY-HEALTH-NEEDS-ASSESSMENT-December-2021.pdf,N/A,N/A
6340510,Bon Secours Mary Immaculate Hospital,2 Bernardine Drive,Newport News,23602-4499,VA,Bon Secours Mercy Health,Non-Profit,2019,List of Counties,"Newport News, Hampton, Gloucester, Poquoson, Williamsburg, James City, York ",N/A,N/A,"Mental Health, Heart Conditions, Obesity, Substance Abuse, Diabetes, Cancer, Alzheimer's Disease/Dementia, Unintentional Injuries, Chronic Pain","Alcohol and Substance Use, Chronic Health in Aging Adults, Behavioral/Mental Healh, Obesity, Diabetes",https://www.bonsecours.com/-/media/bon-secours/community-involvement/hampton-roads/documents/mih-fy2020-2022-chna-final.ashx?la=en,https://www.bonsecours.com/-/media/bon-secours/community-involvement/hampton-roads/documents/mih-fy2020-2022-chna-implementation.ashx?la=en,N/A
6340740,Bon Secours Maryview Medical Center,3636 High Street,Portsmouth,23707-3270,VA,Bon Secours Mercy Health,Non-Profit,2020,List of Places,N/A,N/A,"Portsmouth, Suffolk, Western Tidewater","Alcohol and Substance Abuse, Heart Conditions, Chronic Health in Aging Adults, Obesity/Diabetes, Behavioral/Mental Health","Alcohol and Substance Abuse, Heart Conditions, Chronic Health in Aging Adults",https://www.bonsecours.com/-/media/bon-secours/community-involvement/hampton-roads/documents/mmc-fy2020-2022-chna-final.ashx?la=en,https://www.bonsecours.com/-/media/bon-secours/community-involvement/hampton-roads/documents/mmc-fy2020-2022-chna-implementation.ashx?la=en,N/A
6340896,Bon Secours Memorial Regional Medical Center,8260 Atlee Road,Mechanicsville,23116-1844,VA,Bon Secours Mercy Health,Non-Profit,2022,List of Counties,"Amelia, Brunswick, Chesterfield, Colonial Heights City, Dinwiddie, Emporia City, Goochland, Greensville, Hanover, Henrico, Hopewell City, King and Queen, King William, Lancaster, Middlesex, New Kent, Northumberland, Petersburg City, Powhatan, Prince George, Richmond City, Southampton, Surry, Sussex",N/A,N/A,"Chronic Disease and Prevention, Mental Health,  Violence and Trauma, Social and Economic Disparity, Engagement and Inclusion","Chronic Disease, Behavioral Health,Social Determinants of Health, Stress/Trauma",https://www.bonsecours.com/-/media/bon-secours/community-involvement/corporate/bon-secours-hampton-roads-2022-chna.ashx,https://www.bonsecours.com/-/media/bon-secours/community-involvement/richmond/2023-richmond-chna-implementation-plan.ashx,Becky Clay Christensen: Rebecca_Christensen@bshsi.org; Kerrissa MacPherson: kerrissa_macpherson@bshsi.org
6340021,Bon Secours St. Francis Medical Center,13710 St Francis Boulevard,Midlothian,23114-3267,VA,Bon Secours Mercy Health,Non-Profit,2019,Combination of counties and places,"Chesterfield, Powhatan, Henrico, Amelia",N/A,"Central Virginia, Richmond","Chronic Disease, Behavioral Health, Social Determinants of Health, Stress/Trauma","Chronic Disease, Behavioral Health, Social Determinants of Health, Stress/Trauma",https://www.bonsecours.com/-/media/bon-secours/community-involvement/richmond/bon-secours-chna-richmond-2019-2021-updated.ashx?la=en,https://www.bonsecours.com/-/media/bon-secours/about-us/richmond/chna/bon-secours-richmond-health-system-fye-12312019-impl-plan-final.ashx?la=en,Madelyn Eubanks: madelyn_eubanks@bshsi.org
6340921,Bon Secours St. Mary's Hospital,5801 Bremo Road,Richmond,23226-1907,VA,Bon Secours Mercy Health,Non-Profit,2019,Combination of counties and places,"Chesterfield, Powhatan, Goochland, Hanover, New Kent, Henrico, Amelia, Lancaster, Middlesex, Northumberland",N/A,"Richmond, Northern Neck, Colonial Heights, Charles","Diabetes, Heart Disease, Stroke, Cancer, COPD, Obesity, Access to healthcare services and health education, Access to healthy & affordable food, Opioids, Mental Health & Substance Abuse, Drug/Alcohol Use, Homelessness, Transporation, Housing, Education & School System, Jobs with Fair Wages, Child Abuse/Neglect, Community Violence & Crime, Domestic Abuse","Chronic Disease, Behavioral Health, Social Determinants of Health (SDOH), Stress/Trauma",https://www.bonsecours.com/-/media/bon-secours/community-involvement/richmond/bon-secours-chna-richmond-2019-2021-updated.ashx?la=en,https://www.bonsecours.com/-/media/bon-secours/about-us/richmond/chna/bon-secours-richmond-health-systemimplementation-planfye-83119final.ashx?la=en,madelyn_eubanks@bshsi.org
6340550,Bon Secours-DePaul Medical Center,150 Kingsley Lane,Norfolk,23505-4650,VA,Bon Secours Mercy Health,Non-Profit,2022,List of Counties,"Chesapeake, Franklin, Gloucester, Hampton, Isle of Wight, James City, Mathews, Newport News, Norfolk, Portsmouth, Poquoson, Southampton, Suffolk, Virginia Beach, Williamsburg, York",N/A,N/A,"Diabetes, Heart Disease, Violence in the Community, Substance Use Disorders, Physical Inactivity, Cancer, Adult Obesity, Sexually Transmitted Infections, Workforce Development","Healthcare Access: Mental and Behavioral Health, including Substance Use Disorders; Healthcare Access: Chronic Conditions; Neighborhood and Built Environment: Violence in the Community; Economic Stability: Workforce Development",https://www.bonsecours.com/-/media/bon-secours/community-involvement/corporate/bon-secours-hampton-roads-2022-chna.ashx,https://www.bonsecours.com/-/media/bon-secours/about-us/richmond/chna/bon-secours-richmond-health-systemimplementation-planfye-83119final.ashx?la=en,phyllita_bolden@bshsi.org
6340890,Bon Secours-Richmond Community Hospital,1500 North 28th Street,Richmond,23223-5396,VA,Bon Secours Mercy Health,,2019,List of Counties,"Chesterfield, Powhatan, Goochland, Hanover, New Kent, Henrico, Amelia, Lancaster, Middlesex, Northumberland, Richmond City",N/A,N/A,"Diabetes, Heart Disease, Stroke, Cancer, COPD, Obesity, Access to healthcare services and health education, Access to healthy & affordable food , Opioids, Mental Health & Substance Abuse, Drug/Alcohol Use, Homelessness, Transporation, Housing, Education & School System, Jobs with Fair Wages, Child Abuse/Neglect, Community Violence & Crime, Domestic Abuse","Behavioral Health, Chronic Disease, Social Determinants of Health, Stress/Trauma",https://www.bonsecours.com/-/media/bon-secours/community-involvement/richmond/bon-secours-chna-richmond-2019-2021-updated.ashx?la=en,https://www.bonsecours.com/-/media/bon-secours/about-us/richmond/chna/bon-secours-richmond-health-systemimplementation-planfye-83119final.ashx?la=en, madelyn_eubanks@bshsi.org
6340313,Buchanan General Hospital,1535 Slate Creek Road,Grundy,24614-6974,VA,,Unable to Find,2019,"Combination of counties, zip codes, and places",Buchanan,"24603, 24614, 24620, 24622, 24627, 24631, 24634, 24639, 24646, 24656, 24657, 24239",N/A ,"Access to health services, Clinical preventative services, Injury and violence, Maternal & Infant child health, Nutritional, Physical Activity, Obesity, Substance abuse, Mental Health, Reproduction & Sexual Health","Access to health services, Clincal preventative services, Injury and violence, Maternal health, Nutritional, Physical Activity, Obesity, Substance abuse, Mental Health, Reproduction & Sexual Health",https://www.bgh.org/docs/BGH_FINAL-CHNA_Summary_FY19.pdf,https://www.bgh.org/docs/BGH_CHNA_Implementation_Plan_FY19.pdf,N/A
