ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,
6919030,"Arbor Health, Morton Hospital",521 Adams Avenue,Morton,98356-9323,WA,Astria Health,Non-Profit,N/A unable to find,,,,,,,,,,,
6911240,Astria Regional Medical Center,110 South Ninth Avenue,Yakima,98902-3315,WA,Astria Health,Non-Profit,2021,"Combination of counties, zip codes, and places",Yakima,"98901, 98902, 98903, 98904, 98907, 98908, 98909",Yakima,"Increase Access to Primary Care; Increase Access to Specialty Care; Increase access to behavioral health and substance abuse services; Improve the Prevention, Screening, and Treatment of Chronic Diseases","Emergency care, cancer care, heart and vascular care, orthopedics, neurology and neurosurgery, women health",https://www.astria.health/site/files/file_manager/page/shared/2021-Astria-Community-Health-Needs-Assessment.pdf,https://www.astria.health/site/files/file_manager/page/shared/2021_Astria_Community_Health_Needs_Assessment_Implementation_Plan_final.pdf,N/A,,
6911008,Astria Sunnyside Hospital,1016 Tacoma Avenue,Sunnyside,98944-2263,WA,Astria Health,Non-Profit,2021,"Combination of counties, zip codes, and places",Sunnyside,98944,Sunnyside,"Increase Access to Primary Care; Increase Access to Specialty Care; Increase access to behavioral health and substance abuse services; Improve the Prevention, Screening, and Treatment of Chronic Diseases","Emergency care, diagnostic imaging, laboratory services, rehabilitation services",https://www.astria.health/site/files/file_manager/page/shared/2021-Astria-Community-Health-Needs-Assessment.pdf,https://www.astria.health/site/files/file_manager/page/shared/2021_Astria_Community_Health_Needs_Assessment_Implementation_Plan_final.pdf,N/A,,
6911115,Astria Toppenish Hospital,502 West Fourth Avenue,Toppenish,98948-1616,WA,Astria Health,Non-Profit,2021,"Combination of counties, zip codes, and places",Yakima,"98930, 98935, 98944, 98920, 98921, 98932, 98933, 98938, 98939,  98948, 98951, 98952,  98953 ","Grandview, Mabton, Sunnyside, Brownstown, Buena, Granger, Harrah, Outlook, Parker, Toppenish, Wapato, White Swan, Zillah","Increase Access to Primary Care; Increase Access to Specialty Care; Increase access to behavioral health and substance abuse services; Improve the Prevention, Screening, and Treatment of Chronic Diseases","INCREASE ACCESS TO BEHAVIORAL HEALTH AND SUBSTANCE ABUSE SERVICES, IMPROVE ACCESS TO CARE, ADDRESS SOCIAL DETERMINANTS OF HEALTH",https://www.astria.health/site/files/file_manager/page/shared/2021-Astria-Community-Health-Needs-Assessment.pdf             ,https://www.astria.health/site/files/file_manager/page/shared/2021_Astria_Community_Health_Needs_Assessment_Implementation_Plan_final.pdf,n/a,,
6910465,Capital Medical Center,3900 Capital Mall Drive SW,Olympia,98502-5026,WA,LifePoint Health,Unable to Find,N/A unable to find,,,,,,,,,,,
6910690,Cascade Behavioral Hospital,12844 Military Road South,Tukwila,98168-3045,WA,"Acadia Healthcare Company, Inc.",Unable to Find,N/A unable to find,,,,,,,,,,,
6919025,Cascade Medical Center,817 Commercial Street,Leavenworth,98826-1316,WA,,Non-Profit,2022,"Combination of counties, zip codes, and places",Chelan,"98826, 98821, 98847, 98815","Dryden, Peshastin, Leavenworth, Plain, Cashmere","Child and Family Wellness, Aging in Place, Equity, Building Trust in Traditionally Underserved Communities","Child and Family Wellness, Aging in Place, Equity, Building Trust in Traditionally Underserved Communities",https://cascademedical.org/sites/default/files/pdfs/meeting-minutes/2022/Cascade%202022%20CHNA%20Final%20December.pdf,https://cascademedical.org/sites/default/files/pdfs/meeting-minutes/2022/Cascade%202022%20CHNA%20Final%20December.pdf,N/A,,
6910040,Cascade Valley Hospital,330 South Stillaguamish Avenue,Arlington,98223-1642,WA,Skagit Regional Health,Non-Profit,N/A unable to find,,,,,,,,,,,
6910275,Columbia Basin Hospital,200 Nat Washington Way,Ephrata,98823-1982,WA,,Non-Profit,N/A unable to find,,,,,,,,,,,
6910220,Columbia County Health System,1012 South Third Street,Dayton,99328-1696,WA,,Unable to Find,N/A unable to find,,,,,,,,,,,
6911195,Confluence Health/Central Washington Hospital,1201 South Miller Street,Wenatchee,98801-3201,WA,,Unable to Find,2016,List of Counties,"Okanogan, Chelan, Douglas, Grant",N/A,N/A,"Mental health care access, Access to health care, Education, Obesity",N/A,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjuw82T2bP5AhUHBbkGHSAdCucQFnoECAoQAQ&url=https%3A%2F%2Fwww.confluencehealth.org%2Fdocuments%2F2016-Central-Washington-CHNA_Final.pdf&usg=AOvVaw1zBFO4zh0kWGqNOD0jjxhj,N/A,N/A,,
