ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6350035,Beckley ARH Hospital,306 Stanaford Road,Beckley,25801-3142,WV,"Appalachian Regional Healthcare, Inc.",Non-Profit,2019,List of Counties,Raleigh,N/A,N/A,"Obesity and the health issues that stem from obesity: diabetes; Lack of fresh foods and vegetables, food deserts, lack of time to invest in health food preparations; Physical and social isolation; Opioids impacting workforce, not enough treatment facilities, high overdose; death rates; Lack of health education; Unaffordable health insurance: gaps in Medicaid services; Heart disease; Smoking; Vaping; Long ER wait times",High Blood Pressure; Overweight/obesity; Diabetes,https://www.arh.org/wp-content/uploads/2020/10/FINALDRAFT_Beckley_ARH_CHNA2019.pdf,N/A,N/A
6350055,Beckley Veterans Affairs Medical Center,200 Veterans Avenue,Beckley,25801-6499,WV,Department of Veterans Affairs,Non-Profit,N/A unable to find,,,,,,,,,
6350485,Berkeley Medical Center,2500 Hospital Drive,Martinsburg,25401-3402,WV,West Virginia University Health System,Non-Profit,2019,List of Counties,"Morgan, Berkley, Jefferson",N/A,N/A,"Clinical health and disease items (e.g. heart disease, addiction, cancer); quality of life and built or natural environmental factors (e.g. air quality, availability of sidewalks, cost of medications); personal choices or behaviors (e.g. vaping, distracted driving, poor eating choices)"," Substance Use and Abuse (drugs, alcohol, tobacco, vaping); Obesity & Chronic Disease (including cancer); Mental Health",https://wvumedicine.org/wp-content/uploads/2020/11/BMC_JMC-CHNA-Report-2019.pdf,https://wvumedicine.org/wp-content/uploads/2020/11/BMC.JMC_.CHNA_.Implementation-Plan.2020.pdf,N/A
6350070,Bluefield Regional Medical Center,500 Cherry Street,Bluefield,24701-3390,WV,"Community Health Systems, Inc.",Unable to Find,N/A unable to find,,,,,,,,,
6350468,Boone Memorial Hospital,701 Madison Avenue,Madison,25130-1699,WV,,Non-Profit,2022,List of Counties,Boone ,N/A,N/A,"Mental Health, Affordability, Physical Presence, Cancer, Heart Disease, Women's Health","Mental Health, Affordability, Physical Presence, Cancer, Heart Disease, Women's Health",https://www.boonehospital.com/media/cms/BCH_CHNA_Final_Report_BFD7604F52C68.pdf,https://www.boonehospital.com/media/cms/BCH_CHNA_Final_Report_BFD7604F52C68.pdf,(304) 369-1230
6350295,Braxton County Memorial Hospital,100 Hoylman DR,Gassaway,26624-9318,WV,,Non-Profit,2021,List of Counties,"Nicholas, Clay, Braxton, Fayette, Gilmer, Greenbrier, Lewis, Webster",N/A,N/A,"Drug and/or alcohol use, Obesity, Diabetes, Cancer, Mental health problems","Obesity, Chronic Disease, Physical Activity, Nutrition, Substance Use and Abuse, Poverty",https://wvumedicine.org/wp-content/uploads/2022/08/BCMH-SRMC-2021-Community-Health-Needs-Assessment.pdf,https://wvumedicine.org/wp-content/uploads/2022/08/BCMH-SRMC-Community-Health-Implementation-Plan_2022.pdf,N/A
6350630,Broaddus Hospital,1 Healthcare Drive,Philippi,26416-9405,WV,Davis Health System,Non-Profit,2022,List of Counties," Barbour, Harrison, Randolph, Taylor, Tucker, Upshur ",N/A,N/A,"Mental Illness, Substance Abuse, cancer, heart disease, lung disease, obesity, diabetes","Drug prevention, behavioral health, access to care",https://www.davishealthsystem.org/Content/Uploads/davishealthsystem.org/files/2022_BH_CHNA.pdf,https://www.davishealthsystem.org/Content/Uploads/davishealthsystem.org/files/2022_BH_CHNA.pdf,N/A
6350345,Cabell Huntington Hospital,1340 Hal Greer Boulevard,Huntington,25701-0195,WV,Mountain Health Network,Non-Profit,2022,List of Counties,"Cabell, Wayne, Lincoln, Mason, Putnam, Kanawha, Mingo, Logan, Boone, Raleigh",N/A,N/A,"Behavioral Health; Chronic Disease Prevention and Management (Obesity and Diabetes, Heart Disease, Cancer, Respiratory Disease); Substance Use Disorder; Aging Population; Food Insecurity","Behavioral Health, Chronic Disease Prevention and Management, Substance Use Disorder, Aging Population, Food Security",https://cabellhuntington.org/about/community-health-needs-assessment/community-health-needs-assessment-2022/,https://cabellhuntington.org/about/community-health-needs-assessment/community-health-needs-assessment-2022/,N/A
6350600,Camden Clark Medical Center,800 Garfield Avenue,Parkersburg,26101-5378,WV,West Virginia University Health System,Non-Profit,2021,List of Counties,"Calhoun, Pleasants, Ritchie, Roane, Tyler, Wirt, Wood",n/a,n/a,"substance use and abuse, adult obesity, cancer, access to or ability to afford health care and medication, physical activity","Obesity, Chronic Disease, Physical Activity, and Nutrition, Substance use and Mental Health, Cancer, COVID-19, Poverty ",https://wvumedicine.org/camden-clark/wp-content/uploads/sites/6/2021/12/CCMC-2021-Community-Health-Needs-Assessment_Adopted-12-7-21.pdf,https://wvumedicine.org/wp-content/uploads/2022/05/2022-CCMC-Community-Health-Needs-Implementation-Plan.pdf,n/a
6350120,Charleston Area Medical Center,501 Morris Street,Charleston,25301-1300,WV,,Non-Profit,2020,List of Counties,"Kanawha, Boone, Fayette, Logan County, Putnam, Clay, Jackson, Lincoln, Mercer, Nicholas, Raleigh, Roane",N/A,N/A,"Wellness promotion and chronic disease prevention education, Safe Roads and Transportation, Access to affordable and adequate child care options, Barriers to Work, Access to Safe and Adequate Recreation, Exercise and Play Opportunities","Wellness promotion and chronic disease prevention education, Safe Roads and Transportation, Access to affordable and adequate child care options, Barriers to Work, Access to Safe and Adequate Recreation, Exercise and Play Opportunities",https://www.camc.org/sites/default/files/communitybenefit/2020-2022%20Community%20Health%20Needs%20Assessment%20and%202020-2022%20Implementation%20Strategy%20Final.pdf,https://www.camc.org/sites/default/files/communitybenefit/2020-2022%20Community%20Health%20Needs%20Assessment%20and%202020-2022%20Implementation%20Strategy%20Final.pdf,N/A
