ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6451100,Ascension Southeast Wisconsin Hospital - Elmbrook Campus,19333 West North Avenue,Brookfield,53045-4198,WI,Ascension Healthcare,Non-Profit,2021,List of Counties,Waukesha,n/a,n/a,"Chronic Disease Prevention, Mental Health, Substance Abuse, COVID-19, Access to Care","Chronic Disease Prevention, Mental Health, Substance Abuse ",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/wisconsin/2020-chna-ascension-se-wisconsin-hospital-elmbrook-campus.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/wisconsin/2020-is-ascension-se-wisconsin-hospital-elmbrook-campus.pdf,n/a
6450680,Gundersen Lutheran Medical Center,1900 South Avenue,La Crosse,54601-5467,WI,Gundersen Health System,Non-Profit,2021,List of Counties,"Buffalo, La Crosse, Monroe, Trempealeau, Vernon, houston",N/A,N/A,"Mental Health; Substance Abuse (opioids); Social Determinants of Health (including poverty/financial stability, housing, food, and transportation insecurity); Adverse Childhood Experiences and Toxic Stress; Chronic Illness","Mental Health; Substance Abuse (opioids); Social Determinants of Health (including poverty/financial stability, housing, food, and transportation insecurity); Adverse Childhood Experiences and Toxic Stress; Chronic Illness",https://www.gundersenhealth.org/document/22291,https://www.gundersenhealth.org/document/22316,"Sarah Havens, Director Office of Population Health, 608-775-6580, sjhavens@gundersenhealth.org"
6451290,ThedaCare Regional Medical Center-Neenah,130 Second Street,Neenah,54956-2883,WI,"ThedaCare, Inc.",Non-Profit,2022,List of Counties,Winnebago,N/A,N/A,"Mental and Behavioral Health - Social connection, access and support; Social Needs - Identification, referral and access to services; Strong start to life; Regional alignment - Process, priorities, synergy",Concerted efforts to improve health and well-being; Access to support needed to lead mentally healthy lives; Free of reliance on harmful substances; Achieve optimal health and wellbeing; Access to the resources necessary to provide their children with a strong start to life,https://thedacare.org/wp-content/uploads/2022/12/ThedaCare-2022-CHA-Report-Neenah-HSA_FINAL-Compressed.pdf,https://thedacare.org/wp-content/uploads/2023/04/CHIP-Neenah-2023-25-FINAL.pdf,N/A
6451330,Westfields Hospital and Clinic,535 Hospital Road,New Richmond,54017-1449,WI,HealthPartners,Unable to Find,2021,List of Counties,"St Croix, Hennepin, Ramsey, Polk, St. Croix, Washington, Renville, McLeod",N/A,N/A,Mental Health and Well-being; Access to Health; Access to Care; Nutrtiton and Physical Activity; Substance Use,"Improve Mental Health and Well-being, Improve Access to Health, Improve Access to Care, Improve Nutrtiton and Physical Activity, Reduce Substance Use",https://www.healthpartners.com/content/dam/brand-identity/pdfs/care/20211108_chna_finalreport_v3.0_westfields.pdf,https://www.healthpartners.com/content/dam/brand-identity/pdfs/care/2022-2024-westfields-hospital-implementation-plan.pdf,Andrea.C.Anderson@healthpartners.com
6451300,Marshfield Medical Center - Neilsville,N3708 River Avenue,Neillsville,54456-1799,WI,Marshfield Clinic Health System,Unable to Find,2022,Combination of counties and places,Clark,N/A,"Abbotsford, Colby, Stanley, Neillsville","alcohol and substance abuse, behavioral health, health equity","Alcohol and Substance Misuse, Behavioral Health, Health Equity",https://www.marshfieldclinic.org/ClinicLocations/Documents/MMC-Neillsville%20Community%20Health%20Needs%20Assessment%202022.pdf,https://www.marshfieldclinic.org/ClinicLocations/Documents/MMC-Neillsville%20Implementation%20Strategy%202023-2025.pdf,communityhealth@marshfieldclinic.org
6451030,Children's Hospital of Wisconsin,8915 W Connell Ct,Milwaukee,53226-4810,WI,Children's Hospital and Health System,Unable to Find,2022,List of Counties,Milwaukee ,N/A,N/A,"Infant health, Mental and behavioral health, Safety and violence, Social determinants of health","Infant health, Mental and behavioral health, Safety and violence, Social determinants of health",https://childrenswi.org/-/media/chwlibrary/files/childrens-and-the-community/families-and-clients/community-reports/milwaukee-assessment.pdf,https://childrenswi.org/-/media/chwlibrary/files/childrens-and-the-community/families-and-clients/community-reports/milwaukee-fox-valley-implementation.pdf,N/A
6451790,Mayo Clinic Health System - Franciscan Healthcare in Sparta,310 West Main Street,Sparta,54656-2171,WI,Mayo Clinic,Non-Profit,2022,List of Counties,"La Crosse, Monroe, Vernon, Trempealeau, Houston, Buffalo",N/A,N/A,"Poverty and Livable Wages, Mental Health, Safe and Affordable Housing, Drug and Alcohol Use, Access to Health Care, Physical Inactivity and Obesity, Insurance Access and Education on Resources to Pay for Care","Access to Care, Mental Health and/or Substance Abuse, Chronic Disease and Contributing Factors",https://www.mayoclinichealthsystem.org/-/media/shared-files/documents/chna/2022-chna-reports/2022-mchs-sparta-chna-report.pdf?la=en&hash=7B2DE18845DE2FD0F05DE3401660863D,N/A,lacomeng@mayo.edu
6459010,Fond Du Lac County Mental Health Center,459 East First Street,Fond Du Lac,54935-4599,WI,,Non-Profit,2021,List of Counties,"Dodge, Green Lake",N/A,N/A,"Chronic Disease, Substance Use, Mental Health, Social & Economic Stability, Clinical Care & Access, Physical & Built Environment ","Mental Health, chronic disease, substance use",https://www.fdlco.wi.gov/home/showpublisheddocument/27822/637770576748970000,https://www.fdlco.wi.gov/home/showpublisheddocument/27822/637770576748970000,N/A
6450250,"Columbus Community Hospital, Inc.",1515 Park Avenue,Columbus,53925-2402,WI,,Non-Profit,2022,List of Counties,Columbia,N/A,N/A,"Access to Primary Care, New Diabetes Diagnosis, Colorectal Cancer Screening","Access to Primary Care, New Diabetes Diagnosis, Colorectal Cancer Screening",https://prairieridge.health/images/about-us/CHNA/2022_CHNA_Only_Final.pdf,https://prairieridge.health/images/about-us/CHNA/2022_CHNA_Only_Final.pdf,N/A
6450240,HSHS St. Joseph's Hospital,2661 County Highway I,Chippewa Falls,54729-5407,WI,HSHS Hospital Sisters Health System,Non-Profit,2021,List of Counties,Chippewa ,N/A,N/A,"Alcohol Misuse, Chronic Disease Prevention & Management, Communicable Disease Prevention & Control, Drug Use, Environmental & Occupational Health, Healthy Growth & Development, Healthy Nutrition, Injury & Violence Prevention, Mental Health, Obesity, Oral Health, Physical Activity, Reproductive & Sexual Health, Vaping/Tobacco Use & Exposure","Mental Health, Alcohol Misuse, Chronic Disease Prevention & Control, Drug Use, Obesity/Healthy Nutrition",https://www.hshs.org/HSHSFamily/media/St.Josephs-Chippewa-Falls/SJCF_FY2021-CHNA.pdf,https://www.hshs.org/HSHSFamily/media/St.Josephs-Chippewa-Falls/About%20us/FY2021-CHNA-Implementation-Plan-HSHS-St-Josephs-Hospital.pdf,N/A
