ID,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6830261,Crook County Medical Services District,713 Oak Street,Sundance,82729,WY,Regional Health,,N/A unable to find,,,,,,,,,
6830080,Memorial Hospital of Converse County,111 South Fifth Street,Douglas,82633-2434,WY,,Non-Profit,2021,Combination of counties and places,Converse,N/A,"Douglas, Glenrock,Lost Springs, Rolling Hills","Healthcare costs, Affordable health insurance, Housing assistance, Help paying utility bills or deposits, Substance and alcohol abuse services, Support for senior citizens, Mental health services, Prescription drug assistance, Vision services, Dental services, Help paying utility bills or deposits

","Healthcare insurance, Healthcare affordability",https://csnowyo.org/resources/Documents/Converse%20County%202021%20CSBG%20Needs%20Assessment%20Final-reduced%201.pdf,N/A,"Amie Clark
ConverseCountyCSBG@gmail.com"
6830225,Powell Valley Healthcare,777 Avenue 'H',Powell,82435-2296,WY,,,2022,"Combination of counties, zip codes, and places",Park,"82414, 82435, 82440, 82410, 82412, 82421, 82426, 82431, 82401","Cody, Powell, Ralston, Basin, Byron, Deaver, Greybull, Lovell, Worland","mental health, substance abuse, obesity/physical activity, cancer, suicide","mental health, substance abuse, obesity/physical activity, cancer, suicide",https://www.pvhc.org/wp-content/uploads/Community-Health-Needs-Assessment-2022-Implementation-Strategy-003.pdf,https://www.pvhc.org/wp-content/uploads/Community-Health-Needs-Assessment-2022-Implementation-Strategy-003.pdf,N/A
6830125,South Big Horn County Hospital,388 South U S Highway 20,Basin,82410-8902,WY,,,N/A unable to find,,,,,,,,,
6830265,Community Hospital,2000 Campbell Drive,Torrington,82240-1597,WY,Banner Health,Non-Profit,2022,Combination of counties and zip codes,Goshen,"83340, 82223",N/A,"Economic stability, Education Access and Quality, Health Care Access and Quality, Neighborhood and Built Environment, Social and Community Context, Chronic Disease Management, Behavioral Health","Improving the health of the communities we serve, Chronic Disease, behavioral health",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/wyoming/community-hospital-torrington.ashx,N/A,N/A
6830227,Memorial Hospital of Carbon County,2221 West Elm Street,Rawlins,82301-5108,WY,QHR,Non-Profit,2020,Combination of counties and places,Carbon,N/A,"Baggs, Dixon, Elk Mountain, Encampment, Hanna, Medicine Bow, Rawlins, Riverside, Saratoga, Sinclair","Urgent care, Assisted living, Home health care","Health screenings, Healthy lifestyle education, Mental health education, Substance abuse education",https://csnowyo.org/resources/Documents/Carbon%20County%20Report%20-%20FINAL.pdf,N/A,"The project lead for this Assessment was Jody Shields, Vice President, Align. Any questions about this report can bedirected to her at jshields@TheAlignTeam.org or 307-772-9148"
6830384,Summit Medical Center,6350 East 2nd Street,Casper,82609-4264,WY,,Non-Profit,2018,List of Counties,Natrona,N/A,N/A,"Unhealthy behaviors associated with obesity and suicidality, lack of needed infrastructure related to mental health and primary care",N/A,https://wyomingmedicalcenter.org/documents/CHNA_FY2019-v2.pdf,N/A,"Casper-Natrona County Health Department, 475 South Spruce Street Casper Wyoming 82601, (307) 235-9340"
6830389,Aspen Mountain Medical Center,4401 College Drive,Rock Springs,82901-3507,WY,,,N/A unable to find,,,,,,,,,
6830085,Evanston Regional Hospital,190 Arrowhead Drive,Evanston,82930-9266,WY,Quorum Health,,N/A unable to find,,,,,,,,,
6830069,Mountain View Regional Hospital,6550 East Second Street,Casper,82609-4321,WY,National Surgical Healthcare,,N/A unable to find,,,,,,,,,
